dataset,epoch,batch,sample_id,wrong_audio_1,wrong_audio_2,wrong_audio_3,wrong_audio_4,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,d_neg_min,d_neg_mean,d_neg_max,d_neg_std,mean_minus_min,min_minus_pos,mean_minus_pos
flickr,0,22,4105357521,7345167290,16676453458,5566532313,4126529320,1.106525905925082e-05,2.396855052211322e-05,3.099858804489486e-05,1.8283839381183498e-05,1.9698234609677456e-05,1.8283839381183498e-05,2.3237303139467258e-05,3.099858804489486e-05,4.945555463773107e-06,4.95346375828376e-06,7.218580321932677e-06,1.2172044080216438e-05
flickr,0,22,2814781403,6006784473,16306777831,8275228424,7641589876,7.222162821562961e-05,7.911778084235266e-05,6.242617382667959e-05,5.33093698322773e-05,7.128359720809385e-05,5.33093698322773e-05,6.653423042735085e-05,7.911778084235266e-05,9.652399865556302e-06,1.3224860595073551e-05,-1.891225838335231e-05,-5.6873977882787585e-06
flickr,0,22,5724838282,23205813700,3692084777,17035437854,2976641655,5.464436617330648e-05,2.8987054975004867e-05,3.80919300368987e-05,7.806207577232271e-05,4.4775504647986963e-05,2.8987054975004867e-05,4.747914135805331e-05,7.806207577232271e-05,1.852500016217045e-05,1.8492086383048445e-05,-2.5657311198301613e-05,-7.165224815253168e-06
flickr,0,22,2763797266,5011044564,9466783841,4697672072,8045795772,1.513083407189697e-05,3.5711975215235725e-05,2.5910452677635476e-05,2.1135139832040295e-05,1.3595933523902204e-05,1.3595933523902204e-05,2.4088375312203425e-05,3.5711975215235725e-05,8.019366794105011e-06,1.0492441788301221e-05,-1.5349005479947664e-06,8.957541240306455e-06
flickr,0,22,11316083454,2852975178,16061916664,3771122163,16097395901,1.9191118553862907e-05,1.631441045901738e-05,1.580341449880507e-05,4.452767825569026e-05,4.657646786654368e-05,1.580341449880507e-05,3.08054927700141e-05,4.657646786654368e-05,1.4765465189067207e-05,1.500207827120903e-05,-3.3877040550578386e-06,1.1614374216151191e-05
flickr,0,22,3263824491,7700100562,7169375649,5011044564,6143115138,4.178385643172078e-05,1.2742466424242593e-05,8.763680853007827e-06,2.1789161110064015e-05,5.121610593050718e-05,8.763680853007827e-06,2.3627853579455405e-05,5.121610593050718e-05,1.661270404045388e-05,1.4864172726447578e-05,-3.302017557871295e-05,-1.8156002852265374e-05
flickr,0,22,2576730730,2814781403,22076849865,8607648628,16818540730,1.796486867533531e-05,1.2233284905960318e-05,1.4094086509430781e-05,1.9291128410259262e-05,2.8924403522978537e-05,1.2233284905960318e-05,1.8635725837157224e-05,2.8924403522978537e-05,6.478892241659896e-06,6.402440931196907e-06,-5.731583769374993e-06,6.708571618219139e-07
flickr,0,22,5011044564,4465533640,4042050675,6837360244,12534574555,1.72013296833029e-05,2.7632810088107362e-05,2.5146184270852245e-05,1.5147897101996932e-05,2.7546511773834936e-05,1.5147897101996932e-05,2.386835080869787e-05,2.7632810088107362e-05,5.132718406446671e-06,8.720453706700937e-06,-2.0534325813059695e-06,6.667021125394967e-06
flickr,0,22,14211288603,15166775821,6206110400,3508721203,6837360244,1.9519509805832058e-05,2.2996871848590672e-05,0.00014473579358309507,1.9549184798961505e-05,6.694539933960186e-06,6.694539933960186e-06,4.849409754115186e-05,0.00014473579358309507,5.5896295863091725e-05,4.179955760719167e-05,-1.2824969871871872e-05,2.89745877353198e-05
flickr,0,22,4266254713,2956200235,5724838282,11240624283,4646959048,7.212553464341909e-05,9.231764124706388e-05,4.4049229472875595e-05,2.286311428179033e-05,0.0001680046261753887,2.286311428179033e-05,8.180865279427962e-05,0.0001680046261753887,5.576857364481802e-05,5.894553851248929e-05,-4.9262420361628756e-05,9.683118150860537e-06
