dataset,sample_id,candidate_set,anchor_candidate_audio_cosine,candidate_pairwise_audio_cosine,unique_candidate_count,same_video_or_self_count,semantic_class_available,same_semantic_class_rate,unique_semantic_class_count
flickr,10067897816,top4_confusing,0.62007916,0.62631685,4,0,False,,
flickr,10069511285,top4_confusing,0.7229866,0.7196643,4,0,False,,
flickr,10079676496,top4_confusing,0.45257866,0.6761098,4,0,False,,
flickr,10080652613,top4_confusing,0.5957449,0.57397145,4,0,False,,
flickr,10106776154,top4_confusing,0.6452571,0.5319248,4,0,False,,
flickr,10109936483,top4_confusing,0.675695,0.6968332,4,0,False,,
flickr,10110769444,top4_confusing,0.7962847,0.78590506,4,0,False,,
flickr,10111706074,top4_confusing,0.6658499,0.7331195,4,0,False,,
flickr,10119607346,top4_confusing,0.7277997,0.7549851,4,0,False,,
flickr,10119736773,top4_confusing,0.71891344,0.7382309,4,0,False,,
flickr,10129791115,top4_confusing,0.68706465,0.70730084,4,0,False,,
flickr,10129813456,top4_confusing,0.70698845,0.6151037,4,0,False,,
flickr,10163352444,top4_confusing,0.697329,0.6512231,4,0,False,,
flickr,10165890496,top4_confusing,0.7267194,0.7076314,4,0,False,,
flickr,10173808724,top4_confusing,0.5592628,0.6070741,4,0,False,,
flickr,10202025415,top4_confusing,0.6057322,0.5908354,4,0,False,,
flickr,10221582415,top4_confusing,0.5652685,0.56996816,4,0,False,,
flickr,10234680056,top4_confusing,0.671936,0.63592654,4,0,False,,
flickr,10246013484,top4_confusing,0.7245153,0.67179734,4,0,False,,
flickr,10268129763,top4_confusing,0.6752857,0.6277032,4,0,False,,
flickr,10278084464,top4_confusing,0.528059,0.6701429,4,0,False,,
flickr,10283938426,top4_confusing,0.63034475,0.72758865,4,0,False,,
flickr,10289643764,top4_confusing,0.6940385,0.7237112,4,0,False,,
flickr,10304554474,top4_confusing,0.6860293,0.61290157,4,0,False,,
flickr,10308472565,top4_confusing,0.6607075,0.6684682,4,0,False,,
flickr,10369815925,top4_confusing,0.53150606,0.68674356,4,0,False,,
flickr,10389014583,top4_confusing,0.6779375,0.6573609,4,0,False,,
flickr,10409146004,top4_confusing,0.72219735,0.6521856,4,0,False,,
flickr,10409351364,top4_confusing,0.6935308,0.7232001,4,0,False,,
flickr,10413912845,top4_confusing,0.67550033,0.7441681,4,0,False,,
flickr,10437048305,top4_confusing,0.63326955,0.6282615,4,0,False,,
flickr,10440265465,top4_confusing,0.7158527,0.6804568,4,0,False,,
flickr,10441843213,top4_confusing,0.5692095,0.63477904,4,0,False,,
flickr,10446128125,top4_confusing,0.68615615,0.607443,4,0,False,,
flickr,10451898725,top4_confusing,0.5857095,0.6840946,4,0,False,,
flickr,10468313544,top4_confusing,0.7465467,0.73330945,4,0,False,,
flickr,10476442285,top4_confusing,0.63200325,0.7362213,4,0,False,,
flickr,10476446674,top4_confusing,0.5222664,0.57924384,4,0,False,,
flickr,10477544895,top4_confusing,0.5097542,0.664724,4,0,False,,
flickr,10481128583,top4_confusing,0.7095557,0.75376964,4,0,False,,
flickr,10520382525,top4_confusing,0.61597013,0.7353549,4,0,False,,
flickr,10545790805,top4_confusing,0.6014513,0.7403898,4,0,False,,
flickr,10548273474,top4_confusing,0.6748596,0.61964196,4,0,False,,
flickr,10549911663,top4_confusing,0.57683295,0.59503675,4,0,False,,
flickr,10555704135,top4_confusing,0.6582736,0.68915844,4,0,False,,
flickr,10557361454,top4_confusing,0.77302504,0.7494755,4,0,False,,
flickr,10610974774,top4_confusing,0.6366637,0.6291674,4,0,False,,
flickr,10624261424,top4_confusing,0.72183657,0.75154877,4,0,False,,
flickr,10635080206,top4_confusing,0.66009104,0.7290279,4,0,False,,
flickr,10654057765,top4_confusing,0.613714,0.58371127,4,0,False,,
flickr,10659354545,top4_confusing,0.7282933,0.6431454,4,0,False,,
flickr,10666396623,top4_confusing,0.6608428,0.62806183,4,0,False,,
flickr,10667001125,top4_confusing,0.5120745,0.5910492,4,0,False,,
flickr,10701841844,top4_confusing,0.64843535,0.71080714,4,0,False,,
flickr,10743985374,top4_confusing,0.524149,0.6112433,4,0,False,,
flickr,10751849775,top4_confusing,0.60957706,0.5895181,4,0,False,,
flickr,10761625676,top4_confusing,0.7091655,0.78803396,4,0,False,,
flickr,10771238614,top4_confusing,0.7487037,0.689437,4,0,False,,
flickr,10795023275,top4_confusing,0.63740456,0.72656393,4,0,False,,
flickr,10796050285,top4_confusing,0.74752647,0.7775175,4,0,False,,
flickr,10805310706,top4_confusing,0.68759406,0.660554,4,0,False,,
flickr,10847897294,top4_confusing,0.5779214,0.6223422,4,0,False,,
flickr,10859255295,top4_confusing,0.55656624,0.7908807,4,0,False,,
flickr,10862172945,top4_confusing,0.6370274,0.57185876,4,0,False,,
flickr,10939270325,top4_confusing,0.69995177,0.7887017,4,0,False,,
flickr,10952523225,top4_confusing,0.74255735,0.71029943,4,0,False,,
flickr,10979853044,top4_confusing,0.73791075,0.6626949,4,0,False,,
flickr,10980225216,top4_confusing,0.67653984,0.7580262,4,0,False,,
flickr,11002352834,top4_confusing,0.7405727,0.6948354,4,0,False,,
flickr,11036641226,top4_confusing,0.61274725,0.631902,4,0,False,,
flickr,11050409385,top4_confusing,0.55854684,0.61570156,4,0,False,,
flickr,11071986404,top4_confusing,0.5520548,0.64431304,4,0,False,,
flickr,11101358996,top4_confusing,0.48129106,0.5154892,4,0,False,,
flickr,11154049584,top4_confusing,0.6412857,0.70463735,4,0,False,,
flickr,11314266424,top4_confusing,0.66384536,0.7282112,4,0,False,,
flickr,11650557765,top4_confusing,0.64762706,0.5768996,4,0,False,,
flickr,11764496003,top4_confusing,0.7364949,0.7412991,4,0,False,,
flickr,11765015695,top4_confusing,0.630085,0.80023986,4,0,False,,
flickr,11776645404,top4_confusing,0.61335325,0.665005,4,0,False,,
flickr,12015590114,top4_confusing,0.7463865,0.6826332,4,0,False,,
flickr,12031178616,top4_confusing,0.59039944,0.6587725,4,0,False,,
flickr,12048726756,top4_confusing,0.67138994,0.6178958,4,0,False,,
flickr,12066557153,top4_confusing,0.59143543,0.6713195,4,0,False,,
flickr,12103535156,top4_confusing,0.5882817,0.6358588,4,0,False,,
flickr,12158276143,top4_confusing,0.582969,0.71465683,4,0,False,,
flickr,12328837165,top4_confusing,0.5776022,0.659987,4,0,False,,
flickr,12373955905,top4_confusing,0.63874376,0.7207834,4,0,False,,
flickr,12444360833,top4_confusing,0.44854623,0.6235388,4,0,False,,
flickr,12512072175,top4_confusing,0.66225755,0.6075694,4,0,False,,
flickr,12534178685,top4_confusing,0.68297875,0.708994,4,0,False,,
flickr,12598610153,top4_confusing,0.56058085,0.5529134,4,0,False,,
flickr,12599965145,top4_confusing,0.6482868,0.65642124,4,0,False,,
flickr,12729873904,top4_confusing,0.6124952,0.77792746,4,0,False,,
flickr,13153991894,top4_confusing,0.6372432,0.69333655,4,0,False,,
flickr,13234495505,top4_confusing,0.62437534,0.741544,4,0,False,,
flickr,13409856383,top4_confusing,0.75495154,0.6808191,4,0,False,,
flickr,13447842855,top4_confusing,0.59845763,0.6747997,4,0,False,,
flickr,13579448834,top4_confusing,0.6452775,0.5780378,4,0,False,,
flickr,13660204414,top4_confusing,0.61128604,0.7035503,4,0,False,,
flickr,13721325644,top4_confusing,0.66098875,0.65235215,4,0,False,,
flickr,13861270725,top4_confusing,0.5107863,0.77197933,4,0,False,,
flickr,14062380939,top4_confusing,0.71034575,0.70683175,4,0,False,,
flickr,14172932360,top4_confusing,0.695259,0.66030914,4,0,False,,
flickr,14174434304,top4_confusing,0.6324698,0.60356605,4,0,False,,
flickr,14203929291,top4_confusing,0.7721892,0.79024315,4,0,False,,
flickr,14414061986,top4_confusing,0.67046994,0.72013766,4,0,False,,
flickr,14566072101,top4_confusing,0.77370715,0.74874765,4,0,False,,
flickr,14648401332,top4_confusing,0.73064494,0.7246804,4,0,False,,
flickr,14652810592,top4_confusing,0.74707085,0.7073681,4,0,False,,
flickr,14678892718,top4_confusing,0.76626396,0.6798045,4,0,False,,
flickr,14680986811,top4_confusing,0.7973818,0.6954103,4,0,False,,
flickr,14742398172,top4_confusing,0.6497477,0.70971745,4,0,False,,
flickr,14778198185,top4_confusing,0.71063995,0.7185187,4,0,False,,
flickr,14899015793,top4_confusing,0.6547464,0.69663376,4,0,False,,
flickr,15135657108,top4_confusing,0.6597065,0.6184941,4,0,False,,
flickr,15210828119,top4_confusing,0.69684684,0.6449978,4,0,False,,
flickr,15679023977,top4_confusing,0.6134104,0.69732195,4,0,False,,
flickr,15799251138,top4_confusing,0.70054644,0.66158956,4,0,False,,
flickr,15994498891,top4_confusing,0.6824031,0.5975179,4,0,False,,
flickr,16012165838,top4_confusing,0.7388357,0.644412,4,0,False,,
flickr,16101081359,top4_confusing,0.5759462,0.6685454,4,0,False,,
flickr,16369370669,top4_confusing,0.6837038,0.59155756,4,0,False,,
flickr,16419739420,top4_confusing,0.64285004,0.7750637,4,0,False,,
flickr,16563757295,top4_confusing,0.6054098,0.6389902,4,0,False,,
flickr,16659090834,top4_confusing,0.5755757,0.57840794,4,0,False,,
flickr,16804898716,top4_confusing,0.50455046,0.63019806,4,0,False,,
flickr,16950760048,top4_confusing,0.7099203,0.73759013,4,0,False,,
flickr,17140316339,top4_confusing,0.67352444,0.6407247,4,0,False,,
flickr,17537079145,top4_confusing,0.65203834,0.70382977,4,0,False,,
flickr,19306860381,top4_confusing,0.6235076,0.6508389,4,0,False,,
flickr,20854461578,top4_confusing,0.75899416,0.6703953,4,0,False,,
flickr,2401957951,top4_confusing,0.65358114,0.68508285,4,0,False,,
flickr,2404965389,top4_confusing,0.72811466,0.68661547,4,0,False,,
flickr,2432219254,top4_confusing,0.70012844,0.6783392,4,0,False,,
flickr,2462141223,top4_confusing,0.690395,0.6227689,4,0,False,,
flickr,2465634368,top4_confusing,0.6360047,0.6659496,4,0,False,,
flickr,2499673064,top4_confusing,0.7377274,0.7226612,4,0,False,,
flickr,2509250774,top4_confusing,0.52949363,0.6364455,4,0,False,,
flickr,2542659118,top4_confusing,0.6094488,0.69325715,4,0,False,,
flickr,2630218696,top4_confusing,0.6789299,0.6738846,4,0,False,,
flickr,2695985181,top4_confusing,0.58374274,0.6381576,4,0,False,,
flickr,2698329253,top4_confusing,0.6082828,0.6320252,4,0,False,,
flickr,2766580444,top4_confusing,0.5285172,0.52959853,4,0,False,,
flickr,2778088729,top4_confusing,0.67587054,0.5689781,4,0,False,,
flickr,2808068937,top4_confusing,0.6371097,0.7632602,4,0,False,,
flickr,2811549163,top4_confusing,0.6835816,0.7465151,4,0,False,,
