dataset,group,seed,kind,sample_index,sample_id,specific_audio_switch_spearman
vggss,C0,12345,best,240,1JsIcP2nXMw_000108,0.04369897959183674
vggss,C0,12345,best,241,1MTKUN3uFrs_000440,0.1509821428571429
vggss,C0,12345,best,242,1MaEJRh2oGY_000034,0.07278061224489796
vggss,C0,12345,best,243,1MaEJRh2oGY_000089,0.15918367346938772
vggss,C0,12345,best,244,1OFDyTzUj24_000030,-0.05119897959183674
vggss,C0,12345,best,245,1P9yEzO1Bic_000025,-0.006084183673469412
vggss,C0,12345,best,246,1PN-bfs2EhY_000030,0.08334183673469386
vggss,C0,12345,best,247,1Qvce8w_Vds_000011,0.03238520408163265
vggss,C0,12345,best,248,1RhYdQnZ_hw_000030,0.14127551020408163
vggss,C0,12345,best,249,1SJFTbu1abo_000042,0.29838010204081633
vggss,C0,12345,best,250,1TAOyk0Xgss_000370,-0.03284438775510203
vggss,C0,12345,best,251,1TJrceFMGrU_000114,0.14127551020408163
vggss,C0,12345,best,252,1Tg9VvRZN5k_000030,-0.4839285714285715
vggss,C0,12345,best,253,1Thl21awe2g_000020,0.273125
vggss,C0,12345,best,254,1U8Y6VifI-M_000050,0.05963010204081633
vggss,C0,12345,best,255,1UXkMZNI5o4_000373,0.07483418367346936
vggss,C0,12345,best,256,1V-_jMSJR6A_000024,0.049974489795918356
vggss,C0,12345,best,257,1VHm2PacRWc_000020,0.07729591836734694
vggss,C0,12345,best,258,1WLMVX_Y2Pk_000018,-0.3296428571428571
vggss,C0,12345,best,259,1_0T2ZIjWnw_000031,-0.14414540816326532
vggss,C0,12345,best,260,1_JeO9Pg1aQ_000020,0.16400510204081636
vggss,C0,12345,best,261,1_Q80fDGLRM_000010,0.08221938775510204
vggss,C0,12345,best,262,1_v-Kro86Io_000010,-0.18965561224489796
vggss,C0,12345,best,263,1_xoCNmTn3Y_000012,0.537640306122449
vggss,C0,12345,best,264,1_yyvTRVoZQ_000002,0.06575255102040815
vggss,C0,12345,best,265,1_yyvTRVoZQ_000209,0.0546938775510204
vggss,C0,12345,best,266,1aDnyPubxdY_000118,0.20135204081632652
vggss,C0,12345,best,267,1cqcTbDxsHM_000130,-0.0613265306122449
vggss,C0,12345,best,268,1cwGW0cBdRs_000030,-0.233890306122449
vggss,C0,12345,best,269,1cxvg7qu0G0_000070,-0.18017857142857147
vggss,C0,12345,best,270,1dyFP4MGkIM_000030,0.11463010204081633
vggss,C0,12345,best,271,1eBzpkIY-TY_000198,-0.11640306122448979
vggss,C0,12345,best,272,1f-L1M-S6RQ_000030,-0.0021045918367346983
vggss,C0,12345,best,273,1g3n6Zaqid8_000064,-0.04168367346938775
vggss,C0,12345,best,274,1gSwLBNvEWE_000034,-0.0691581632653061
vggss,C0,12345,best,275,1gWu-9hPzFs_000022,0.28025510204081633
vggss,C0,12345,best,276,1hba9jmspEQ_000030,-0.08565051020408165
vggss,C0,12345,best,277,1hknEtsmdOc_000030,0.02123724489795919
vggss,C0,12345,best,278,1hoUEfsTmdE_000030,-0.1715688775510204
vggss,C0,12345,best,279,1hwkxJOl1PY_000020,-0.060739795918367354
vggss,C0,12345,best,280,1kTMiyc5eXg_000163,0.4007015306122449
vggss,C0,12345,best,281,1kiR-BU9Fik_000071,0.0037117346938775747
vggss,C0,12345,best,282,1mkIuq3rjUg_000019,-0.023278061224489797
vggss,C0,12345,best,283,1n6JyJt4kJ4_000018,-0.1740816326530612
vggss,C0,12345,best,284,1nUqhH8bAPk_000030,0.07547193877551021
vggss,C0,12345,best,285,1oJAVJPX0YY_000020,-0.10099489795918368
vggss,C0,12345,best,286,1obzCbmFpa8_000410,-0.052602040816326544
vggss,C0,12345,best,287,1p3NSKpuJDs_000144,0.01232142857142858
vggss,C0,12345,best,288,1p5jl5JeZx8_000117,-0.25261479591836733
vggss,C0,12345,best,289,1q8kkQhS97g_000140,-0.22582908163265306
vggss,C0,12345,best,290,1rtXsGC-q3Q_000030,0.24933673469387757
vggss,C0,12345,best,291,1sukRxLM77w_000021,0.16654336734693875
vggss,C0,12345,best,292,1tC7bTilFWk_000030,-0.10136479591836739
vggss,C0,12345,best,293,1uCzQCdCC1U_000170,-0.25118622448979594
vggss,C0,12345,best,294,1uhuVsFGe6E_000050,-0.05947704081632654
vggss,C0,12345,best,295,1veIcvGPRYw_000003,0.3585331632653061
vggss,C0,12345,best,296,1vrJPFfLMvA_000233,0.053188775510204095
vggss,C0,12345,best,297,1vrR6Im_RDo_000030,0.2577551020408163
vggss,C0,12345,best,298,1vy-ZxTMQf4_000377,0.02197704081632653
vggss,C0,12345,best,299,1woaZGPrY9g_000002,-0.0015433673469387836
vggss,C0,12345,best,300,1xS-iGBR2b8_000014,-0.14747448979591837
vggss,C0,12345,best,301,1xYpHbg0fEE_000030,0.31117346938775514
vggss,C0,12345,best,302,1xyVkQJ8A54_000000,0.21362244897959184
vggss,C0,12345,best,303,1yKGjTOk7NY_000030,-0.2390433673469388
vggss,C0,12345,best,304,1yWGmdevTuM_000030,-0.31278061224489795
vggss,C0,12345,best,305,1z19uJK6SB0_000076,0.061594387755102065
vggss,C0,12345,best,306,1zQtgRqPHZU_000024,-0.06985969387755102
vggss,C0,12345,best,307,20Nlj7Cz4E0_000030,-0.2489030612244898
vggss,C0,12345,best,308,20qZLse0acs_000030,-0.24735969387755102
vggss,C0,12345,best,309,21I0YiLHzvg_000038,0.12378826530612247
vggss,C0,12345,best,310,24tWz7gmngI_000030,-0.07992346938775513
vggss,C0,12345,best,311,253aGgk7NSE_000010,0.3096045918367347
vggss,C0,12345,best,312,25PvbXDbZO8_000035,0.35181122448979585
vggss,C0,12345,best,313,25QsgUI0x8U_000020,-0.21022959183673465
vggss,C0,12345,best,314,26dqZUTv5os_000175,0.5781377551020408
vggss,C0,12345,best,315,28StN9ykZ68_000094,-0.028112244897959188
vggss,C0,12345,best,316,28ehZa0fzmo_000028,0.03448979591836737
vggss,C0,12345,best,317,28p0DrP3KgI_000021,0.04794642857142857
vggss,C0,12345,best,318,29MZ0dwOBOM_000112,-0.2908928571428572
vggss,C0,12345,best,319,29ZWMYIEq3g_000141,0.05378826530612246
vggss,C0,12345,best,320,29dwfsI1XlQ_000006,0.2553698979591837
vggss,C0,12345,best,321,2ACsPTob5cY_000118,0.018392857142857155
vggss,C0,12345,best,322,2ACsPTob5cY_000349,0.09031887755102044
vggss,C0,12345,best,323,2ASyuuVhr6M_000052,-0.09377551020408163
vggss,C0,12345,best,324,2B-xGbzOjYY_000030,0.03230867346938775
vggss,C0,12345,best,325,2BR2Ivk_EFA_000021,-0.0005867346938775511
vggss,C0,12345,best,326,2Bljhdt61Y4_000038,0.11244897959183675
vggss,C0,12345,best,327,2C4aXzGI2eI_000415,-0.02400510204081631
vggss,C0,12345,best,328,2EYGJpU7juM_000130,-0.12802295918367346
vggss,C0,12345,best,329,2HZcxlRs-hg_000030,0.10979591836734692
vggss,C0,12345,best,330,2IEoe3YvCJo_000020,0.1530994897959184
vggss,C0,12345,best,331,2INpPpv4NRg_000560,0.013099489795918372
vggss,C0,12345,best,332,2ISY5z0QQfc_000101,-0.09928571428571428
vggss,C0,12345,best,333,2Jpg_KvJWL0_000030,-0.23331632653061224
vggss,C0,12345,best,334,2JpvRGz5Dq0_000001,0.2729336734693878
vggss,C0,12345,best,335,2K5Px-N6BEI_000447,-0.018737244897959193
vggss,C0,12345,best,336,2KEg1a42Wx0_000288,0.15409438775510204
vggss,C0,12345,best,337,2LRhkMH48_Q_000030,0.008316326530612247
vggss,C0,12345,best,338,2M0i--pR-To_000037,-0.21207908163265304
vggss,C0,12345,best,339,2MKPKDQcgVc_000036,0.13369897959183677
vggss,C0,12345,best,340,2NESqWU89V0_000338,0.1662372448979592
vggss,C0,12345,best,341,2Oe5kao1ycY_000310,-0.19077806122448976
vggss,C0,12345,best,342,2PHV2xNjGVU_000126,-0.037308673469387744
vggss,C0,12345,best,343,2Pl5B1Tpn1U_000024,-0.09829081632653061
