dataset,state,batch,term,loss,base_norm,weighted_cram_norm,raw_cram_norm,total_norm,ratio,cosine,sum_relative_error
flickr,initial,2,base_view_b,0.0010162563994526863,8.171032598327057e-05,1.0583646409312106e-05,4.2334585637248427e-10,8.556449077740046e-05,0.12952642498916245,0.30798758755055994,2.633706367440348e-08
flickr,initial,3,base,0.0010650143958628178,8.983754347049671e-05,1.0450987283487636e-05,4.1803949133950546e-10,9.350596566439042e-05,0.11633206875163293,0.30001258632509553,2.6195233952426695e-08
flickr,initial,3,coarse,8.37516417959705e-05,2.7597121517521276e-05,1.0450987283487636e-05,4.1803949133950546e-10,2.6465645235912627e-05,0.37869845508533767,-0.2953948196080891,2.6249367851825112e-08
flickr,initial,3,equiv,0.0009812627686187625,9.881250246380421e-05,1.0450987283487636e-05,4.1803949133950546e-10,0.00010298973694260262,0.10576583957395386,0.35526314503197176,2.628332979223529e-08
flickr,initial,3,positive_half,0.00015405470912810415,4.56476489917621e-05,1.0450987283487636e-05,4.1803949133950546e-10,5.201509175952959e-05,0.22894908093456678,0.5372862444375316,2.629174302692885e-08
flickr,initial,3,negative_half,-0.00020424781541805714,4.099136783948937e-05,1.0450987283487636e-05,4.1803949133950546e-10,3.86694047194022e-05,0.2549558073887837,-0.3433617278899898,2.5675544037560794e-08
flickr,initial,3,base_view_a,0.0010650143958628178,5.0538106730054275e-05,1.0450987283487636e-05,4.1803949133950546e-10,4.9887556645465404e-05,0.20679419866895382,-0.165244174113812,2.598344507361988e-08
flickr,initial,3,base_view_b,0.0010650143958628178,9.282977186292345e-05,1.0450987283487636e-05,4.1803949133950546e-10,9.728567728253058e-05,0.11258227908736032,0.38030386962463975,2.635248995396135e-08
flickr,epoch1,0,base,0.0011038804659619927,0.0009148939770214939,0.0009841574157779414,3.9366296631117656e-08,0.0002646894479090816,1.0757065195487894,-0.9637588281824373,1.2601744484782523e-08
flickr,epoch1,0,coarse,0.0005021393299102783,0.0006541402137497442,0.0009841574157779414,3.9366296631117656e-08,0.0008812900861845888,1.5045052957934375,-0.4813724920980807,2.605914705272664e-08
flickr,epoch1,0,equiv,0.0006017411360517144,0.0008748359915970536,0.0009841574157779414,3.9366296631117656e-08,0.0007862307728079879,1.1249621931778508,-0.6479533558192206,2.5080177884258544e-08
flickr,epoch1,0,positive_half,0.0003250658337492496,0.0009116821807781718,0.0009841574157779414,3.9366296631117656e-08,0.0006041419473750664,1.0794961627284498,-0.7995322753587595,2.283927753080139e-08
flickr,epoch1,0,negative_half,-0.0009962832555174828,0.0017984628312423007,0.0009841574157779414,3.9366296631117656e-08,0.00275225487032454,0.5472214374862159,0.9525222133702745,2.7994169673479483e-08
flickr,epoch1,0,base_view_a,0.0011038804659619927,0.0004126037445904249,0.0009841574157779414,3.9366296631117656e-08,0.0008868749540737677,2.385236267680689,-0.4337467147675542,2.3934245074902005e-08
