dataset,batch,weighted_loss,parameter_group,gradient_l2
flickr,4,info,audio_decoder,0.0
flickr,4,rec_img,visual_backbone,0.009631737889014896
flickr,4,rec_img,visual_l3_slot_branch,0.015564935773811612
flickr,4,rec_img,visual_l4_slot_branch,0.020048051777957706
flickr,4,rec_img,visual_fusion,0.01599893326327594
flickr,4,rec_img,audio_backbone,0.0
flickr,4,rec_img,audio_slot_branch,0.0
flickr,4,rec_img,shared_slots,0.0001811965809775536
flickr,4,rec_img,image_decoder,0.04822078281773553
flickr,4,rec_img,audio_decoder,0.0
flickr,4,rec_aud,visual_backbone,0.0
flickr,4,rec_aud,visual_l3_slot_branch,0.0
flickr,4,rec_aud,visual_l4_slot_branch,0.0
flickr,4,rec_aud,visual_fusion,0.0
flickr,4,rec_aud,audio_backbone,0.06249267841689831
flickr,4,rec_aud,audio_slot_branch,0.024614900777860556
flickr,4,rec_aud,shared_slots,0.00016318144844077546
flickr,4,rec_aud,image_decoder,0.0
flickr,4,rec_aud,audio_decoder,0.01920914812986725
flickr,4,div_img,visual_backbone,0.0020556897676567787
flickr,4,div_img,visual_l3_slot_branch,0.0037532657351222014
flickr,4,div_img,visual_l4_slot_branch,0.0027801778567722694
flickr,4,div_img,visual_fusion,0.0033947216900150306
flickr,4,div_img,audio_backbone,0.0
flickr,4,div_img,audio_slot_branch,0.0
flickr,4,div_img,shared_slots,4.154208565216795e-05
flickr,4,div_img,image_decoder,0.0
flickr,4,div_img,audio_decoder,0.0
flickr,4,div_aud,visual_backbone,0.0
flickr,4,div_aud,visual_l3_slot_branch,0.0
flickr,4,div_aud,visual_l4_slot_branch,0.0
flickr,4,div_aud,visual_fusion,0.0
flickr,4,div_aud,audio_backbone,0.06738133215239855
flickr,4,div_aud,audio_slot_branch,0.018982316349967582
flickr,4,div_aud,shared_slots,0.00016510446911204693
flickr,4,div_aud,image_decoder,0.0
flickr,4,div_aud,audio_decoder,0.0
flickr,4,att_space,visual_backbone,0.09328923209556662
flickr,4,att_space,visual_l3_slot_branch,0.0
flickr,4,att_space,visual_l4_slot_branch,0.007160313693266045
flickr,4,att_space,visual_fusion,0.0
flickr,4,att_space,audio_backbone,0.1095446384833576
flickr,4,att_space,audio_slot_branch,0.013060169675226501
flickr,4,att_space,shared_slots,9.236800211678531e-05
flickr,4,att_space,image_decoder,0.0
flickr,4,att_space,audio_decoder,0.0
flickr,4,att_time,visual_backbone,0.00668093380633415
flickr,4,att_time,visual_l3_slot_branch,0.0
flickr,4,att_time,visual_l4_slot_branch,0.02436131890417159
flickr,4,att_time,visual_fusion,0.0
flickr,4,att_time,audio_backbone,0.46736070413570374
flickr,4,att_time,audio_slot_branch,0.019332128937737704
flickr,4,att_time,shared_slots,0.00016475069102292196
flickr,4,att_time,image_decoder,0.0
flickr,4,att_time,audio_decoder,0.0
flickr,5,info,visual_backbone,7.45367308283243
flickr,5,info,visual_l3_slot_branch,1.779371885847955
flickr,5,info,visual_l4_slot_branch,3.542006081624911
flickr,5,info,visual_fusion,1.9577364778752853
flickr,5,info,audio_backbone,55.278840379818455
flickr,5,info,audio_slot_branch,11.458740954416008
flickr,5,info,shared_slots,0.0889818618751502
flickr,5,info,image_decoder,0.0
flickr,5,info,audio_decoder,0.0
flickr,5,rec_img,visual_backbone,0.011350333530061851
flickr,5,rec_img,visual_l3_slot_branch,0.01603767225401364
flickr,5,rec_img,visual_l4_slot_branch,0.020629755441312743
flickr,5,rec_img,visual_fusion,0.015851338050972223
flickr,5,rec_img,audio_backbone,0.0
flickr,5,rec_img,audio_slot_branch,0.0
flickr,5,rec_img,shared_slots,0.00018479548995331056
flickr,5,rec_img,image_decoder,0.05055224303834435
flickr,5,rec_img,audio_decoder,0.0
flickr,5,rec_aud,visual_backbone,0.0
flickr,5,rec_aud,visual_l3_slot_branch,0.0
