dataset,group,seed,kind,map,sample_index,sample_id,iou,precision,coverage,pred_area_ratio,tp,fp,fn,taxonomy,GT_mean,FP_mean,GT_vs_FP_auroc,NearFP_mean,GT_vs_NearFP_auroc,FarFP_mean,GT_vs_FarFP_auroc,HighAUDFP_mean,GT_vs_HighAUDFP_auroc
flickr,C1,12345,best,AUD,152,2698329253,0.5908293243774773,0.833226659839563,0.643537437384656,0.46707589285714285,19527.5,2707.0,10816.5,GOOD,0.6541036367416382,0.5584061741828918,0.656005859375,0.5466773509979248,0.6759033203125,,,0.7145501375198364,0.38848286290322576
flickr,C1,12345,best,IQR,152,2698329253,0.6323212714974673,0.8461319912330546,0.6870221460585288,0.491031568877551,20847.0,2625.0,9497.0,GOOD,0.6623224020004272,0.5645498037338257,0.665374755859375,0.5506294369697571,0.6873931884765625,,,0.7337077260017395,0.3735299059139785
flickr,C1,12345,best,AUD,153,2766580444,0.3230261348005502,0.3148664592942186,1.0,0.37161192602040816,5871.0,12304.0,0.0,OVER,0.8304296135902405,0.6065000295639038,0.87188720703125,0.7691031694412231,0.69342041015625,0.41414308547973633,1.0,0.7022369503974915,0.7488243325242718
flickr,C1,12345,best,IQR,153,2766580444,0.31441118192041984,0.3066757208524864,1.0,0.3815369897959184,5871.0,12802.0,0.0,OVER,0.834761917591095,0.6170526742935181,0.869049072265625,0.7767754793167114,0.693023681640625,0.42747148871421814,1.0,0.711927592754364,0.7423012742718447
flickr,C1,12345,best,AUD,154,2778088729,0.6151235841702206,0.671673927194432,0.8468434343434343,0.3980189732142857,13414.0,5967.0,2426.0,GOOD,0.7464321851730347,0.6068497896194458,0.7859344482421875,0.6660478115081787,0.7164382934570312,0.5016179084777832,0.872039794921875,0.7335411310195923,0.619921875
flickr,C1,12345,best,IQR,154,2778088729,0.6070227272727273,0.6643038352484704,0.8430871212121213,0.4006497130102041,13354.5,6160.0,2485.5,GOOD,0.7452855110168457,0.6105173230171204,0.7816925048828125,0.6660455465316772,0.7177581787109375,0.5163275003433228,0.8608245849609375,0.7352614998817444,0.617578125
flickr,C1,12345,best,AUD,155,2808068937,0.5863115233740057,0.9625346901017576,0.5920600529621605,0.28007413903061223,13526.5,224.0,9320.0,GOOD,0.6348812580108643,0.4002739191055298,0.7998199462890625,0.4327830970287323,0.76788330078125,0.3058929443359375,0.8887939453125,0.40836822986602783,0.7927684294871794
flickr,C1,12345,best,IQR,155,2808068937,0.5980034140754986,0.9583419904425514,0.6056726413236163,0.2877670599489796,13837.5,293.0,9009.0,GOOD,0.6433773636817932,0.4050675332546234,0.7938385009765625,0.4368816912174225,0.763641357421875,0.3101600408554077,0.882537841796875,0.4107128977775574,0.7892628205128205
flickr,C1,12345,best,AUD,156,2811549163,0.46789045682850994,0.5569077917271614,0.6520833333333333,0.7000757334183674,19562.5,11810.0,10437.5,MIXED,0.6506370306015015,0.7816805243492126,0.33271026611328125,0.7661217451095581,0.366455078125,,,0.8084725737571716,0.27705125301932365
flickr,C1,12345,best,IQR,156,2811549163,0.4555721620904949,0.5633775525413623,0.62995,0.6685467155612245,18898.5,11483.0,11101.5,MIXED,0.6336826086044312,0.7356538772583008,0.380828857421875,0.723889946937561,0.4046173095703125,,,0.7604790329933167,0.33346542874396135
flickr,C1,12345,best,AUD,157,2819123278,0.8720984215413184,0.9422216220387376,0.898208768574371,0.5165417729591837,24420.5,814.0,2767.5,GOOD,0.7305189371109009,0.5461026430130005,0.9208526611328125,0.5658007860183716,0.897003173828125,,,,
flickr,C1,12345,best,IQR,157,2819123278,0.8861288471195925,0.9474743988033598,0.9086177725467118,0.5196308992346939,24703.5,690.0,2484.5,GOOD,0.7330397963523865,0.5343034267425537,0.9393157958984375,0.551317572593689,0.924224853515625,,,,
flickr,C1,12345,best,AUD,158,2858344348,0.7542542016806723,0.8969271765832535,0.7542542016806723,0.47865513392857145,21541.5,0.0,7018.5,GOOD,0.6656762361526489,,,,,,,,
flickr,C1,12345,best,IQR,158,2858344348,0.6949579831932773,0.9058463785313313,0.6949579831932773,0.4366828762755102,19848.0,0.0,8712.0,GOOD,0.637211263179779,,,,,,,,
flickr,C1,12345,best,AUD,159,2895192729,0.8081485225043106,0.8314319794470272,0.9148717776132462,0.6516262755102041,27184.5,3924.0,2529.5,GOOD,0.818433940410614,0.6989599466323853,0.788909912109375,0.7011986970901489,0.786163330078125,,,0.8097713589668274,0.6037642045454545
