sample_id,mean_iou,hard_iou,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,precision,coverage,pred_area_ratio,hard_minus_mean_iou,subset
10389014583,0.6491817037347881,0.5615540316002537,0.7139630913734436,0.6584932208061218,0.0554698705673217,0.6398162841796875,0.7203596246149437,0.7555697486568734,0.5564014668367347,-0.08762767213453437,middle
10409146004,0.5513533419259805,0.5061302436049684,0.7553861737251282,0.801195502281189,-0.0458093285560607,0.4728851318359375,0.6598501542529749,0.7612365263371975,0.4522082270408163,-0.04522309832101212,middle
10409351364,0.8304500842668782,0.6827480223711392,0.7954513430595398,0.5830709934234619,0.2123803496360778,0.9248199462890624,0.8254582183681514,0.9546153846153846,0.4044961734693877,-0.14770206189573898,hard_hurt
10413912845,0.3764113642848408,0.3168654521689404,0.7991266250610352,0.8067793846130371,-0.0076527595520019,0.5534515380859375,0.3987606874514207,0.826797385620915,0.4615353954081632,-0.05954591211590038,middle
10437048305,0.6143581221437474,0.7595507395396662,0.6793771386146545,0.6752698421478271,0.0041072964668273,0.5500946044921875,0.9143952510511996,0.640122591034232,0.4028818558673469,0.14519261739591882,hard_help
10440265465,0.5999851146174456,0.6366033068610858,0.8272422552108765,0.6965588927268982,0.1306833624839782,0.8560028076171875,0.5797733091683208,0.9781353135313532,0.6927814094387755,0.03661819224364016,middle
10441843213,0.7783944621741209,0.8002274037038768,0.840152382850647,0.6926579475402832,0.1474944353103637,0.83123779296875,0.7745850081310791,0.9352412707233492,0.6495336415816326,0.0218329415297559,middle
10446128125,0.7494868654811391,0.7773177346621091,0.7155512571334839,0.5714841485023499,0.144067108631134,0.77520751953125,0.8901384791871517,0.7949543550246062,0.4864477040816326,0.027830869180969997,middle
10451898725,0.0541014705672595,0.1028263648975816,0.921525239944458,0.8564860224723816,0.0650392174720764,0.707611083984375,0.0532919324472419,1.0,0.7092434630102041,0.048724894330322094,middle
10468313544,0.4386301041791402,0.4481918224255263,0.7557049989700317,0.6360222101211548,0.1196827888488769,0.7248077392578125,0.4663017385611406,0.8611586901763224,0.5479512117346939,0.009561718246386075,middle
