sample_id,mean_iou,hard_iou,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,precision,coverage,pred_area_ratio,hard_minus_mean_iou,subset,gt_area_ratio,size_bin,auto_taxonomy,over_diagnosis,group
l5O87Umi7DI_000210,0.6006791483113069,0.6334567329939843,0.6936609745025635,0.6988877058029175,-0.005226731300354,0.51202392578125,0.8179716303193151,0.6933629959213942,0.3189373405612244,0.03277758468267744,middle,0.3762555803571428,very_large,GOOD,,B_close
l5l0Awx8eeQ_000023,0.5662391656683814,0.5554221002059025,0.7469037771224976,0.771175742149353,-0.0242719650268554,0.533905029296875,0.719478891525272,0.7266684753119913,0.4451729910714285,-0.010817065462478848,middle,0.4407684948979591,very_large,GOOD,,B_close
l6RTgFxEWFY_000181,0.5743456283469296,0.5910620461656533,0.7339165210723877,0.6718168258666992,0.0620996952056884,0.6413421630859375,0.7225790202745246,0.7368218298555377,0.3165258290816326,0.016716417818723683,middle,0.3104073660714285,very_large,GOOD,,B_close
l70yarlcd-I_000029,0.6938215648854962,0.5876721850120056,0.7893413305282593,0.603440523147583,0.1859008073806762,0.8644256591796875,0.7597962382445141,0.8887700534759359,0.4577487244897959,-0.1061493798734906,hard_hurt,0.3913225446428571,very_large,GOOD,,transition
l7RTgupQWcc_000030,0.6063409123005226,0.6335348108350123,0.8880021572113037,0.7870492339134216,0.100952923297882,0.847625732421875,0.614388437734769,0.9788543744656596,0.5570990114795918,0.027193898534489724,middle,0.3496691645408163,very_large,GOOD,,A_ogl_help
l7oD9WX-1CU_000010,0.4578949992521314,0.4972635670809677,0.666098952293396,0.6942752003669739,-0.0281762480735778,0.4808349609375,0.6540844669183107,0.6042105263157894,0.2798349808673469,0.0393685678288363,middle,0.3029336734693877,very_large,MIXED,,C_aud_better
l8huGsnYzus_000023,0.7267734553775743,0.7545073481137317,0.7056158781051636,0.5533163547515869,0.1522995233535766,0.80010986328125,0.9100286532951288,0.7830374753451677,0.5912189094387755,0.02773389273615734,middle,0.6871014030612245,very_large,GOOD,,transition
l9L7_RaTw6I_000060,0.6246297346694397,0.6807875084860828,0.774364709854126,0.6142861843109131,0.1600785255432129,0.79608154296875,0.7326286221170905,0.8090612244897959,0.2696109693877551,0.05615777381664311,middle,0.244140625,large,GOOD,,transition
lA3KGYqG5rQ_000458,0.6863934894346088,0.5766124979058469,0.7204526662826538,0.6899207234382629,0.0305319428443908,0.559112548828125,0.8599025175513124,0.7728167825422979,0.4456911670918367,-0.10978099152876186,hard_hurt,0.495914381377551,very_large,GOOD,,C_aud_better
lA3KGYqG5rQ_000484,0.6300905502670072,0.63131336728496,0.8118181824684143,0.7046305537223816,0.1071876287460327,0.7447357177734375,0.6906046416938111,0.8779114906832298,0.3915816326530612,0.001222817017952793,middle,0.3080357142857143,very_large,GOOD,,B_close
lAA0QneMahs_000038,0.1713039043463478,0.2396358850625137,0.601060152053833,0.8097895979881287,-0.2087294459342956,0.10797119140625,0.207438413504426,0.4958176152206003,0.2904376594387755,0.06833198071616592,middle,0.1215122767857142,large,OVER,PERSISTENT_OVER,transition
