dataset,model,sample_id,sample_index,gt_response,nearfp_response,gt_nearfp_gap,gt_vs_nearfp_auroc,coverage,precision,background_response,pred_area_ratio,fp_area_ratio,RemoveFP,RemoveTP,AddTP,AddFP,entropy,normalized_entropy,iou,raw_range
flickr,lambda050k_latest,10035917404,7,0.5319831371307373,0.32140231132507324,0.21058082580566406,0.758148193359375,0.47208129825114226,0.9666731191121435,0.28636425733566284,0.30887276785714285,0.009566326530612245,7147,12829,0,0,5.257818836151448,0.9961547210719315,0.4650473381964923,0.004438627511262894
flickr,lambda050k_latest,10045181004,8,0.42793336510658264,0.33788877725601196,0.09004458785057068,0.62554931640625,0.2269483586949967,0.9898299140803086,0.2553389370441437,0.11365991709183673,0.0011559311224489796,7475,16277,397,0,5.263353704069958,0.9972033659528893,0.22642039187373403,0.004560122266411781
flickr,lambda050k_latest,10060697266,9,0.5495712757110596,0.36918896436691284,0.18038231134414673,0.7352752685546875,0.43600889779423,0.9910838351088467,0.2383086234331131,0.25817123724489793,0.0,2122,15377,88,0,5.245749050325301,0.9938679602481516,0.43600889779423,0.0054353754967451096
flickr,lambda050k_latest,10061269855,10,0.494850754737854,0.48960185050964355,0.005248904228210449,0.4455108642578125,0.23414236797248578,1.0,0.23265446722507477,0.15467554209183673,0.0,1060,16412,0,0,5.261971179330928,0.99694143061645,0.23414236797248578,0.004627505782991648
flickr,lambda050k_latest,10067897816,11,0.6928459405899048,0.5272473096847534,0.16559863090515137,0.847442626953125,0.8128847586558444,0.7076875810746228,0.46660536527633667,0.2919124681122449,0.08049665178571429,16816,2957,373,0,5.26914377442251,0.998300361892988,0.6173431404663351,0.004092404153198004
flickr,lambda050k_latest,10069511285,12,0.4841042160987854,0.48851895332336426,-0.004414737224578857,0.53594970703125,0.11078877214991376,0.9815226451792165,0.24598339200019836,0.07172751913265306,0.0,6248,28854,0,0,5.266029788587767,0.9977103811828689,0.11078877214991376,0.0042758905328810215
flickr,lambda050k_latest,10079676496,13,0.5077173709869385,0.24063251912593842,0.26708483695983887,0.8275909423828125,0.44801600894193155,0.8901425603553264,0.14684349298477173,0.2782007334183674,0.003248565051020408,7518,16976,0,0,5.236839371210477,0.9921799182691388,0.44539833318397704,0.005495312623679638
flickr,lambda050k_latest,10080652613,14,0.6076414585113525,0.34444329142570496,0.2631981670856476,0.8335418701171875,0.4554076819407008,0.9777560763888888,0.28412631154060364,0.2755102040816326,0.004603794642857143,3464,16287,0,0,5.244711161425711,0.9936713201661148,0.45189060880612486,0.005386865697801113
flickr,lambda050k_latest,10106776154,15,0.38360685110092163,0.20507076382637024,0.1785360872745514,0.8574371337890625,0.1845517532869413,0.9853320438426821,0.2061726599931717,0.12364477040816327,0.0,3138,19673,234,0,5.26595344518033,0.9976959170394453,0.1845517532869413,0.004323449917137623
flickr,lambda050k_latest,10109936483,16,0.7333491444587708,0.540654182434082,0.19269496202468872,0.8043060302734375,0.8840753004660289,0.6017320534223706,0.4315469264984131,0.47751913265306123,0.1648796237244898,9105,2237,0,2071,5.263656350872206,0.9972607058975073,0.5865302469386925,0.003669372759759426
