dataset,model,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,cram_c3_stage2,gt_nearfp_gap,0.09807458737118524,0.106151282787323,0.04335463047027588,0.1678786277770996,0.12452399730682373,0.08642831388333067,0.10848405305371593,247
flickr,cram_c3_stage2,gt_vs_nearfp_auroc,0.7078278416012179,0.7356414794921875,0.6093902587890625,0.835479736328125,0.2260894775390625,0.6878873575908132,0.7281783522553722,247
flickr,cram_c3_stage2,coverage,0.8369354929139093,0.8288944413478341,0.7571065521051241,0.9314950732367425,0.1743885211316184,0.8238467793475279,0.8505717867238657,250
flickr,cram_c3_stage2,precision,0.7256452877149907,0.7469487086468636,0.6254671689772363,0.8569903058775353,0.23152313690029902,0.7039823702909453,0.7462498961685372,250
flickr,cram_c3_stage2,background_response,0.4412958762645721,0.4392090290784836,0.37058060616254807,0.5050450563430786,0.13446445018053055,0.4296566349446773,0.45355129193365573,250
flickr,cram_c3_stage2,pred_area_ratio,0.5275173788265306,0.5214046556122449,0.45107222576530615,0.6072574537627551,0.15618522799744894,0.5135409558354593,0.5410574298469387,250
flickr,cram_c3_stage2,fp_area_ratio,0.11769571109693877,0.09942004145408162,0.041070432079081634,0.16783422353316327,0.12676379145408162,0.10499912906568877,0.13036170878507655,250
flickr,cram_c3_stage2,RemoveFP,4183.672,3614.0,2071.25,5814.75,3743.5,3818.2902,4535.5026,250
flickr,cram_c3_stage2,RemoveTP,2734.844,2301.5,868.75,4093.5,3224.75,2456.1408,3023.6791,250
flickr,cram_c3_stage2,AddTP,366.972,0.0,0.0,276.25,276.25,264.72159999999997,485.4101,250
flickr,cram_c3_stage2,AddFP,529.024,11.5,0.0,563.75,563.75,395.9512,670.4221999999999,250
flickr,cram_c3_stage2,entropy,5.271852400003903,5.272143936714361,5.270184755341464,5.273652228356403,0.0034674730149397703,5.271567219911807,5.27213156850989,250
flickr,cram_c3_stage2,normalized_entropy,0.9988135424046423,0.9988687774135951,0.9984975877939322,0.9991545407475548,0.0006569529536226693,0.998754711099937,0.9988669025685539,250
flickr,cram_c3_stage2,iou,0.6539349271637312,0.6634099585278446,0.5891802742643789,0.7518395860075523,0.16265931174317338,0.6365806306261607,0.6694146382271522,250
flickr,cram_c3_stage2,raw_range,0.002382663119584322,0.0024003400467336178,0.0021575421560555696,0.0026360220508649945,0.0004784798948094249,0.0023363935661735013,0.002430704737221822,250
flickr,short_step000,gt_response,0.7213436136245728,0.7188653945922852,0.665778324007988,0.7767162322998047,0.11093790829181671,0.7121680109858514,0.7310920413792132,250
flickr,short_step000,nearfp_response,0.6291780598491792,0.6205442547798157,0.5543754398822784,0.6942102313041687,0.13983479142189026,0.6159400800853847,0.6434842640994048,247
flickr,short_step000,gt_nearfp_gap,0.09327187965273374,0.10415548086166382,0.02942955493927002,0.18342122435569763,0.1539916694164276,0.07919763592392326,0.10720436224027684,247
flickr,short_step000,gt_vs_nearfp_auroc,0.6781721812909258,0.6980056762695312,0.583740234375,0.8211822509765625,0.2374420166015625,0.6560134321410968,0.6991049506204169,247
flickr,short_step000,coverage,0.7732057357345538,0.7779694978970026,0.6669543831007732,0.8804554170369916,0.21350103393621844,0.7569106085913271,0.7895000209328005,250
flickr,short_step000,precision,0.747854570105499,0.7725137413542507,0.6329694048500407,0.8903972405307223,0.2574278356806816,0.7271849156711053,0.7680035452763319,250
flickr,short_step000,background_response,0.3711998216509819,0.35910095274448395,0.2952185645699501,0.43566154688596725,0.14044298231601715,0.3578084043160081,0.38472699816823,250
flickr,short_step000,pred_area_ratio,0.4686922831632653,0.4545300542091837,0.3891751036352041,0.5390724649234694,0.1498973612882653,0.4562925223214286,0.4826909757653061,250
