sample_id,AUD_iou,IQR_iou
0W_wPc-zV3I_000101,0.06909691350184173,0.05724809260720863
0Wkk9iNzA9c_000030,0.6096645663454411,0.6143061384494766
0Wxl_LzqguI_000288,0.1960595023915047,0.18233397807865892
0XDEooC1h7s_000000,0.42701664532650446,0.420899854862119
0YTieIiZNN4_000010,0.41803624104509063,0.4825174825174825
0ZxpQ87jdgQ_000037,0.7218541538601644,0.7115716753022453
0_9-dbUW0hU_000030,0.2039915443919423,0.21572903970748605
0_B2YnBAz3A_000220,0.12544175673357352,0.12980513257374082
0apGJGFHQO4_000067,0.5962141378290446,0.5617828240125619
0bBJkY4_zs8_000033,0.6248239601915313,0.6219309493280144
0bobzCB2ObQ_000076,0.773424904206537,0.7670624698959184
0eA2QcSRgh0_000063,0.6392515883736055,0.5977815288160115
0eDN0YmnJRY_000002,0.2229590522791656,0.21512458833032996
0g_-KI5NZ-E_000030,0.06424182235739556,0.07270300646248946
0glBUluF4Yk_000175,0.6481603745273393,0.6490197291112623
0hfU27A6tus_000070,0.6261783598898807,0.6038352774832096
0hjqlmdPT6g_000050,0.8118431171494489,0.8139793281653747
0iX0QmnbrK4_000085,0.5776133088813205,0.5936567648203399
0jy-sVREk4o_000030,0.493682808795349,0.5599244696212373
0kQkVbOikzQ_000004,0.7117077813912905,0.7179425356640546
0m9-5BkL4Mc_000030,0.08902038132807363,0.07994399719985999
0mNvPaqfwUI_000220,0.713450520325837,0.7213081618627967
0n-Z2AQCRnU_000385,0.45731066755801736,0.4721370516377087
0n56ajMNoMA_000118,0.24548356424884543,0.2078909230723729
0nYltlo90Zc_000147,0.22995191561966807,0.21302842302698025
0nYltlo90Zc_000161,0.25841757239492286,0.23985347985347985
0nvBTp-q7tU_000112,0.11961387800783436,0.12406537993392454
0oTdsarJHA4_000220,0.33936043036461444,0.3466435471885063
0olhNr566Z0_000018,0.5583594480180328,0.5559428950863213
0q5kQGcOn2I_000083,0.6297843069817717,0.6387362298839244
0q6GOUn_dhU_000066,0.1304255769637942,0.16192061684044512
0q9FUj_2qMc_000539,0.6424488408168469,0.6667868428307849
0sT6vnChbrc_000000,0.22580645161290322,0.2550617739258713
0slFEpnTKkY_000115,0.49740154752280863,0.4790893415553672
0teMcpgy9Jo_000058,0.5499402806808003,0.5262267343485617
0ti14lvd2Aw_000000,0.2636268343815514,0.29999367768856294
0w9PLY1owzk_000108,0.8238983050847457,0.8183961271311303
0wdNFZhpdQw_000368,0.3772224891878904,0.3644520401623585
0welW-8hB1c_000071,0.44317330072192196,0.4415751845919444
0wzsE67O5tE_000230,0.4264646735487331,0.43820074299675355
0x9TnOQ5Nhw_000020,0.49118163162121165,0.580942585313889
0xPWkrfjMu0_000178,0.16526520051746443,0.1692847086105513
0yxJzCQW5zI_000030,0.3689948774747335,0.36098670398880334
10YXuv9Go0E_000140,0.0810107010619685,0.08328348004444065
10aBef0Ghkc_000040,0.3586996675286295,0.3458007480448827
10aF24rMeu0_000030,0.07270226457729528,0.07442844193775808
10hGfv89L3g_000030,0.0,0.0
115l3adqQ1M_000417,0.24154302670623146,0.23679106214601597
126AbihZt28_000009,0.3368055555555556,0.32412944073162153
12T-9dLEbY8_000020,0.30123808675514385,0.21835547780036882
130v5XJl8G0_000070,0.4972493791455786,0.47899680049540716
13W_9xdaOZE_000068,0.20800329184240304,0.2131782945736434
14jcqHjMXcI_000000,0.13188798554652212,0.13069825092962403
14lBeX_dOHU_000234,0.2369168837319441,0.246945575712699
14tRPoQA4q0_000004,0.07055003443865,0.07259165528953415
15Mw2jyyHk0_000030,0.2401342809185386,0.23649798964030863
15pi8h_bHQE_000173,0.5588588464245787,0.5595685979433158
169a2JSphHA_000269,0.4687183526499381,0.4748771321191096
16CvcIXIjzQ_000332,0.6592282284701523,0.7263226045135035
17K-oEuH1p0_000020,0.0817382307294361,0.07902940433060915
17WW_p1N7BQ_000030,0.36009952499434517,0.35196167883211676
17yDXvJTdeo_000603,0.190140590552604,0.2096952021908454
18212B4yfLg_000080,0.636516176393477,0.6358178053830228
18r-Vtspi8g_000030,0.30403196512895025,0.3170294429574264
190Zx0wVrhQ_000003,0.6041297319845657,0.6077975593005441
19r6_MQei4M_000119,0.5602728731942215,0.591743119266055
1ACn3u5UnBw_000030,0.0,0.0
1CZ-bybGzu4_000030,0.8570554259266343,0.8684149633629001
1D6UsaTflJ8_000060,0.5909344420220047,0.5236443134831995
1ETrMAVZdY8_000030,0.46396184031725785,0.42939291640441724
1ErGsKIlhAI_000051,0.10177022357006842,0.1063061735671136
1F3_bvIT0ig_000000,0.27427597955706984,0.27760028399006037
1F9zCsJyw6k_000230,0.14615032604965106,0.17491613609913056
1FWUnWVX5Xk_000159,0.3666050245816607,0.40192356365477094
1FnA3w94zXI_000030,0.5994356199453075,0.5853438228438228
1GDAnA4hAqQ_000105,0.7791141927267582,0.8107157403636094
1HUCwslugK8_000283,0.5592474957244076,0.557900836023508
1Isq_KJHriU_000016,0.3274215552523875,0.32168706996693774
1JY4rwQZn3s_000011,0.5709197379939026,0.5395381385584325
1JsIcP2nXMw_000108,0.4536102999734537,0.458760437173308
1MTKUN3uFrs_000440,0.1835970024979184,0.1844352281044157
1MaEJRh2oGY_000034,0.5661258371851712,0.5610119047619048
1MaEJRh2oGY_000089,0.5086830298231724,0.49618528610354223
1OFDyTzUj24_000030,0.07957329827287396,0.044343833285168416
1P9yEzO1Bic_000025,0.14892257121986852,0.1572902472260074
