sample_id,sample_index,d_pos,d_neg_mean,d_neg_min,d_neg_max,margin,violation,softplus_loss,normalized_margin,group,delta_iou,aud_iou,ogl_iou,aud_precision,aud_coverage,aud_area,aud_gap,aud_auroc,aud_nearfp_response,auto_taxonomy
AHIV0RMwnN8_000210,1054,2.169328035961371e-05,3.041987201868324e-05,2.147170562238898e-05,5.193982724449597e-05,8.72659165906953e-06,False,0.6931428172736349,0.1674546845346689,B_close,0.0019157237438397,0.1004828002414001,0.1023985239852398,0.1004828002414001,1.0,0.3962850765306122,0.0551983118057251,0.6056365966796875,0.7987806797027588,OVER
AHIiNsAzgKo_000024,1055,3.9716283936286345e-05,3.382626618986251e-05,2.836523344740272e-05,3.654616739368066e-05,-5.890017746423837e-06,True,0.693150125573155,-0.08008992965610595,B_close,0.026693378112367,0.1687647821774624,0.1954581602898294,0.1687647821774624,1.0,0.2612205038265306,0.07708340883255,0.7432708740234375,0.8403143286705017,OVER
AIDJFkDURPY_000030,1056,3.5239045246271417e-05,4.607789333022083e-05,2.111527464876417e-05,7.639508839929476e-05,1.0838848083949415e-05,False,0.6931417611505885,0.13329139217977648,transition,0.072140316029543,0.5626399137716607,0.6347802298012037,0.5775810707294238,0.9560439586639404,0.2341557716836734,0.181411325931549,0.8606414794921875,0.6433530449867249,OVER
AIVt3e5EVtc_000070,1057,4.654151416616514e-05,3.169992373841524e-05,1.127812993217958e-05,7.744948379695415e-05,-1.48415904277499e-05,True,0.6931546013826934,-0.1896896406244524,B_close,-0.0469625402499942,0.6913432661748841,0.6443807259248898,0.7524435135821275,0.894889771938324,0.6280293367346939,0.0299294590950012,0.59320068359375,0.7636893391609192,GOOD
AIuayXjDos8_000130,1058,2.6562160201137885e-05,5.501219493453391e-05,4.17723786085844e-05,7.522240048274398e-05,2.8450034733396024e-05,False,0.6931329556437542,0.34876198944284476,transition,0.0510852153306412,0.5417210854738064,0.5928063008044476,0.7335429357437611,0.6744354367256165,0.4056919642857143,-0.0054591298103332,0.4790286578341013,0.6619409918785095,GOOD
AJw-x30L46E_000080,1059,2.245698487968184e-05,2.270691402372904e-05,1.8732413082034327e-05,2.972595757455565e-05,2.499291440472007e-07,False,0.693147055595381,0.005533825568246055,B_close,0.0080213815076605,0.5638864113703714,0.571907792878032,0.9681387077652638,0.5745485424995422,0.4034598214285714,-0.0077525973320007,0.524078369140625,0.6146897673606873,GOOD
AK_xkz5nfIM_000089,1060,1.704385067569092e-05,2.3747725208522752e-05,1.910892206069548e-05,3.013336936419364e-05,6.703874532831833e-06,False,0.6931438286282966,0.16434457907476066,A_ogl_help,0.1644199879712323,0.3763053390204441,0.5407253269916765,0.3770817980840088,0.994557797908783,0.5408960459183674,0.0880138278007507,0.774749755859375,0.7874723672866821,OVER
AKmkhvb9shk_000000,1061,9.799878898775204e-05,5.546914781007217e-05,2.603442408144474e-05,7.119793735910207e-05,-4.2529641177679864e-05,True,0.6931684456066305,-0.2771239503700611,B_close,0.0247562653020366,0.6147734326505276,0.6395296979525643,0.8464474958691812,0.6919422745704651,0.349788743622449,0.0350569486618042,0.576995849609375,0.6510522365570068,GOOD
AKxHQn994OI_000140,1062,5.666038123308681e-05,8.514189084962709e-05,5.248167872196064e-05,0.0001601804979145,2.848150961654028e-05,False,0.6931329399065366,0.20085368871292272,B_close,0.0067600403821462,0.0223016075529471,0.0290616479350934,0.0223016075529471,1.0,0.3905253507653061,0.0323943495750427,0.63848876953125,0.857922375202179,OVER
AKxm4V3OylU_000030,1063,2.373503775743302e-05,4.470152384783432e-05,1.089604393200716e-05,8.827597048366442e-05,2.0966486090401297e-05,False,0.6931366973718492,0.30636381039961197,B_close,-0.0339086498378,0.5925525940645384,0.5586439442267384,0.7853544028398031,0.7070618271827698,0.3480947066326531,0.0474551916122436,0.5994415283203125,0.6454219818115234,GOOD
ALVS3Q_jNaU_000030,1064,8.990334754344076e-05,7.778937742841663e-05,4.688660192186944e-05,9.181336645269766e-05,-1.211397011502413e-05,True,0.6931532375633463,-0.07223909114016745,transition,0.0816300109400278,0.5915540827597927,0.6731840936998206,0.6008457754379909,0.9745240807533264,0.2309271364795918,0.1990245580673217,0.923553466796875,0.6041431427001953,OVER
ALdjQ9kbwd8_000030,1065,1.1588761481107213e-05,3.927013563043147e-05,1.1044582606700716e-05,6.765777652617544e-05,2.7681374149324256e-05,False,0.693133339968653,0.544277897814778,B_close,0.0405328653589182,0.767012773586315,0.8075456389452332,0.8050176401411211,0.9420183300971984,0.2542051977040816,0.1591180562973022,0.8456573486328125,0.6606048345565796,GOOD
