sample_index,sample_id,group,correction_type,area_AUD,area_IMG,centroid_distance,components_AUD,components_IMG,GT_overlap_AUD,GT_overlap_IMG
1260,CHxOPxrzSfQ_000214,OGL_RESCUE,MIXED,0.39961336096938777,0.37161192602040816,4.745761085909387,1,1,9022.0,8924.0
1266,CLtTzEgjeJk_000066,OGL_RESCUE,SHRINK,0.32750717474489793,0.25241151147959184,13.270881548203844,1,1,9344.0,7202.0
1303,ChBwdyjZAJI_000030,IMG_ONLY,SHRINK,0.7166573660714286,0.49611367984693877,11.920672929479743,1,1,15920.0,14498.0
1309,ClaW4rHT6t0_000000,OGL_RESCUE,MIXED,0.5421914859693877,0.537109375,2.2249321051994735,1,1,12136.0,12183.0
1315,CpoUHOCPaNw_000020,OGL_RESCUE,SHRINK,0.46031967474489793,0.35218032525510207,18.46621269657912,1,1,23030.0,17601.0
1317,Cqb1zyyTiHw_000000,IMG_ONLY,SHRINK,0.6215122767857143,0.5046635841836735,3.5955752075668177,1,1,14647.0,14174.0
1317,Cqb1zyyTiHw_000000,OGL_RESCUE,SHRINK,0.6215122767857143,0.5046635841836735,3.5955752075668177,1,1,14647.0,14174.0
1328,D-p9s8y2z_U_000000,OGL_RESCUE,MIXED,0.4472058354591837,0.46837133290816324,3.4428113247166676,1,1,10703.0,10703.0
1331,D0Vk5yjzXB0_000017,OGL_RESCUE,SHRINK,0.6528619260204082,0.4977877869897959,5.8324426339842725,1,1,16195.0,13080.0
1332,D1KdCkSFmnk_000000,OGL_RESCUE,MIXED,0.5613042091836735,0.5375677614795918,7.270223387509248,1,1,11864.0,11664.0
1352,DCrct29xGEY_000030,OGL_RESCUE,SHRINK,0.4058115433673469,0.28176817602040816,34.97221232718159,1,1,13435.0,8731.0
1360,DFf71XYDX3g_000016,OGL_RESCUE,EXPAND,0.39596619897959184,0.43807796556122447,8.322384829050979,1,1,8883.0,8928.0
1370,DKSrNxPQrbY_000090,IMG_ONLY,MIXED,0.29298867984693877,0.2755102040816326,12.082976401979817,1,1,8939.0,9320.0
1370,DKSrNxPQrbY_000090,OGL_RESCUE,MIXED,0.29298867984693877,0.2755102040816326,12.082976401979817,1,1,8939.0,9320.0
1380,DRSs6q_sTr4_000000,OGL_RESCUE,SHRINK,0.5155851403061225,0.4535435267857143,10.381515318709171,1,1,10361.0,10148.0
1382,DShnW2mZR-0_000002,IMG_ONLY,EXPAND,0.4202208227040816,0.5683195153061225,19.92289042224161,3,1,16709.0,23353.0
1384,DUNOn71oGCw_000040,IMG_ONLY,MIXED,0.2468311543367347,0.26070232780612246,2.2269943245027792,1,1,12385.0,13081.0
