dataset,model,sample_id,AUD,IMG_QUERY,OBJ_PRIOR,IQR,OGL,EXTRA_IQR_OGL
vggss,short_step000,Ydz4uQX5_ow_000023,0.6132304792142078,0.7194748790839997,0.3947945751894695,0.6557052297939778,0.6204792379818426,0.6455347845490157
vggss,short_step000,Yf7ypnJ2J-U_000039,0.2712279772155252,0.3926550963659028,0.3259805887543114,0.3207236842105263,0.3028622143332594,0.31386525638077717
vggss,short_step000,YfGQuqGjSOU_000126,0.17909435467783763,0.19306139613120268,0.1782637850105741,0.18386216447395218,0.20325113347340484,0.1961298786487373
vggss,short_step000,YjOOi6WAjtI_000023,0.5272211720226843,0.5420064390289756,0.2840839134346735,0.5245299995264479,0.4171047023724961,0.4676800681915045
vggss,short_step000,Ykv1CiXNXLQ_000134,0.11019062889720292,0.1056899819295694,0.0,0.10788087968494181,0.07415170968164549,0.09346584901670543
vggss,short_step000,YlLC5aGq4Yw_000009,0.478988279589482,0.46995929773403805,0.5838174397473709,0.4704149201142093,0.49925737322300023,0.4843470075608053
vggss,short_step000,YlpOZqnLeEs_000125,0.06312156112231297,0.07320173173928586,0.10105527638190955,0.06790164813077851,0.07333403075635526,0.07015578861623052
vggss,short_step000,Yn2KgQjK5R4_000200,0.2783394679215394,0.288638985005767,0.3625649913344887,0.2798633257403189,0.343580142529291,0.3086760413902892
vggss,short_step000,YqLZdK_e4-A_000030,0.5792664557915349,0.5432978803650902,0.5205834558539039,0.562509419743783,0.5926345181495736,0.5915806135524233
vggss,short_step000,YqvKDLbboxE_000027,0.22994885620267216,0.234040836090711,0.45563153344337026,0.23117700984495196,0.29930849416864486,0.25292168149311006
vggss,short_step000,YrBpFByZmKM_000137,0.372671779621224,0.34477329974811083,0.4139426800929512,0.3655428933206711,0.3930626598465473,0.3777405724308379
vggss,short_step000,Ys9Tvftkin0_000070,0.27654957831818555,0.2611425229089491,0.03428997390980246,0.27455130031337754,0.2578024796921761,0.27205247712756775
vggss,short_step000,YsHxZjm-zg8_000120,0.7621034638781359,0.7016839252879126,0.5382981102538298,0.7424054094366828,0.696098343132015,0.7269615723694446
vggss,short_step000,YsUCzO0gfro_000060,0.3254592054677488,0.3649729419089124,0.23216693874653985,0.3370637413190605,0.34200843578928475,0.3256151742993848
vggss,short_step000,YsX-dUhC-_4_000000,0.2519036740909956,0.23259946259859582,0.04397064771479748,0.24420259907241584,0.2603370668899822,0.2497978981406629
