dataset,group,seed,kind,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C0,12345,best,61,10659354545,FarFP,0.81536865234375,0.8469527193222192,3659
flickr,C0,12345,best,61,10659354545,HighAUDFP,0.6720717176258992,0.9098591549295775,1775
flickr,C0,12345,best,62,10666396623,FP,0.4178009033203125,0.4435885817852288,4414
flickr,C0,12345,best,62,10666396623,NearFP,0.4041900634765625,0.4306122448979592,4410
flickr,C0,12345,best,62,10666396623,FarFP,,,0
flickr,C0,12345,best,62,10666396623,HighAUDFP,,,0
flickr,C0,12345,best,63,10667001125,FP,0.5035247802734375,0.8135207773413272,4837
flickr,C0,12345,best,63,10667001125,NearFP,0.534576416015625,0.8093116507017153,8978
flickr,C0,12345,best,63,10667001125,FarFP,0.4198760986328125,0.9666666666666667,60
flickr,C0,12345,best,63,10667001125,HighAUDFP,0.819140625,0.8683138053998981,3926
flickr,C0,12345,best,64,10701841844,FP,0.33587646484375,0.26653171390013497,4446
flickr,C0,12345,best,64,10701841844,NearFP,0.46905517578125,0.3732432925716372,5479
