dataset,sample_id,sample_index,RemoveFP,RemoveTP,AddTP,AddFP
vggss,0nYltlo90Zc_000147,185,324,0,15,691
vggss,0nYltlo90Zc_000161,186,5,0,505,861
vggss,0nvBTp-q7tU_000112,187,246,0,0,1763
vggss,0oTdsarJHA4_000220,188,1886,604,8,100
vggss,0olhNr566Z0_000018,189,1441,46,274,0
vggss,0q5kQGcOn2I_000083,190,9,43,4405,1480
vggss,0q6GOUn_dhU_000066,191,636,0,0,3619
vggss,0q9FUj_2qMc_000539,192,570,3014,1200,160
vggss,0sT6vnChbrc_000000,193,1409,0,0,6462
vggss,0slFEpnTKkY_000115,194,425,1381,0,0
vggss,0teMcpgy9Jo_000058,195,238,0,136,496
vggss,0ti14lvd2Aw_000000,196,2952,0,136,599
vggss,0w9PLY1owzk_000108,197,922,133,207,247
vggss,0wdNFZhpdQw_000368,198,1083,0,366,112
vggss,0welW-8hB1c_000071,199,281,552,467,787
vggss,0wzsE67O5tE_000230,200,8,224,816,107
vggss,0x9TnOQ5Nhw_000020,201,1447,0,860,3450
vggss,0xPWkrfjMu0_000178,202,1014,0,0,1681
vggss,0yxJzCQW5zI_000030,203,721,65,313,216
vggss,10YXuv9Go0E_000140,204,1682,93,0,2118
vggss,10aBef0Ghkc_000040,205,689,936,25,23
vggss,10aF24rMeu0_000030,206,950,0,0,1435
vggss,10hGfv89L3g_000030,207,1064,0,0,3112
vggss,115l3adqQ1M_000417,208,173,121,495,1845
vggss,126AbihZt28_000009,209,0,0,0,3628
vggss,12T-9dLEbY8_000020,210,0,42,522,10060
vggss,130v5XJl8G0_000070,211,341,698,1025,1553
vggss,13W_9xdaOZE_000068,212,2796,345,0,66
vggss,14jcqHjMXcI_000000,213,800,0,0,516
vggss,14lBeX_dOHU_000234,214,2309,0,0,181
vggss,14tRPoQA4q0_000004,215,1188,16,3,526
vggss,15Mw2jyyHk0_000030,216,2199,424,26,0
vggss,15pi8h_bHQE_000173,217,603,1060,292,347
vggss,169a2JSphHA_000269,218,2288,542,0,4
vggss,16CvcIXIjzQ_000332,219,1946,766,17,616
vggss,17K-oEuH1p0_000020,220,660,21,0,193
vggss,17WW_p1N7BQ_000030,221,4904,1357,0,136
vggss,17yDXvJTdeo_000603,222,1783,395,0,953
vggss,18212B4yfLg_000080,223,718,1896,0,67
vggss,18r-Vtspi8g_000030,224,855,0,0,1077
vggss,190Zx0wVrhQ_000003,225,819,259,600,563
vggss,19r6_MQei4M_000119,226,122,0,19,1682
vggss,1ACn3u5UnBw_000030,227,75,0,35,7069
vggss,1CZ-bybGzu4_000030,228,75,131,222,1115
vggss,1D6UsaTflJ8_000060,229,1966,748,0,9
vggss,1ETrMAVZdY8_000030,230,1242,1567,3389,659
vggss,1ErGsKIlhAI_000051,231,6671,1443,0,261
vggss,1F3_bvIT0ig_000000,232,1743,2,0,267
vggss,1F9zCsJyw6k_000230,233,406,0,0,2954
vggss,1FWUnWVX5Xk_000159,234,1698,102,66,808
vggss,1FnA3w94zXI_000030,235,0,1386,591,56
vggss,1GDAnA4hAqQ_000105,236,2294,291,0,265
vggss,1HUCwslugK8_000283,237,399,12,539,24
vggss,1Isq_KJHriU_000016,238,0,0,0,1767
vggss,1JY4rwQZn3s_000011,239,22,80,2417,625
vggss,1JsIcP2nXMw_000108,240,632,200,0,236
vggss,1MTKUN3uFrs_000440,241,1634,0,0,1686
vggss,1MaEJRh2oGY_000034,242,191,192,309,1432
vggss,1MaEJRh2oGY_000089,243,264,88,742,783
vggss,1OFDyTzUj24_000030,244,262,0,1170,1815
vggss,1P9yEzO1Bic_000025,245,338,0,0,524
vggss,1PN-bfs2EhY_000030,246,549,0,715,2296
vggss,1Qvce8w_Vds_000011,247,231,1880,26,991
vggss,1RhYdQnZ_hw_000030,248,892,0,393,206
vggss,1SJFTbu1abo_000042,249,2034,0,0,551
vggss,1TAOyk0Xgss_000370,250,479,406,141,186
vggss,1TJrceFMGrU_000114,251,0,0,265,2065
vggss,1Tg9VvRZN5k_000030,252,90,898,1243,188
vggss,1Thl21awe2g_000020,253,571,1628,1753,439
vggss,1U8Y6VifI-M_000050,254,484,0,15,2201
vggss,1UXkMZNI5o4_000373,255,399,429,62,1523
vggss,1V-_jMSJR6A_000024,256,1559,0,0,87
vggss,1VHm2PacRWc_000020,257,792,908,53,1572
vggss,1WLMVX_Y2Pk_000018,258,331,1093,161,96
vggss,1_0T2ZIjWnw_000031,259,2510,29,3,99
vggss,1_JeO9Pg1aQ_000020,260,17,0,38,1982
vggss,1_Q80fDGLRM_000010,261,0,235,1791,2648
vggss,1_v-Kro86Io_000010,262,0,0,472,9418
vggss,1_xoCNmTn3Y_000012,263,638,34,45,364
vggss,1_yyvTRVoZQ_000002,264,211,415,1442,2849
vggss,1_yyvTRVoZQ_000209,265,144,1322,49,119
vggss,1aDnyPubxdY_000118,266,1439,536,56,0
vggss,1cqcTbDxsHM_000130,267,853,2996,180,0
vggss,1cwGW0cBdRs_000030,268,3445,625,569,1001
vggss,1cxvg7qu0G0_000070,269,1304,0,525,549
vggss,1dyFP4MGkIM_000030,270,563,0,1,450
vggss,1eBzpkIY-TY_000198,271,2153,2253,91,620
vggss,1f-L1M-S6RQ_000030,272,1435,0,0,906
vggss,1g3n6Zaqid8_000064,273,21,103,315,1247
vggss,1gSwLBNvEWE_000034,274,1806,128,113,143
vggss,1gWu-9hPzFs_000022,275,369,444,304,297
vggss,1hba9jmspEQ_000030,276,4848,83,0,251
vggss,1hknEtsmdOc_000030,277,444,0,0,1676
vggss,1hoUEfsTmdE_000030,278,1864,6,0,1400
vggss,1hwkxJOl1PY_000020,279,1815,0,0,811
vggss,1kTMiyc5eXg_000163,280,198,1078,2081,144
vggss,1kiR-BU9Fik_000071,281,560,0,0,2698
vggss,1mkIuq3rjUg_000019,282,1473,266,0,18
vggss,1n6JyJt4kJ4_000018,283,2493,301,0,857
vggss,1nUqhH8bAPk_000030,284,226,0,56,1397
vggss,1oJAVJPX0YY_000020,285,5596,3274,0,0
vggss,1obzCbmFpa8_000410,286,147,0,227,3389
vggss,1p3NSKpuJDs_000144,287,854,0,188,1536
vggss,1p5jl5JeZx8_000117,288,1240,278,386,14
vggss,1q8kkQhS97g_000140,289,4804,1798,0,0
vggss,1rtXsGC-q3Q_000030,290,597,26,2006,2150
vggss,1sukRxLM77w_000021,291,531,34,1,572
vggss,1tC7bTilFWk_000030,292,83,151,1673,295
vggss,1uCzQCdCC1U_000170,293,412,0,0,1341
vggss,1uhuVsFGe6E_000050,294,717,1,0,1086
vggss,1veIcvGPRYw_000003,295,832,0,0,714
vggss,1vrJPFfLMvA_000233,296,1594,0,463,1415
vggss,1vrR6Im_RDo_000030,297,685,3,578,2759
vggss,1vy-ZxTMQf4_000377,298,81,1483,63,194
vggss,1woaZGPrY9g_000002,299,774,0,0,1827
vggss,1xS-iGBR2b8_000014,300,0,0,368,2078
vggss,1xYpHbg0fEE_000030,301,2643,124,41,91
