sample_id,sample_index,readout,grid,gt_response,nearfp_response,gt_nearfp_gap,precision,coverage,activated_area
n4jf0RXGw7I_000019,4371,AUD,native_14x14_descriptive,0.83639884,0.7227556421421468,0.1136431978084147,0.5060546875,0.93924457,0.5102040816326531
ncHAOlb2wgw_000068,4405,AUD,native_14x14_descriptive,0.8911593,0.7898472202941775,0.10131207574158907,0.4192708333333333,1.0,0.32142857142857145
o-xlfN7kkOA_000030,4437,AUD,native_14x14_descriptive,0.70230657,0.5982591405045241,0.104047428118065,0.9338768115942029,0.70571125,0.3520408163265306
o3F3tUpmVaw_000030,4443,AUD,native_14x14_descriptive,0.68141955,0.7035036555025727,-0.02208410413004458,0.5323401162790697,0.6337876,0.4387755102040816
o505NNzv0TI_000035,4446,AUD,native_14x14_descriptive,0.7786957,0.7157261213287711,0.0629695812240243,0.546875,0.84366393,0.35714285714285715
oamW0GRj-04_000029,4476,AUD,native_14x14_descriptive,0.8468767,0.7233477382687852,0.12352894258219749,0.5420918367346939,0.96590906,0.25
odDT-H4NqXc_000022,4479,AUD,native_14x14_descriptive,0.9065588,0.8363292978610843,0.07022951380349696,0.3380533854166667,1.0,0.7346938775510204
ol8ZVX3qLQY_000106,4487,AUD,native_14x14_descriptive,0.8396982,0.6631812724517658,0.17651692300569266,0.5710336538461539,0.9919616,0.33163265306122447
ouvOmkKBFM0_000614,4498,AUD,native_14x14_descriptive,0.8971578,0.7683943866286427,0.12876340164802969,0.25613132911392406,1.0,0.4030612244897959
p4iWwYv6BuY_000220,4508,AUD,native_14x14_descriptive,0.86109275,0.7676945182029158,0.0933982280548662,0.33166617990654207,1.0,0.5459183673469388
pI2gLesgVes_000009,4518,AUD,native_14x14_descriptive,0.82202667,0.7455455376766622,0.07648113230243325,0.34689198369565216,0.96629214,0.46938775510204084
pb1RbeEwwmc_000057,4544,AUD,native_14x14_descriptive,0.94286776,0.8338824117090553,0.10898534418083727,0.278797238372093,1.0,0.4387755102040816
phib36cTLiI_000062,4554,AUD,native_14x14_descriptive,0.8340377,0.7495127134025097,0.08452500775456429,0.533203125,0.9285714,0.32653061224489793
pi2Vyqa-wgE_000087,4555,AUD,native_14x14_descriptive,0.8659194,0.7781383781693876,0.08778103301301599,0.3860616238317757,0.9929578,0.5459183673469388
pjuyGQPd4S4_000039,4557,AUD,native_14x14_descriptive,0.8368392,0.7728709455113858,0.06396825355477631,0.2787828947368421,0.91129035,0.4846938775510204
q4pqpYX6b7U_000030,4583,AUD,native_14x14_descriptive,0.68821865,0.6388669084990397,0.049351744703017175,0.5314360119047619,0.6988748,0.21428571428571427
qCUcATSMC9M_000048,4590,AUD,native_14x14_descriptive,0.7873013,0.7776903558988124,0.009610946057364345,0.1983125,0.9185121,0.6377551020408163
qX0k93co9R0_000082,4618,AUD,native_14x14_descriptive,0.87113804,0.8187501248903573,0.05238791136071086,0.278828125,0.98645663,0.5102040816326531
qhyrLOJ7LcQ_000440,4635,AUD,native_14x14_descriptive,0.9040426,0.7687359447591007,0.1353066568262875,0.353935917721519,0.9930633,0.4030612244897959
qjjP3COeDwk_000091,4638,AUD,native_14x14_descriptive,0.73025864,0.7003778400248848,0.029880803602281958,0.7243852459016393,0.7474561,0.6224489795918368
qo9E1wNhdvQ_000299,4644,AUD,native_14x14_descriptive,0.5925134,0.724851205246523,-0.13233782281167805,0.2665441176470588,0.4697117,0.4336734693877551
r-QpsjA-LHo_000054,4654,AUD,native_14x14_descriptive,0.7739218,0.7763927266933024,-0.002470938954502344,0.3009717987804878,0.86547947,0.6275510204081632
r3h6brMAl5w_000239,4660,AUD,native_14x14_descriptive,0.48661074,0.49768023628454944,-0.011069495861346923,0.02127659574468085,0.026119784,0.23979591836734693
rOolowH8rI4_000023,4684,AUD,native_14x14_descriptive,0.9191347,0.756580269197002,0.16255440725944936,0.4827835648148148,1.0,0.2755102040816326
rTh92nlG9io_000030,4691,AUD,native_14x14_descriptive,0.6115943,0.815587206510827,-0.20399288716726005,0.5592447916666666,0.536875,0.42857142857142855
rkMa9cC-zDQ_000022,4713,AUD,native_14x14_descriptive,0.5524143,0.6948256872128695,-0.14241138915531337,0.23883928571428573,0.49384615,0.42857142857142855
rwmtZb4cEiY_000031,4727,AUD,native_14x14_descriptive,0.7740972,0.6901418797206134,0.08395532448776066,0.5988520408163265,0.88920456,0.5
s2N0szde6QA_000196,4732,AUD,native_14x14_descriptive,0.8118912,0.7319519470911473,0.07993925106711686,0.46983045212765956,0.90876937,0.47959183673469385
sbpW3Z87Nbc_000030,4763,AUD,native_14x14_descriptive,0.6431226,0.6039791855728254,0.03914342785719782,0.8928571428571429,0.57070386,0.32142857142857145
skSyu-Q5nZI_000000,4767,AUD,native_14x14_descriptive,0.51864445,0.5754416724666953,-0.05679722037166357,0.9166666666666666,0.35394672,0.29081632653061223
snR9TvRupjU_000000,4769,AUD,native_14x14_descriptive,0.8457539,0.7729472506325692,0.07280665752477944,0.35333533653846155,0.94373995,0.6632653061224489
syIwNMo2TUA_000000,4774,AUD,native_14x14_descriptive,0.7970257,0.6624910460086539,0.13453463453333825,0.58364898989899,0.8916215,0.5051020408163265
t4h65x4f46I_000049,4781,AUD,native_14x14_descriptive,0.61608636,0.6442645739298314,-0.028178210137411952,0.5815972222222222,0.50527906,0.413265306122449
t_nChjR23qA_000109,4810,AUD,native_14x14_descriptive,0.8072798,0.7786641060374677,0.02861571917310357,0.41922433035714285,0.8726586,0.5714285714285714
ti2rs-r9r3A_000001,4819,AUD,native_14x14_descriptive,0.8815965,0.7888159309513867,0.09278057469055057,0.412890625,0.9921777,0.45918367346938777
ti2rs-r9r3A_000110,4820,AUD,native_14x14_descriptive,0.8453597,0.7143251000670716,0.13103458296973258,0.5165895061728395,0.9143833,0.413265306122449
tpkiIAELa1k_000071,4832,AUD,native_14x14_descriptive,0.8676145,0.7774970093742013,0.0901174983009696,0.40900440705128205,0.99464136,0.3979591836734694
trg8QrMK6dc_000002,4835,AUD,native_14x14_descriptive,0.6787527,0.5511275843018666,0.12762513605412096,0.6545367324561403,0.63609725,0.29081632653061223
tw3R0zsmGho_000003,4838,AUD,native_14x14_descriptive,0.7061355,0.686865834868513,0.019269676529802382,0.5627520161290323,0.7533738,0.3163265306122449
u7iDdlWkmAk_000023,4854,AUD,native_14x14_descriptive,0.58120626,0.7030167930060998,-0.12181053089443594,0.4583333333333333,0.42075065,0.15306122448979592
u8D5Z_glilQ_000001,4855,AUD,native_14x14_descriptive,0.84767807,0.704012367175892,0.1436656981240958,0.3985677083333333,0.9586596,0.30612244897959184
uercY3R8Tjc_000361,4878,AUD,native_14x14_descriptive,0.8422825,0.7382502970285714,0.10403217701241374,0.38653846153846155,0.9852941,0.33163265306122447
v41-hFzfeRs_000009,4899,AUD,native_14x14_descriptive,0.90124476,0.8138128689024597,0.08743189065717161,0.28394015330188677,1.0,0.5408163265306123
v44s14ocMV4_000033,4900,AUD,native_14x14_descriptive,0.90087414,0.8203786232043058,0.0804955146741122,0.37520559210526316,1.0,0.3877551020408163
vE_dAmxPPLY_000070,4910,AUD,native_14x14_descriptive,0.7096441,0.640027365530841,0.06961671367753297,0.9348958333333334,0.7096615,0.24489795918367346
vVle7Qb4tDU_000056,4921,AUD,native_14x14_descriptive,0.76089287,0.7051098202355206,0.055783047806471586,0.6428571428571429,0.74563104,0.25
vnvMxxgYlgo_000200,4944,AUD,native_14x14_descriptive,0.7664315,0.8418427812866867,-0.07541127083823085,0.4404296875,0.82329315,0.40816326530612246
vpyjAR_k70Y_000066,4945,AUD,native_14x14_descriptive,0.8342766,0.743381479755044,0.09089513681828976,0.5755208333333334,0.95519716,0.6275510204081632
x0fI4QXOz9M_000030,4997,AUD,native_14x14_descriptive,0.8638381,0.7904749312438071,0.07336314534768462,0.12446622670807453,1.0,0.8214285714285714
xHPKvUzFmrA_000092,5007,AUD,native_14x14_descriptive,0.90768856,0.7635149837005883,0.1441735744010657,0.20243876689189189,1.0,0.37755102040816324
xQTPEQDb0Gg_000030,5014,AUD,native_14x14_descriptive,0.86528057,0.7708225776441395,0.0944579909555614,0.3220880681818182,0.98266524,0.39285714285714285
x_v89ZU2Zsk_000193,5027,AUD,native_14x14_descriptive,0.5963927,0.6690159534336999,-0.07262326229829341,0.3365885416666667,0.39479044,0.2755102040816326
xbD9dc3D4tw_000034,5030,AUD,native_14x14_descriptive,0.80943686,0.7210435131564736,0.08839334454387426,0.625,0.93802345,0.5714285714285714
xkm6iX4LUcQ_000182,5040,AUD,native_14x14_descriptive,0.84226346,0.7426650834968314,0.0995983766624704,0.4912446120689655,0.94213384,0.29591836734693877
xoXTlNWkC7w_000170,5042,AUD,native_14x14_descriptive,0.8792981,0.7652462953701615,0.11405179556459188,0.5010751146788991,0.9767377,0.5561224489795918
y0d6Crj5U8g_000069,5054,AUD,native_14x14_descriptive,0.8200899,0.7996820602566004,0.020407816395163536,0.4057229662698413,0.8881574,0.6428571428571429
y3b46Xk89rM_000114,5057,AUD,native_14x14_descriptive,0.7861134,0.6787742263404652,0.10733915504533798,0.45013297872340424,0.8683662,0.47959183673469385
y7BjYF0OAv0_000237,5060,AUD,native_14x14_descriptive,0.8049115,0.7061873273923993,0.0987241668626666,0.38421875,0.9227017,0.5102040816326531
yInXc5FJNyc_000119,5069,AUD,native_14x14_descriptive,0.6461676,0.797379965428263,-0.15121238911524415,0.7141927083333334,0.62721556,0.6122448979591837
yKKMhxuHcJ4_000041,5073,AUD,native_14x14_descriptive,0.88032645,0.7127141806995496,0.16761226917151362,0.6121323529411765,0.998002,0.5204081632653061
yrOG_y_XhuA_000011,5093,AUD,native_14x14_descriptive,0.82307684,0.7391572938067839,0.08391955040860921,0.4740823412698413,0.94887066,0.32142857142857145
zNydHH-46z0_000043,5121,AUD,native_14x14_descriptive,0.81274235,0.7672985839890316,0.045443768496625125,0.57625,0.85238826,0.3826530612244898
zQ6QCEz5fPU_000057,5123,AUD,native_14x14_descriptive,0.87842625,0.7369966094847769,0.14142964431084692,0.43612753378378377,1.0,0.37755102040816324
zUxqWMvjKBw_000099,5124,AUD,native_14x14_descriptive,0.8894631,0.8685432022903115,0.020919924369081855,0.37779850746268656,1.0,0.34183673469387754
zey5f-NjbtE_000201,5132,AUD,native_14x14_descriptive,0.64945656,0.6018372136168182,0.047619346994906664,0.7125880281690141,0.6607489,0.3622448979591837
zt-j0_ZVzxg_000480,5149,AUD,native_14x14_descriptive,0.76679444,0.6070985765254591,0.1596958666050341,0.7407094594594594,0.82458717,0.37755102040816324
-4bPiXbovf0_000008,7,IMG_QUERY,native_14x14_descriptive,0.8100813,0.777022672817111,0.03305863030254841,0.371640625,0.81707317,0.5102040816326531
-CZ1LIc8aos_000020,20,IMG_QUERY,native_14x14_descriptive,0.88965493,0.7164803582709283,0.17317457613535225,0.5203993055555556,1.0,0.3673469387755102
-IKnJa9U66I_000150,29,IMG_QUERY,native_14x14_descriptive,0.8941212,0.7080977110890672,0.18602351855952293,0.41378348214285715,0.9109337,0.2857142857142857
-Igq1W20Gi8_000000,30,IMG_QUERY,native_14x14_descriptive,0.9480437,0.8456171555444598,0.10242654848843813,0.3235677083333333,1.0,0.30612244897959184
-Vo4CAMX26U_000030,49,IMG_QUERY,native_14x14_descriptive,0.6011698,0.7515924712643027,-0.150422646664083,0.6668146306818182,0.46753812,0.22448979591836735
-kZVoaYYU6o_000000,80,IMG_QUERY,native_14x14_descriptive,0.61144894,0.6659633436938748,-0.05451440007891506,0.5767299107142857,0.48240855,0.2857142857142857
-oGJwGEsIiA_000090,84,IMG_QUERY,native_14x14_descriptive,0.7436747,0.7578725158236921,-0.014197820331901312,0.46772203947368424,0.7034632,0.3877551020408163
-oSzD8P2BtU_000030,86,IMG_QUERY,native_14x14_descriptive,0.7958086,0.5912677175801946,0.2045408957201289,0.7561257102272727,0.9273737,0.22448979591836735
0E6KS8B6DMc_000540,126,IMG_QUERY,native_14x14_descriptive,0.9408833,0.8260429908987135,0.11484028794802725,0.4138764880952381,1.0,0.42857142857142855
0IzhjqyDzt8_000000,137,IMG_QUERY,native_14x14_descriptive,0.7012294,0.8058097269386053,-0.10458033345639706,0.693359375,0.674224,0.32653061224489793
0YTieIiZNN4_000010,165,IMG_QUERY,native_14x14_descriptive,0.82850933,0.7524809503229335,0.07602838042657822,0.4842447916666667,0.93701184,0.30612244897959184
0jy-sVREk4o_000030,179,IMG_QUERY,native_14x14_descriptive,0.7744302,0.6630331634078175,0.11139705195091665,0.5930059523809523,0.8234534,0.42857142857142855
0n56ajMNoMA_000118,184,IMG_QUERY,native_14x14_descriptive,0.7565293,0.8070253771729767,-0.05049610557034612,0.1836224724264706,0.77698106,0.6938775510204082
0ti14lvd2Aw_000000,196,IMG_QUERY,native_14x14_descriptive,0.82094854,0.8020716996397823,0.018876841524615884,0.3351417824074074,0.94166666,0.5510204081632653
1FWUnWVX5Xk_000159,234,IMG_QUERY,native_14x14_descriptive,0.8192901,0.6800404884561431,0.13924961307202466,0.4197048611111111,0.8482456,0.3673469387755102
1_0T2ZIjWnw_000031,259,IMG_QUERY,native_14x14_descriptive,0.89423025,0.6858832791913301,0.2083469673525542,0.52978515625,1.0,0.3673469387755102
