scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,flickr,10165890496,24,AUD,0.8553660028546184,0.5694441199302673,0.2932278380102041,0.06965422630310059,0.645321249961853,0.5756670236587524,False,False,False,-0.014814063952684253
144k,flickr,10165890496,24,IMG_QUERY,0.8381005733869373,0.5753942131996155,0.30239556760204084,0.05166268348693848,0.643456220626831,0.5917935371398926,False,False,False,-0.014814063952684253
144k,flickr,10165890496,24,IQR,0.8500201180257511,0.5735390782356262,0.2971938775510204,0.06261157989501953,0.6455938816070557,0.5829823017120361,False,False,False,-0.014814063952684253
144k,flickr,10165890496,24,OGL,0.9040523977324958,0.5339924693107605,0.26016422193877553,0.09510040283203125,0.6146987676620483,0.5195983648300171,False,False,False,-0.014814063952684253
144k,flickr,10173808724,25,AUD,0.977787737540337,0.7705272436141968,0.5558434311224489,0.21694505214691162,0.703607439994812,0.4866623878479004,False,False,False,-0.09543314821182469
144k,flickr,10173808724,25,IMG_QUERY,0.9308869478767221,0.7407747507095337,0.5613042091836735,0.10607272386550903,0.6697946190834045,0.5637218952178955,False,False,False,-0.09543314821182469
144k,flickr,10173808724,25,IQR,0.9694059766763848,0.7515963912010193,0.546875,0.17705422639846802,0.6835852861404419,0.5065310597419739,False,False,False,-0.09543314821182469
144k,flickr,10173808724,25,OGL,0.9933833075086896,0.6702362298965454,0.4759048150510204,0.23476827144622803,0.6469225287437439,0.41215425729751587,False,False,False,-0.09543314821182469
144k,flickr,10202025415,26,AUD,0.9557207820227702,0.790614664554596,0.6004264987244898,0.12398499250411987,0.7203142046928406,0.5963292121887207,False,False,True,-0.1169060591101504
144k,flickr,10202025415,26,IMG_QUERY,0.9391340066689219,0.5336161851882935,0.4124083227040816,0.0032944679260253906,0.6319808959960938,0.6286864280700684,False,False,True,-0.1169060591101504
144k,flickr,10202025415,26,IQR,0.9561353429245643,0.689800500869751,0.5236367984693877,0.07719862461090088,0.6822865009307861,0.6050878763198853,False,False,True,-0.1169060591101504
144k,flickr,10202025415,26,OGL,0.9789649279843763,0.6606807112693787,0.48983577806122447,0.2035999894142151,0.681280791759491,0.4776808023452759,False,False,True,-0.1169060591101504
144k,flickr,10221582415,27,AUD,0.7920850930705459,0.8444592952728271,0.6370575573979592,0.0769277811050415,0.7780877351760864,0.7011599540710449,False,False,False,-0.01105598818757203
144k,flickr,10221582415,27,IMG_QUERY,0.7800894551368934,0.5758859515190125,0.44112723214285715,-0.05634838342666626,0.585364043712616,0.6417124271392822,False,False,False,-0.01105598818757203
144k,flickr,10221582415,27,IQR,0.7849726682022897,0.7615275382995605,0.5796994579081632,0.024348914623260498,0.7208803296089172,0.6965314149856567,False,False,False,-0.01105598818757203
144k,flickr,10221582415,27,OGL,0.8939296740307124,0.7436171174049377,0.4970703125,0.11925220489501953,0.6778497695922852,0.5585975646972656,False,False,False,-0.01105598818757203
144k,flickr,10234680056,28,AUD,0.8161394833319123,0.680977463722229,0.4675143494897959,0.03143274784088135,0.6396717429161072,0.6082389950752258,False,False,False,-0.0011232253628081779
144k,flickr,10234680056,28,IMG_QUERY,0.788192635052979,0.645603597164154,0.45894451530612246,-0.06762444972991943,0.6326686143875122,0.7002930641174316,False,False,False,-0.0011232253628081779
144k,flickr,10234680056,28,IQR,0.8063146953094548,0.6621967554092407,0.46016023596938777,-0.008390367031097412,0.6347920298576355,0.6431823968887329,False,False,False,-0.0011232253628081779
144k,flickr,10234680056,28,OGL,0.8172912021951638,0.6780429482460022,0.46484375,0.02101123332977295,0.6247228384017944,0.6037116050720215,False,False,False,-0.0011232253628081779
144k,flickr,10246013484,29,AUD,0.8465583173996176,0.7499037384986877,0.45862563775510207,0.1609501838684082,0.7138292193412781,0.5528790354728699,False,False,False,-0.09740999328743061
144k,flickr,10246013484,29,IMG_QUERY,0.8595885980421751,0.7673031091690063,0.4621532206632653,0.21116629242897034,0.7092099785804749,0.4980436861515045,False,False,False,-0.09740999328743061
144k,flickr,10246013484,29,IQR,0.8621456364647027,0.7761567234992981,0.46609933035714285,0.18129050731658936,0.7122246623039246,0.5309341549873352,False,False,False,-0.09740999328743061
144k,flickr,10246013484,29,OGL,0.8201493242604668,0.6681037545204163,0.4217554209183674,0.13562870025634766,0.6821549534797668,0.5465262532234192,False,False,False,-0.09740999328743061
144k,flickr,10268129763,30,AUD,0.7666116668385411,0.9685355424880981,0.5797791772959183,0.1600872278213501,0.8149689435958862,0.6548817157745361,False,False,False,-0.06504874295904828
144k,flickr,10268129763,30,IMG_QUERY,0.9064557613168724,0.7652870416641235,0.3874362244897959,0.2389894425868988,0.6935346126556396,0.45454517006874084,False,False,False,-0.06504874295904828
144k,flickr,10268129763,30,IQR,0.8359038516756224,0.8850212693214417,0.48586973852040816,0.19396352767944336,0.7703940868377686,0.5764305591583252,False,False,False,-0.06504874295904828
144k,flickr,10268129763,30,OGL,0.8443945781767079,0.8089333772659302,0.439632493622449,0.2109706997871399,0.7304326295852661,0.5194619297981262,False,False,False,-0.06504874295904828
144k,flickr,10278084464,31,AUD,0.6154372380065207,0.9796121716499329,0.6846301020408163,0.024581730365753174,0.7919060587882996,0.7673243284225464,False,False,False,0.023060993094676352
144k,flickr,10278084464,31,IMG_QUERY,0.6240843249693394,0.8724138736724854,0.6012635522959183,-0.018735527992248535,0.7234848737716675,0.742220401763916,False,False,False,0.023060993094676352
144k,flickr,10278084464,31,IQR,0.6237846704443781,0.9691402316093445,0.6682477678571429,0.007357418537139893,0.7746549844741821,0.7672975659370422,False,False,False,0.023060993094676352
144k,flickr,10278084464,31,OGL,0.6889143147724384,0.8788313865661621,0.5486886160714286,0.08387714624404907,0.7774835824966431,0.693606436252594,False,False,False,0.023060993094676352
144k,flickr,10283938426,32,AUD,0.4543420729544648,0.8611319661140442,0.7304886798469388,0.05025148391723633,0.7810415625572205,0.7307900786399841,False,True,False,0.15300881886172635
144k,flickr,10283938426,32,IMG_QUERY,0.47833276463949187,0.9423688650131226,0.7593072385204082,0.021845519542694092,0.7753264904022217,0.7534809708595276,False,True,False,0.15300881886172635
144k,flickr,10283938426,32,IQR,0.46387287042157094,0.9109548330307007,0.7568757971938775,0.03946489095687866,0.7894307971000671,0.7499659061431885,False,True,False,0.15300881886172635
144k,flickr,10283938426,32,OGL,0.5747632680026425,0.9447475075721741,0.6335100446428571,0.1089015007019043,0.7480001449584961,0.6390986442565918,False,True,False,0.15300881886172635
144k,flickr,10289643764,33,AUD,0.7317193013802653,0.8529327511787415,0.4461694834183674,0.11781454086303711,0.7482456564903259,0.6304311156272888,False,False,False,0.043742503611540196
144k,flickr,10289643764,33,IMG_QUERY,0.7268004213752155,0.7903204560279846,0.41621492346938777,0.08983838558197021,0.6905689239501953,0.6007305383682251,False,False,False,0.043742503611540196
144k,flickr,10289643764,33,IQR,0.7336770553962823,0.8261435627937317,0.43100286989795916,0.106753408908844,0.7253067493438721,0.6185533404350281,False,False,False,0.043742503611540196
144k,flickr,10289643764,33,OGL,0.9224783675577941,0.7438234090805054,0.30863360969387754,0.18615546822547913,0.6716077327728271,0.485452264547348,False,False,False,0.043742503611540196
144k,flickr,10304554474,34,AUD,0.7185921128479875,0.7739390730857849,0.5877511160714286,-0.022484183311462402,0.74444580078125,0.7669299840927124,False,False,False,-0.003119041719515603
144k,flickr,10304554474,34,IMG_QUERY,0.829071060345699,0.5990796685218811,0.39433195153061223,0.08349525928497314,0.6214848756790161,0.537989616394043,False,False,False,-0.003119041719515603
144k,flickr,10304554474,34,IQR,0.7685864514551235,0.6886458396911621,0.4889588647959184,0.02079552412033081,0.6926494836807251,0.6718539595603943,False,False,False,-0.003119041719515603
144k,flickr,10304554474,34,OGL,0.7798211705907618,0.7293842434883118,0.5104233099489796,0.06709188222885132,0.7308220267295837,0.6637301445007324,False,False,False,-0.003119041719515603
144k,flickr,10308472565,35,AUD,0.5889920612418486,0.9207712411880493,0.5623405612244898,0.09233462810516357,0.8127131462097168,0.7203785181045532,False,True,False,0.12103194941708817
144k,flickr,10308472565,35,IMG_QUERY,0.6306473965551376,0.882431149482727,0.5033282844387755,0.07113420963287354,0.7921671867370605,0.721032977104187,False,True,False,0.12103194941708817
144k,flickr,10308472565,35,IQR,0.5976412705303523,0.9152861833572388,0.5509008290816326,0.08521193265914917,0.8157719969749451,0.7305600643157959,False,True,False,0.12103194941708817
144k,flickr,10308472565,35,OGL,0.7909105213469002,0.8354756236076355,0.37998246173469385,0.17515993118286133,0.7417783737182617,0.5666184425354004,False,True,False,0.12103194941708817
144k,flickr,10369815925,36,AUD,0.9436569447277178,0.8269929885864258,0.586296237244898,0.12894833087921143,0.7329748868942261,0.6040265560150146,False,False,False,-0.03372804301050514
144k,flickr,10369815925,36,IMG_QUERY,0.902471704656515,0.8527615666389465,0.6321548150510204,0.10047906637191772,0.7668884992599487,0.666409432888031,False,False,False,-0.03372804301050514
144k,flickr,10369815925,36,IQR,0.9238508097497137,0.8412029147148132,0.6091557716836735,0.11967045068740845,0.7470391392707825,0.627368688583374,False,False,False,-0.03372804301050514
144k,flickr,10369815925,36,OGL,0.9546109510086456,0.7894423007965088,0.5532525510204082,0.15910285711288452,0.7379888892173767,0.5788860321044922,False,False,False,-0.03372804301050514
144k,flickr,10389014583,37,AUD,0.7203596246149437,0.7555697560310364,0.5564014668367347,0.05546987056732178,0.7139630913734436,0.6584932208061218,False,False,False,-0.05500830721873662
