scale,dataset,sample_id,sample_index,readout,precision,coverage,activated_area,gt_nearfp_gap,gt_response,nearfp_response,groupA,ogl_help,aud_better,ogl_minus_aud_iou
144k,vggss,CqmuLdNiEjE_000077,1319,IQR,0.9625007222511123,0.6641945838928223,0.34492586096938777,0.10146105289459229,0.669218897819519,0.5677578449249268,False,False,True,-0.10445651141278534
144k,vggss,CqmuLdNiEjE_000077,1319,OGL,0.9968754339675046,0.572448194026947,0.2870296556122449,0.11664682626724243,0.6420499086380005,0.5254030823707581,False,False,True,-0.10445651141278534
144k,vggss,CxSALNdzjKs_000125,1326,AUD,0.4370929222752931,0.7416651248931885,0.3671875,0.0026958584785461426,0.7639708518981934,0.7612749934196472,True,True,False,0.1406242953127248
144k,vggss,CxSALNdzjKs_000125,1326,IMG_QUERY,0.41166658241924886,0.7500460743904114,0.3942721619897959,-0.013943850994110107,0.7742388844490051,0.7881827354431152,True,True,False,0.1406242953127248
144k,vggss,CxSALNdzjKs_000125,1326,IQR,0.42569521106029545,0.7458095550537109,0.37912547831632654,-0.003964900970458984,0.7684504985809326,0.7724153995513916,True,True,False,0.1406242953127248
144k,vggss,CxSALNdzjKs_000125,1326,OGL,0.6344246812529514,0.7424018979072571,0.2532286352040816,0.06726622581481934,0.7352613210678101,0.6679950952529907,True,True,False,0.1406242953127248
144k,vggss,D-7c7OP4dFg_000051,1327,AUD,0.7189275568181818,0.6420190334320068,0.336734693877551,-0.1508219838142395,0.6571442484855652,0.8079662322998047,False,False,True,-0.116806143554047
144k,vggss,D-7c7OP4dFg_000051,1327,IMG_QUERY,0.6966742252456538,0.4871564507484436,0.263671875,-0.16843503713607788,0.5881140828132629,0.7565491199493408,False,False,True,-0.116806143554047
144k,vggss,D-7c7OP4dFg_000051,1327,IQR,0.7123687281213535,0.5808139443397522,0.307437818877551,-0.16391223669052124,0.6307711005210876,0.7946833372116089,False,False,True,-0.116806143554047
144k,vggss,D-7c7OP4dFg_000051,1327,OGL,0.671210154334343,0.4919133186340332,0.27634725765306123,-0.20196044445037842,0.575249969959259,0.7772104144096375,False,False,True,-0.116806143554047
144k,vggss,D1KdCkSFmnk_000000,1332,AUD,0.49763072574611356,0.9976666569709778,0.47947225765306123,0.12915164232254028,0.869876503944397,0.7407248616218567,True,True,False,0.11264574489720391
