dataset,model,sample_index,sample_id,gt_response,nearfp_response,farfp_response,background_response,gt_nearfp_gap,gt_vs_nearfp_auroc,wrong_gt_response,wrong_nearfp_response,matched_minus_wrong_gt,matched_minus_wrong_nearfp,counterfactual_gt_nearfp_gap,counterfactual_gt_vs_nearfp_auroc,counterfactual_gt_vs_nearfp_conditional_auroc,counterfactual_gt_vs_nearfp_conditional_pairs,iou,precision,coverage,pred_area_ratio,fp_area_ratio,AddTP,AddFP,RemoveTP,RemoveFP,addtp_rate_vs_baseline_fn,removefp_rate_vs_baseline_fp,scale
vggss,baseline,29,-IKnJa9U66I_000150,0.8997003436088562,0.8075488805770874,0.641297459602356,0.5745029449462891,0.0921514630317688,0.7445526123046875,0.9031410813331604,0.8072192072868347,-2.028929884545505e-05,-1.366863762086723e-05,-6.6206612245878205e-06,0.4210052490234375,0.1626805588444234,8446,0.24437105974181927,0.24437105974181927,1.0,0.5310905612244898,0.4013073979591837,0,0,0,0,0.0,0.0,10k
vggss,baseline,30,-Igq1W20Gi8_000000,0.8623450994491577,0.8435549139976501,0.8123987913131714,0.5090994834899902,0.01879018545150757,0.6104888916015625,0.8557618856430054,0.8442022800445557,5.996933759888634e-05,4.287131378077902e-05,1.7098023818107322e-05,0.8250656127929688,0.8474364318466028,9596,0.2286844890259053,0.2286844890259053,1.0,0.43313536352040816,0.33408402423469385,0,0,0,0,0.0,0.0,10k
vggss,baseline,31,-JGpAlLrSD0_000458,0.779107928276062,0.8255120515823364,,0.45900997519493103,-0.046404123306274414,0.5150909423828125,0.8021185994148254,0.8645853400230408,-1.664326191530563e-06,-2.3700966266915202e-05,2.203664007538464e-05,0.6717681884765625,0.7228602051753177,6531,0.6805737727792817,0.7841479099678457,0.8374656593406593,0.6198182397959183,0.1337890625,0,0,0,0,0.0,0.0,10k
vggss,mean,0,-0BIyqJj9ZU_000030,0.8135462403297424,0.8355087041854858,0.6271506547927856,0.5881706476211548,-0.021962463855743408,0.5485076904296875,0.8288882970809937,0.8406751155853271,-3.908130747731775e-05,-1.8990767784998752e-05,-2.0090539692318998e-05,0.3618621826171875,0.3105504098796976,9393,0.3430994357126917,0.3588170573133731,0.8867831245880027,0.5977558992346939,0.38327088647959184,218,1690,0,2039,0.13693467336683418,0.10413687436159347,10k
vggss,mean,1,-0UuUoXQUoI_000107,0.7737212777137756,0.7115073204040527,,0.5071919560432434,0.0622139573097229,0.676116943359375,0.8130088448524475,0.7313835620880127,8.116394019452855e-05,9.232718730345368e-05,-1.1163247108925134e-05,0.4553070068359375,0.2748428366604169,9067,0.4304623753399819,0.44535324353731287,0.9279237023139462,0.5311902104591837,0.2946229272959184,222,504,589,7953,0.4,0.35772759985606334,10k
vggss,mean,2,-2-wdcN5vOw_000017,0.655311107635498,0.7478646039962769,,0.47053876519203186,-0.09255349636077881,0.4152984619140625,0.6468243598937988,0.7457770705223083,1.7517995729576796e-06,6.011159712215886e-07,1.150683601736091e-06,0.5875091552734375,0.689555591208086,6233,0.6123919617389066,0.9262058451458043,0.6438041125541125,0.6144172512755102,0.04534040178571429,6064,0,1789,483,0.30209734469187466,0.1751269035532995,10k
vggss,mean,3,-23CeprtibU_000030,0.6433366537094116,0.5704389810562134,0.6204450130462646,0.5773517489433289,0.07289767265319824,0.6199188232421875,0.6582326889038086,0.578726053237915,-1.6609494196018204e-05,-2.712142486416269e-05,1.0511930668144487e-05,0.5097503662109375,0.31493064998640197,7354,0.3185883344876389,0.35981499115766563,0.7354883559263121,0.5860172193877551,0.3751594387755102,3279,3112,1240,2601,0.561088295687885,0.14203025173374106,10k
vggss,mean,4,-2Dm0VjW8oM_000001,0.7110356092453003,0.6491196751594543,,0.39683815836906433,0.06191593408584595,0.6577301025390625,0.7315149307250977,0.6466246843338013,-2.3791264538886026e-05,2.019325620494783e-05,-4.3984520743833855e-05,0.143402099609375,0.07243500694582258,5039,0.6818181818181818,0.8443564738823984,0.7798287854467629,0.4128268494897959,0.06425382653061225,45,233,1811,4981,0.014186633039092055,0.6248118414450577,10k
vggss,mean,5,-2sOH8XovEE_000484,0.8544372320175171,0.8440744280815125,0.7325400710105896,0.592761754989624,0.010362803936004639,0.57147216796875,0.8516135811805725,0.8284325003623962,-2.142859375453554e-05,-5.753699952038005e-07,-2.085322375933174e-05,0.35186767578125,0.38667519649058674,10942,0.1283401804838653,0.1283401804838653,1.0,0.5675821109693877,0.49473852040816324,0,3078,0,1897,0.0,0.080235164742207,10k
vggss,mean,6,-3Kv4fdm7Uk_000030,0.8149494528770447,0.7187906503677368,0.8035926818847656,0.5772948265075684,0.09615880250930786,0.66766357421875,0.8015706539154053,0.7113962769508362,4.653138967114501e-05,3.099429522990249e-05,1.5537094441242516e-05,0.634246826171875,0.5862592842673869,5924,0.18025981462262464,0.18282457987005915,0.9277951740652054,0.5490872130102041,0.44870057397959184,0,606,289,2778,0.0,0.11253341975208621,10k
vggss,mean,7,-4bPiXbovf0_000008,0.875798761844635,0.7939026951789856,0.45101675391197205,0.48147866129875183,0.08189606666564941,0.821380615234375,0.863309919834137,0.7582054138183594,-2.5051476768567227e-05,2.7410806069383398e-05,-5.246228101896122e-05,0.245086669921875,0.36070140937397577,6102,0.4969995713673382,0.4980456165972252,0.9957918241154242,0.4639867665816326,0.23290019132653061,147,688,0,2647,0.75,0.19399047270062295,10k
vggss,mean,8,-5CGQGSFGyg_000060,0.8826545476913452,0.7915610074996948,0.7607063055038452,0.5212658047676086,0.09109354019165039,0.7405929565429688,0.9173688888549805,0.8492872714996338,9.817664977163076e-05,5.510017945198342e-05,4.307647031964734e-05,0.616943359375,0.35762344623104114,8769,0.26494619815153814,0.26494619815153814,1.0,0.4463687818877551,0.32810507015306123,0,1897,0,7585,0.0,0.34242246399711074,10k
vggss,mean,9,-5z9IXBJefc_000227,0.699514627456665,0.8334413766860962,0.750619113445282,0.5212153196334839,-0.13392674922943115,0.3408660888671875,0.7406948804855347,0.833429753780365,1.5095636626938358e-05,9.966832294594496e-05,-8.457268995698541e-05,0.196258544921875,0.22052663076002393,6684,0.23690914237192187,0.26708301043898436,0.6771062059401364,0.4372010522959184,0.3204320790816326,321,2793,106,2727,0.10667996011964108,0.17030976767424433,10k
vggss,mean,10,-79qo5MUYBk_000207,0.7875627875328064,0.888796329498291,0.7450369596481323,0.584145724773407,-0.10123354196548462,0.470428466796875,0.7835416793823242,0.8689355850219727,5.548863555304706e-07,4.188095772406086e-05,-4.132607136853039e-05,0.2334442138671875,0.17311249369429965,11894,0.30243043114773677,0.3376783571142819,0.7434128440366973,0.5978156887755102,0.3959462691326531,622,6,6,1411,0.1512645914396887,0.06633132756675442,10k
vggss,mean,11,-7TanrCbmME_000030,0.7143160104751587,0.7099548578262329,0.5844117999076843,0.46962082386016846,0.004361152648925781,0.5554962158203125,0.736199140548706,0.7346912622451782,-4.014364822069183e-05,-4.47136044385843e-05,4.569956217892468e-06,0.471710205078125,0.492713666797952,5078,0.37183171076896687,0.42510419220397155,0.7479296066252588,0.40646922831632654,0.23367745535714285,98,1238,598,4333,0.04046242774566474,0.29237516869095814,10k
vggss,mean,12,-7sg--aJdrc_000049,0.7040325403213501,0.8051932454109192,0.6487011909484863,0.5580443143844604,-0.10116070508956909,0.3404083251953125,0.6400280594825745,0.7663710117340088,2.2575395632884465e-05,-7.753693353151903e-06,3.0329088986036368e-05,0.732513427734375,0.8530497069676579,4607,0.4801439563167039,0.5399483636871119,0.8125590675207393,0.5712292729591837,0.26279496173469385,420,988,308,4449,0.11406844106463879,0.2672553613263651,10k
