scale,dataset,sample_index,sample_id,d_pos,d_neg_1,d_neg_2,d_neg_3,d_neg_4,D_min,D_mean,D_max,D_std,mean_minus_min,pos_minus_min,pos_minus_mean,negative_cv,weight_max,N_eff,weight_entropy,group,delta_iou,group_a
10k,vggss,1410,DitJemO43co_000014,1.263307967747096e-05,1.2067951502103824e-05,1.233309831150109e-05,1.5320849342970178e-05,1.067443736246787e-05,1.067443736246787e-05,1.259908412976074e-05,1.5320849342970178e-05,1.6930092570896431e-06,1.92464676729287e-06,1.9586423150030896e-06,3.39955477102194e-08,0.1343755815623555,0.2685543830566439,3.9839918083472896,1.3842570561479586,,,
10k,vggss,1411,Dj9gyAoqmQ0_000030,9.655559551902115e-06,1.0107175512530375e-05,7.262149210873758e-06,5.279825199977495e-05,5.437931031337939e-05,7.262149210873758e-06,3.113672175913962e-05,5.437931031337939e-05,2.2481530445947865e-05,2.387457254826586e-05,2.393410341028357e-06,-2.1481162207237503e-05,0.7220262499005317,0.4471030700361201,2.68648379552388,1.1178485185829892,,,
10k,vggss,1412,DjPrMmqCqlg_000075,6.384654261637479e-05,3.658579589682631e-05,4.034869562019594e-05,4.970888403477147e-05,2.622874490043614e-05,2.622874490043614e-05,3.8218030113057466e-05,4.970888403477147e-05,8.411102897356801e-06,1.1989285212621326e-05,3.761779771593865e-05,2.5628512503317324e-05,0.2200820626409807,0.3756042239857812,3.6207920040556494,1.3350364175681928,,,
10k,vggss,1413,DjXyE3_g0b4_000156,1.213525320054032e-05,2.8504771762527525e-05,2.260279507027008e-05,2.032843076449353e-05,1.879383489722386e-05,1.879383489722386e-05,2.255745812362875e-05,2.8504771762527525e-05,3.691409545020365e-06,3.763623226404889e-06,-6.658581696683541e-06,-1.042220492308843e-05,0.1636447477720747,0.2859679786760453,3.929645506686158,1.3770377853230291,,,
10k,vggss,1414,DjqOjkoVu3M_000153,4.504009484662674e-05,1.067057382897474e-05,1.1252153854002245e-05,9.649999810790176e-06,6.328818017209414e-06,6.328818017209414e-06,9.475386377744144e-06,1.1252153854002245e-05,1.905043175809016e-06,3.146568360534729e-06,3.871127682941733e-05,3.55647084688826e-05,0.2010517671641966,0.2812307582057718,3.9775353616845086,1.3835286472033022,,,
10k,vggss,1415,DkhdvvtvwTE_000020,9.152740858553445e-06,1.7966163795790635e-05,2.9929793527117e-05,1.1117377653135918e-05,4.7368081141030416e-05,1.1117377653135918e-05,2.659535402926849e-05,4.7368081141030416e-05,1.3753684553695136e-05,1.5477976376132574e-05,-1.964636794582475e-06,-1.744261317071505e-05,0.5171461353196897,0.399059232539403,3.320214507251973,1.2772431583864876,,,
10k,vggss,1416,Dm8tMkoPiX0_000090,3.106570147792809e-05,5.96082754782401e-05,5.108239201945253e-05,3.30719594785478e-05,5.25769755768124e-05,3.30719594785478e-05,4.908490063826321e-05,5.96082754782401e-05,9.789538571882942e-06,1.601294115971541e-05,-2.006258000619709e-06,-1.801919916033512e-05,0.1994409369192385,0.4276930281059936,3.400196966535425,1.3059858625484675,,,
10k,vggss,1417,Dm8tMkoPiX0_000135,1.4009559890837409e-05,4.601852560881525e-05,2.122938349202741e-05,3.643407399067655e-05,2.775488428596873e-05,2.122938349202741e-05,3.2859216844371986e-05,4.601852560881525e-05,9.31737953295507e-06,1.1629833352344576e-05,-7.219823601190001e-06,-1.8849656953534577e-05,0.2835545222238283,0.3669659625611216,3.5890054813535546,1.3280302954050678,,,
10k,vggss,1418,DmJL3kSguyw_000023,1.921180955832824e-05,8.613049431005493e-05,4.4421758502721786e-05,6.440213473979384e-05,4.9109887186205015e-05,4.4421758502721786e-05,6.101606868469389e-05,8.613049431005493e-05,1.627366051409265e-05,1.6594310181972105e-05,-2.5209948944393545e-05,-4.180425912636565e-05,0.2667110625921883,0.3993820087208666,3.204852005310758,1.2490785172688517,,,
10k,vggss,1419,DmTSz-8AGRg_000003,4.3998756154906005e-05,0.0001245863386429,2.4281380319735035e-05,2.7420150217949413e-05,8.650249583297409e-06,8.650249583297409e-06,4.623452969099162e-05,0.0001245863386429,4.579166332296624e-05,3.758428010769421e-05,3.53485065716086e-05,-2.235773536085617e-06,0.9904213069542336,0.4880067763938328,2.726469943745466,1.07446538140933,,,
