sample_id,sample_index,AddTP,AddFP,RemoveTP,RemoveFP,aud_gt_response,aud_nearfp_response,aud_area,ogl_gt_response,ogl_nearfp_response,ogl_area,ogl_minus_aud_gt_response,ogl_minus_aud_nearfp_response,ogl_minus_aud_area
8OukwZl_vsg_000030,879,0,0,545,8318,0.7988523840904236,0.6771062612533569,0.6551139987244898,0.7938060760498047,0.6433812379837036,0.4784757653061224,-0.0050463080406188965,-0.03372502326965332,-0.17663823341836743
8QiTQN5reqs_000218,881,3156,1446,2,388,0.6827265024185181,0.6338169574737549,0.3014588647959184,0.7761050462722778,0.6446521878242493,0.3854033801020408,0.09337854385375977,0.010835230350494385,0.0839445153061224
8_vWCyWokX0_000079,892,0,0,0,8838,0.913349986076355,0.7919569611549377,0.4061104910714285,0.8868610858917236,0.7163009643554688,0.2299705038265306,-0.026488900184631348,-0.075655996799469,-0.1761399872448979
8cPqZBlI6Z4_000008,898,42,41,1252,7332,0.8029422163963318,0.7083370685577393,0.4707429846938775,0.7458078265190125,0.6247259974479675,0.3013193558673469,-0.057134389877319336,-0.08361107110977173,-0.16942362882653056
92k_81uqMSM_000070,930,0,0,536,10314,0.83607017993927,0.7036423683166504,0.5338807397959183,0.7853580117225647,0.6086046099662781,0.3176419005102041,-0.05071216821670532,-0.09503775835037231,-0.21623883928571425
9JAatGaveSc_000035,950,0,0,582,8762,0.8500158786773682,0.7371209859848022,0.5018534757653061,0.8078484535217285,0.6642022728919983,0.3156289859693877,-0.04216742515563965,-0.07291871309280396,-0.18622448979591844
9Ti98L4PRCo_000017,968,33,231,9,6517,0.8748222589492798,0.783636212348938,0.5060586734693877,0.8628731966018677,0.722120463848114,0.3812579719387755,-0.01194906234741211,-0.061515748500823975,-0.12480070153061223
9aR-uBVtrVA_000010,981,0,0,0,7149,0.9214165806770324,0.8093047738075256,0.4217554209183674,0.8710703253746033,0.7054554224014282,0.2792769451530612,-0.05034625530242909,-0.10384935140609741,-0.1424784757653062
9m1FFbsR704_000127,996,5,10,4,8787,0.8753945827484131,0.7340154051780701,0.4298070790816326,0.8644524216651917,0.6727664470672607,0.2549027423469387,-0.010942161083221436,-0.061248958110809326,-0.1749043367346939
A0dHhG6Y8C0_000030,1019,0,0,290,8427,0.7880322933197021,0.7251694202423096,0.4387954400510204,0.7849177122116089,0.6692667603492737,0.2650669642857143,-0.0031145811080932617,-0.05590265989303589,-0.1737284757653061
AA0Ekw6dlQo_000046,1034,0,34,174,4904,0.8809961080551147,0.7709785103797913,0.3570432079081632,0.8373045325279236,0.6546471118927002,0.2565170599489796,-0.04369157552719116,-0.11633139848709106,-0.10052614795918358
AAHybONa3n4_000150,1036,0,28,207,5194,0.8467498421669006,0.6940826177597046,0.4759048150510204,0.8017348051071167,0.6274650692939758,0.3688217474489796,-0.045015037059783936,-0.06661754846572876,-0.10708306760204078
AAdciXShS1c_000019,1038,3771,0,265,0,0.5395182371139526,0.4005880057811737,0.2371452487244898,0.6143398284912109,0.4087081551551819,0.3070192920918367,0.0748215913772583,0.008120149374008179,0.0698740433673469
AGA3hiGZJCo_000000,1050,0,0,12,10147,0.8885397911071777,0.7921974658966064,0.5561623086734694,0.8690314292907715,0.7382077574729919,0.353694993622449,-0.01950836181640625,-0.0539897084236145,-0.2024673150510204
AK_xkz5nfIM_000089,1060,0,0,1139,10376,0.8754861950874329,0.7874723672866821,0.5408960459183674,0.7642900943756104,0.6445640325546265,0.3114038584183674,-0.11119610071182251,-0.14290833473205566,-0.2294921875
AWet9qFT15M_000079,1083,1949,585,166,1180,0.7421637177467346,0.588018536567688,0.3069395727040816,0.7727235555648804,0.5686780214309692,0.3306162308673469,0.030559837818145752,-0.01934051513671875,0.023676658163265307
AYhduTuI_zM_000102,1085,80,18,458,7505,0.741455078125,0.7657245397567749,0.4006895727040816,0.7132430076599121,0.6847524642944336,0.2439413265306122,-0.02821207046508789,-0.08097207546234131,-0.1567482461734694
AcYJvz2tqkA_000050,1094,0,0,373,9149,0.7849289774894714,0.7821106910705566,0.5646324936224489,0.7483100295066833,0.7250630259513855,0.3748604910714285,-0.036618947982788086,-0.05704766511917114,-0.18977200255102045
AlnFwT2U1xM_000163,1110,103,290,1728,10000,0.846920371055603,0.7280503511428833,0.6252391581632653,0.772758960723877,0.6524676084518433,0.3993343431122449,-0.07416141033172607,-0.07558274269104004,-0.22590481505102034
Aq58qBpVkv8_000160,1116,369,263,1066,6872,0.8072129487991333,0.6733828186988831,0.5348373724489796,0.7473329305648804,0.5808637738227844,0.3892299107142857,-0.05988001823425293,-0.09251904487609863,-0.14560746173469385
Atrj65qRrBo_000200,1125,0,0,886,11738,0.7965243458747864,0.7745437026023865,0.4967713647959184,0.760398268699646,0.6615355610847473,0.2451769770408163,-0.03612607717514038,-0.11300814151763916,-0.25159438775510207
AznWFbIOSZw_000030,1134,0,461,616,7869,0.8449872732162476,0.7309362888336182,0.4557756696428571,0.8064058423042297,0.6618146896362305,0.2958585778061224,-0.03858143091201782,-0.0691215991973877,-0.1599170918367347
B9wRwZkoFvY_000038,1156,0,0,2099,7452,0.8142964839935303,0.6901295185089111,0.5698541135204082,0.7348549365997314,0.6036626696586609,0.3795041454081632,-0.07944154739379883,-0.08646684885025024,-0.19034996811224497
