dataset,model,source,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
vggss,cram_c3_stage1,matched_audio,counterfactual_gt_vs_nearfp_conditional_auroc,0.5007600764820488,0.5015567798412608,0.34872861066718397,0.6566764735544356,0.3079478628872516,0.4949915721990357,0.5066006279937462,5074
vggss,cram_c3_stage1,matched_audio,precision,0.5441795946042858,0.5522217283534485,0.27455103665942104,0.8267055121679261,0.552154475508505,0.5360589758755852,0.5524200744645382,5158
vggss,cram_c3_stage1,matched_audio,coverage,0.7577253384851914,0.7772024728337438,0.6215114312770563,0.9502360435769711,0.3287246122999148,0.7521729347273648,0.7632891939151676,5158
vggss,cram_c3_stage1,matched_audio,pred_area_ratio,0.3913831687798229,0.37588687818877553,0.30416434151785715,0.4657655054209184,0.16160116390306123,0.3880799405789179,0.3944375189600153,5158
vggss,cram_c3_stage1,matched_audio,fp_area_ratio,0.1796352759187234,0.15730628188775508,0.06196687659438775,0.2709113919005102,0.20894451530612246,0.17578327273650107,0.18326091131686412,5158
vggss,cram_c3_stage1,matched_audio,AddTP,351.7002714230322,0.0,0.0,157.0,157.0,323.6409800310198,382.21370686312525,5158
vggss,cram_c3_stage1,matched_audio,AddFP,953.176424970919,252.0,0.0,1175.5,1175.5,909.9952404032571,996.4525155098876,5158
vggss,cram_c3_stage1,matched_audio,RemoveTP,2300.5252035672743,1170.5,159.0,3287.75,3128.75,2219.4255816207833,2385.786152578519,5158
vggss,cram_c3_stage1,matched_audio,RemoveFP,4845.657813105855,3876.0,1623.5,6962.5,5339.0,4731.517506785576,4960.294663629314,5158
vggss,cram_c3_stage1,matched_audio,addtp_rate_vs_baseline_fn,0.0919370368839551,0.0,0.0,0.06501101598870809,0.06501101598870809,0.0865188178756998,0.0976325921198626,5158
vggss,cram_c3_stage1,matched_audio,removefp_rate_vs_baseline_fp,0.39700501515851144,0.36797814221497616,0.21172752120202448,0.5513967455212516,0.33966922431922714,0.3907319645776543,0.40345379154190597,5158
vggss,cram_c3_stage2,counterfactual,audio_swap_spearman,0.9779387644321281,0.9832015306122448,0.9733960459183674,0.9892984693877551,0.01590242346938775,0.97743084238571,0.9784431004257653,5158
vggss,cram_c3_stage2,counterfactual,audio_swap_spearman_min,0.9552234677185141,0.9670408163265306,0.9455357142857143,0.98,0.034464285714285725,0.9541023763561975,0.9563420304799964,5158
vggss,cram_c3_stage2,counterfactual,audio_swap_pearson,0.9826261170754464,0.9870263636112213,0.9784666895866394,0.9921853691339493,0.013718679547309875,0.9821980002982965,0.9830652796468702,5158
vggss,cram_c3_stage2,counterfactual,audio_swap_cosine,0.9998045400992619,0.999877005815506,0.9997904598712921,0.9999178647994995,0.00012740492820739746,0.9997987813606263,0.9998103028090368,5158
vggss,cram_c3_stage2,counterfactual,audio_map_mae,0.0002913419835519029,0.00025168385764118284,0.00020567153842421249,0.0003269272347097285,0.00012125569628551602,0.00028777776916649386,0.00029496687820877997,5158
vggss,cram_c3_stage2,counterfactual,audio_top10_jaccard,0.8382755550800292,0.8446969696969697,0.7803030303030303,0.9195804195804196,0.1392773892773893,0.8351941990121926,0.8412736601050023,5158
vggss,cram_c3_stage2,matched_audio,gt_response,0.7630600732678217,0.7671635448932648,0.6967043280601501,0.8366215527057648,0.13991722464561462,0.7602917386945756,0.7657847635790451,5156
vggss,cram_c3_stage2,matched_audio,nearfp_response,0.7203488923293616,0.7280491590499878,0.657426118850708,0.7902653515338898,0.13283923268318176,0.7176454790509099,0.7230028936444538,5075
vggss,cram_c3_stage2,matched_audio,farfp_response,0.6281356844928488,0.6336020231246948,0.5559161901473999,0.711164653301239,0.1552484631538391,0.624805797462548,0.631559139287284,3921
vggss,cram_c3_stage2,matched_audio,background_response,0.4559084708169175,0.45623114705085754,0.38395169377326965,0.5271022319793701,0.14315053820610046,0.4531863607085381,0.45865389246648947,5155
vggss,cram_c3_stage2,matched_audio,gt_nearfp_gap,0.045514206909781016,0.05573827028274536,-0.007843852043151855,0.10921585559844971,0.11705970764160156,0.04304520336689033,0.047976200884492524,5075
vggss,cram_c3_stage2,matched_audio,gt_vs_nearfp_auroc,0.6255593936957632,0.6423263549804688,0.5099868774414062,0.766326904296875,0.25634002685546875,0.6205447916343738,0.6307777934815852,5075
vggss,cram_c3_stage2,matched_audio,wrong_gt_response,0.7675801543612828,0.7721661031246185,0.7017169296741486,0.839875340461731,0.1381584107875824,0.7649706959984532,0.770223026366325,5156
vggss,cram_c3_stage2,matched_audio,wrong_nearfp_response,0.7271347155594473,0.735651969909668,0.6648320555686951,0.7990179359912872,0.13418588042259216,0.7244321112061662,0.7297796287140236,5075
