dataset,model,sample_index,sample_id,gt_response,nearfp_response,farfp_response,background_response,gt_nearfp_gap,gt_vs_nearfp_auroc,wrong_gt_response,wrong_nearfp_response,matched_minus_wrong_gt,matched_minus_wrong_nearfp,counterfactual_gt_nearfp_gap,counterfactual_gt_vs_nearfp_auroc,counterfactual_gt_vs_nearfp_conditional_auroc,counterfactual_gt_vs_nearfp_conditional_pairs,iou,precision,coverage,pred_area_ratio,fp_area_ratio,AddTP,AddFP,RemoveTP,RemoveFP,addtp_rate_vs_baseline_fn,removefp_rate_vs_baseline_fp
vggss,cram_c3_stage1,1527,F6oEu35qy_A_000025,0.6793251037597656,0.6255884170532227,0.4667021334171295,0.3656647801399231,0.05373668670654297,0.58795166015625,0.6475943326950073,0.6132079362869263,0.0003877373819705099,0.0002820779336616397,0.0001056594483088702,0.74188232421875,0.7618075801749271,3430,0.3228527040023674,0.39396948632301165,0.6413874191651969,0.2207629145408163,0.1337890625,0,591,2440,10755,0.0,0.6372578064821947
vggss,cram_c3_stage1,1528,F9Z4BYM8ttI_000395,0.7586543560028076,0.8334122896194458,0.6547610759735107,0.47211143374443054,-0.07475793361663818,0.3486175537109375,0.7286344170570374,0.8085627555847168,0.0002163329190807417,0.000206508586416021,9.824332664720714e-06,0.5165252685546875,0.5238637982618607,7019,0.3751212132966138,0.4219090829770526,0.7718276137270551,0.45683195153061223,0.2640904017857143,17,32,2261,7783,0.027642276422764227,0.3705837539281973
vggss,cram_c3_stage1,1529,FD1LeLl1xBA_000060,0.7793089151382446,0.7849830389022827,0.6672574281692505,0.39864060282707214,-0.005674123764038086,0.56854248046875,0.7684556245803833,0.7866215109825134,0.00035260815639048815,0.00027747807325795293,7.513008313253522e-05,0.6077117919921875,0.5223383310616386,6603,0.27715289982425306,0.30170269753204515,0.7730392156862745,0.31251992984693877,0.21823182397959184,0,1599,859,4057,0.0,0.3025805489260143
vggss,cram_c3_stage1,1530,FF2bhR7s3VY_000030,0.8723931312561035,0.8519534468650818,0.7702330946922302,0.5965384840965271,0.02043968439102173,0.558807373046875,0.8676026463508606,0.8429470658302307,-0.00012978739687241614,-9.8551252449397e-05,-3.123614442301914e-05,0.42426300048828125,0.4963112594414193,11386,0.2682324681390538,0.2693106451396798,0.9852941176470589,0.5949856505102041,0.434749681122449,1,2065,114,2178,0.14285714285714285,0.09932959365166233
vggss,cram_c3_stage1,1531,FFSWmryaZ60_000030,0.8379926085472107,0.6912829875946045,0.532728910446167,0.5077503323554993,0.1467096209526062,0.912017822265625,0.8250234127044678,0.6844881176948547,0.00010236718662781641,3.503443440422416e-05,6.733275222359225e-05,0.58990478515625,0.24991452991452992,5850,0.7394070860448301,0.7406924525568593,0.9976585365853659,0.6878786670918368,0.1783721301020408,0,0,60,7233,0.0,0.4469505036149045
vggss,cram_c3_stage1,1532,FGEcmA0EFpI_000000,0.9356862902641296,0.8382837772369385,0.5939830541610718,0.4442055821418762,0.09740251302719116,0.9346923828125,0.9362310171127319,0.8390527963638306,0.0004005614318884909,0.00031633360777050257,8.422782411798835e-05,0.66400146484375,0.6172342084741357,7694,0.16415679963214164,0.16415679963214164,1.0,0.3467394770408163,0.28981983418367346,0,969,0,3022,0.0,0.18210304308526665
vggss,cram_c3_stage1,1533,FH0MZoQHSro_000030,0.6272389888763428,0.6420201659202576,,0.39507776498794556,-0.014781177043914795,0.4832305908203125,0.6608794927597046,0.6764209270477295,0.00019496268942020833,0.00021037633996456861,-1.541365054436028e-05,0.47760009765625,0.40450097847358124,5110,0.49995314696236137,0.7983440570602025,0.5722150722150722,0.3995735012755102,0.08057637117346939,0,0,8977,5898,0.0,0.5933004727894579
vggss,cram_c3_stage1,1534,FHChU52nch0_000010,0.6931998133659363,0.6638625860214233,0.724897027015686,0.448601096868515,0.02933722734451294,0.7303314208984375,0.6944855451583862,0.673898458480835,-1.8777944205794483e-05,-6.787463644286618e-05,4.909669223707169e-05,0.7137603759765625,0.6691016224069739,24778,0.07340790644464218,0.07340790644464218,1.0,0.31357621173469385,0.29055723852040816,0,174,0,6916,0.0,0.32437502931382206
vggss,cram_c3_stage1,1535,FHgtLE-TzQ4_000030,0.7930779457092285,0.876410722732544,0.7660077214241028,0.4624055027961731,-0.08333277702331543,0.3201904296875,0.7371152639389038,0.8397343158721924,0.0007400708855129778,0.0007486558170057833,-8.584931492805481e-06,0.48285675048828125,0.5936828806064435,7915,0.1877529473869435,0.19234467011176543,0.8871951219512195,0.33167251275510207,0.2678770727040816,17,821,407,3300,1.0,0.20728643216080403
vggss,cram_c3_stage2,1504,EktnWQuAjdI_000030,0.9521177411079407,0.8694349527359009,0.7226176857948303,0.5029045343399048,0.0826827883720398,0.8449859619140625,0.943320631980896,0.8745595216751099,0.00017892148753162473,0.00013713080261368304,4.179068491794169e-05,0.8768310546875,0.7418005354752343,11952,0.04355930540567056,0.04355930540567056,1.0,0.40628985969387754,0.3885921556122449,0,866,0,5665,0.0,0.23315635675186236
vggss,cram_c3_stage2,1505,ElJFYwRtrH4_000030,0.7566009759902954,0.7994365692138672,0.7470622062683105,0.561846911907196,-0.04283559322357178,0.359466552734375,0.675342321395874,0.7441293597221375,9.531437535770237e-05,5.134624370839447e-05,4.396813164930791e-05,0.78363037109375,0.7669153914253194,7907,0.12130063141617628,0.12352375120286939,0.8707986432315757,0.4556361607142857,0.3993542729591837,0,0,419,9153,0.0,0.3135555479428591
vggss,cram_c3_stage2,1506,EnXFqxbu-w0_000150,0.8934357762336731,0.8761062622070312,0.6905016303062439,0.6028998494148254,0.017329514026641846,0.520294189453125,0.894455075263977,0.8653838038444519,-7.936509064165875e-06,7.090946382959373e-06,-1.5027455447125249e-05,0.18837738037109375,0.14782608695652175,12190,0.03225546001372573,0.03225546001372573,1.0,0.49368223852040816,0.47775829081632654,0,0,0,13653,0.0,0.36287043189368773
vggss,cram_c3_stage2,1507,EqFttu-PgP0_000030,0.7721705436706543,0.7044582366943359,,0.3949833810329437,0.06771230697631836,0.6803131103515625,0.7982230186462402,0.7539924383163452,0.00012510154920164496,5.518215039046481e-05,6.991939881118014e-05,0.7667083740234375,0.8488063660477454,4901,0.6252691672091742,0.7310732478482347,0.812044745057232,0.3403818558673469,0.09153778698979592,410,701,112,527,0.1286072772898369,0.11925775062231274
vggss,cram_c3_stage2,1508,EqfXm8FwFe0_000009,0.8066944479942322,0.6835915446281433,0.5867644548416138,0.4951162040233612,0.12310290336608887,0.8244476318359375,0.7621521949768066,0.6393725872039795,2.9902619644417427e-05,3.961243783123791e-05,-9.709818186820485e-06,0.4366302490234375,0.3528728961114335,6892,0.5417483070365405,0.5471272348550599,0.982176243300511,0.5740792410714286,0.25998485331632654,0,277,273,7020,0.0,0.3547604608853851
vggss,cram_c3_stage2,1509,EqkH0kLuIic_000054,0.8070717453956604,0.5862998366355896,,0.3497110605239868,0.2207719087600708,0.9118499755859375,0.755622386932373,0.48869866132736206,0.00011872176401084289,0.00011770053242798895,1.0212315828539431e-06,0.481201171875,0.13724322715093779,3359,0.7962406793703397,0.8360245745664111,0.9436057928325969,0.36656967474489793,0.06010841836734694,1504,909,625,3743,0.8364849833147943,0.6398290598290598
vggss,cram_c3_stage2,1510,EsLDe5fYDrs_000080,0.8951691389083862,0.8030819892883301,0.6435980796813965,0.5523936152458191,0.09208714962005615,0.831085205078125,0.8852795362472534,0.8375458717346191,0.0003607431426644325,0.00021895038662478328,0.00014179275603964925,0.9366302490234375,0.8575554409489428,9695,0.19395497850096957,0.19395497850096957,1.0,0.4727758290816326,0.38107860331632654,0,344,0,5642,0.0,0.23104959253040666
vggss,cram_c3_stage2,1511,EtcoN3RhRZg_000127,0.748450517654419,0.639267086982727,0.4540150463581085,0.41302192211151123,0.1091834306716919,0.738250732421875,0.7440704107284546,0.6689454317092896,2.3446627892553806e-06,-4.4152417103759944e-05,4.6497079893015325e-05,0.894561767578125,0.8765354986466791,4803,0.6465861588481189,0.786363893125459,0.7843700698670273,0.35281808035714285,0.07537468112244898,1120,1402,570,10445,0.25588302490290155,0.8144249512670565
vggss,cram_c3_stage2,1512,EtoEpxSMfSc_000090,0.5617271661758423,0.6874407529830933,,0.37219372391700745,-0.12571358680725098,0.38885498046875,0.5777183771133423,0.7245774865150452,2.7869024052051827e-05,7.629283936694264e-05,-4.842381531489082e-05,0.457977294921875,0.8117121848739496,3808,0.46705207637561325,0.9463319021840583,0.47975962334681904,0.4270567602040816,0.022919323979591837,3433,455,622,0,0.1384274193548387,0.0
