sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
73,10859255295,0.8024122187355929,0.7852610216722955,0.8529987407261307,0.7969017141667781,0.8203255081377034,0.8247591565595083,0.02342379397092531,0.017913289402110566,0.0044336484218048255,0.0,0.0,0.0,0.0,0.0
74,10862172945,0.710993026686335,0.6639183286493076,0.6500153651790896,0.6913499123871142,0.6944547634325082,0.6919852618057668,0.0031048510453940414,-0.01653826325382679,-0.0024695016267414216,0.0,0.0,0.0,0.0,0.0
75,10939270325,0.48106604224891103,0.4636755591484775,0.48807876963137764,0.47316972783865824,0.4822642092257002,0.48215390165962274,0.009094481387041942,0.00119816697678915,-0.00011030756607743886,0.0,0.0,0.0,0.0,0.0
76,10952523225,0.7454918511351694,0.7112684507380295,0.7426498984166429,0.7455087271179225,0.7458101026336498,0.745851820845542,0.0003013755157272868,0.00031825149848041523,4.171821189224989e-05,0.0,0.0,0.0,0.0,0.0
77,10979853044,0.6756104459319318,0.6904441453566622,0.6546268384032154,0.6882962165901274,0.6683516442521125,0.6673557951984503,-0.019944572338014943,-0.007258801679819293,-0.0009958490536621234,0.0,0.0,0.0,0.0,0.0
78,10980225216,0.5487961502820634,0.6405381302062579,0.5472481154251438,0.5780803150954705,0.5492068656959245,0.5491889957212813,-0.02887344939954606,0.00041071541386106247,-1.7869974643147657e-05,0.0,0.0,0.0,0.0,0.0
79,11002352834,0.7973472921914357,0.6977993449956067,0.7815471210162014,0.7554936305732484,0.7942545680257594,0.7951807228915663,0.03876093745251108,-0.003092724165676297,0.0009261548658068275,0.0,0.0,0.0,0.0,0.0
80,11036641226,0.32651162790697674,0.44123192960402263,0.3965168274888209,0.4045332308874376,0.36385625431928126,0.3610337290532722,-0.04067697656815633,0.037344626412304516,-0.0028225252660090683,0.0,0.0,0.0,0.0,0.0
81,11050409385,0.5381490948562625,0.5928594046865104,0.5562531755824925,0.5597571328387406,0.5417120951007632,0.5414307318960363,-0.018045037737977387,0.003563000244500736,-0.00028136320472693654,0.0,0.0,0.0,0.0,0.0
82,11071986404,0.2628709872804361,0.30759989883662114,0.2736890865295535,0.28318890814558056,0.2657302359085179,0.26560587515299877,-0.017458672237062656,0.0028592486280817897,-0.00012436075551913728,0.0,0.0,0.0,0.0,0.0
83,11101358996,0.7313148852846639,0.7241990255425956,0.7367714052096718,0.7303997635409739,0.7374622356495468,0.7375768780892729,0.007062472108572915,0.0061473503648828975,0.0001146424397260315,0.0,0.0,0.0,0.0,0.0
84,11154049584,0.785950536670721,0.7905391772222845,0.7593026334548565,0.7826271817002912,0.7734230200545618,0.7732164789641318,-0.009204161645729458,-0.012527516616159251,-0.00020654109042994584,0.0,0.0,0.0,0.0,0.0
85,11314266424,0.8827519065390232,0.8960594039930498,0.8962658310484397,0.8950238134340615,0.8902506510416667,0.8910707307542008,-0.004773162392394781,0.0074987445026434285,0.0008200797125341719,0.0,0.0,0.0,0.0,0.0
86,11650557765,0.6351881782498269,0.6508076845149288,0.6586989681471512,0.6497449108450776,0.6574423201501586,0.6591916252780147,0.007697409305081004,0.022254141900331703,0.0017493051278560934,0.0,0.0,0.0,0.0,0.0
87,11764496003,0.700330264914623,0.6919892973819978,0.7124372429338837,0.6988035474023814,0.7096992665388994,0.7100993640126332,0.01089571913651799,0.00936900162427634,0.0004000974737338181,0.0,0.0,0.0,0.0,0.0
88,11765015695,0.6892342322843167,0.6558231934442513,0.7330129241955112,0.6752917451326383,0.6953373751472064,0.6958634637489269,0.02004563001456805,0.00610314286288971,0.0005260886017205424,0.0,0.0,0.0,0.0,0.0
89,11776645404,0.5630836913735882,0.4757847774672114,0.5355419379548065,0.5228346048056464,0.5497283098555278,0.5489380872699189,0.026893705049881422,-0.013355381518060372,-0.0007902225856089018,0.0,0.0,0.0,0.0,0.0
90,12015590114,0.7232115907032901,0.7537068754587717,0.761975528805667,0.7745698798020269,0.75689448441247,0.757291185971389,-0.01767539538955687,0.03368289370917987,0.0003967015589190215,0.0,0.0,0.0,0.0,0.0
