row_type,dataset,method,feature_set,direction,AUROC,AUPRC,balanced_accuracy,F1,diagnostic_threshold,leakage_mean,leakage_std,extent_mean,extent_std,effect_size_cohen_d,Pearson_label,Spearman_label,num_pixels,note,accuracy,threshold,confusion_matrix,num_samples,positive_fraction
single_variable,vggss_144k,HR14_target_ownership,non_prototype,lower=leakage,0.532217835972965,0.5314320347586732,0.5239141153794433,0.4456969886749126,-0.06012993766125874,0.08131454839543058,0.04598295944817245,0.08610138896047224,0.04732480924246978,-0.10259265064341046,-0.0512289698739269,-0.055802928830281415,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,HR14_other_max_ownership,non_prototype,higher=leakage,0.5322178520471802,0.5314320629384248,0.5239141153794433,0.4456969886749126,0.9398700682795607,0.9186854510574055,0.045982959386714005,0.913898610884783,0.047324808944776954,0.10259264263153753,0.051228965883749644,0.05580295667163895,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,HR14_target_other_margin,non_prototype,lower=leakage,0.5322178420007957,0.5314320541635686,0.5239141153794433,0.4456969886749126,0.8797401306183019,-0.8373709026619749,0.09196591883488306,-0.8277972219243107,0.09464961818724356,-0.10259264663747733,-0.051228967878840084,-0.05580293927079049,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,HR14_ownership_entropy,non_prototype,lower=leakage,0.5317666849917408,0.5310098956814591,0.5231520910843157,0.44480976984499765,-0.325564824293382,0.38479717687860326,0.14441716627574397,0.40073603348509573,0.14537876853834314,-0.10999994786114954,-0.05491697480555479,-0.055021512408245155,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,AUD_neighbor_consistency,non_prototype,lower=leakage,0.5272591756498239,0.5191781259351868,0.5262898381818997,0.3249441073139572,-0.8888888955116272,0.9312285564593035,0.13776434660191963,0.9493477998643791,0.12041107480293504,-0.14004781210079126,-0.06985285905165592,-0.06742069725514363,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,IMG_neighbor_consistency,non_prototype,lower=leakage,0.5387839529847207,0.5215488179092638,0.5382581021112556,0.6426985778702741,-0.0,0.048515547687613854,0.11724397583221823,0.071575498936212,0.13819322724914476,-0.1799486314748558,-0.0896123240797809,-0.09482822736888825,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,F34_local_similarity,non_prototype,lower=leakage,0.5614566677704496,0.5598055067470168,0.5489040297637725,0.5431392577459994,-0.9785679961787537,0.9769544167476056,0.007199245480560281,0.9784740786012942,0.006442127082161012,-0.2224595265356448,-0.11054801211979738,-0.10644607107127407,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,K34_local_similarity,non_prototype,lower=leakage,0.5590391821474637,0.5569829395818291,0.5437715720112959,0.5448121645796065,-0.9817911987775005,0.9801641298528495,0.006558109642197195,0.9815153109309976,0.005913484661397162,-0.21639250776129595,-0.107568464512567,-0.10225886314455218,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,distance_to_AUD_boundary,non_prototype,lower=leakage,0.5351689051715958,0.5261031214358917,0.5303240844502219,0.5370885796333112,-0.016096211051178522,0.027328470199233734,0.039316731446003624,0.030104032909285598,0.039707561240469404,-0.07024495054296377,-0.03510083195688889,-0.0610306120198721,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
single_variable,vggss_144k,distance_to_IMG_boundary,non_prototype,higher=leakage,0.5878094525793179,0.5831517610051449,0.5676184499529338,0.5265069703514628,0.018940360210353953,0.029881291014198768,0.0391746070115835,0.02073266494364923,0.02812594089027786,0.268282479769437,0.13295042634541668,0.1524797718995525,44618,balanced accuracy uses in-domain Youden threshold for single-variable diagnosis only,,,,,
