sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IMG_VALUE,IoU_IMG_VALUE_RES,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_VALUE,IoU_IQR_VALUE_RES,delta_IMG_VALUE_vs_IMG_FINE,delta_IMG_VALUE_RES_vs_IMG_FINE,delta_IQR_VALUE_vs_IQR_FINE,delta_IQR_VALUE_RES_vs_IQR_FINE,delta_IQR_VALUE_vs_AUD_FINE,delta_IQR_VALUE_RES_vs_AUD_FINE,IMG_FINE_vs_IMG_VALUE_pixel_pearson,IMG_FINE_vs_IMG_VALUE_pixel_cosine,IMG_FINE_vs_IMG_VALUE_mean_absolute_difference,IMG_FINE_vs_IMG_VALUE_RES_pixel_pearson,IMG_FINE_vs_IMG_VALUE_RES_pixel_cosine,IMG_FINE_vs_IMG_VALUE_RES_mean_absolute_difference
4506,p0dBtgjr7-8_000030,0.6402510629682122,0.6990308767185035,0.6779470313311408,0.0,0.6767293427634984,0.6662570968561986,0.6552168669688526,0.641821357488119,0.6528508136309056,-0.6779470313311408,-0.001217688567642372,-0.013395509480733647,-0.0023660533379470383,0.0015702945199067564,0.012599750662693365,-0.623298096339902,0.513574850966104,0.46887173389248443,0.9999663418014387,0.9999894664393818,0.0025942510258574326
4507,p2m6Ei_vkSk_000000,0.025621797275340582,0.02573760200878845,0.025093846907132365,0.025367101138426003,0.024229769127728312,0.025019323868028152,0.02541637393065256,0.025639956641374136,0.02516366612111293,0.00027325423129363757,-0.000864077779404053,0.0002235827107215753,-0.0002527078095396311,1.815936603355439e-05,-0.000458131154227652,0.7001008080005539,0.9589575824552862,0.14080010577624233,0.9998496082285352,0.9999740660901489,0.005449810573073633
4508,p4iWwYv6BuY_000220,0.37297807701781754,0.4499752352649827,0.43390008596809626,0.4871819770829287,0.44061302681992337,0.4112162223328656,0.396776870332358,0.3750412813738441,0.3961194680619141,0.05328189111483245,0.006712940851827109,-0.021735588958513852,-0.0006574022704438631,0.0020632043560265823,0.02314139104409657,0.6408591800094392,0.9371369264462224,0.22339936378943656,0.9998351996613565,0.9999764370029344,0.0037726699548997836
4509,p6EUe5qs7aw_000668,0.4894847004883883,0.5805124066975994,0.4963791742458043,0.26095402546945823,0.4970269805808558,0.4946098908502897,0.49303686759956944,0.4893694771111554,0.49285834313560745,-0.23542514877634607,0.0006478063350515151,-0.003667390488414024,-0.00017852446396199317,-0.00011522337723290921,0.0033736426472191217,0.44967752017280516,0.9277489305560463,0.20231497937929968,0.9999678425498013,0.9999961267666966,0.0017584524152918178
4510,p6LLoRUj0nw_000145,0.3976092056753435,0.43269031321302637,0.40709987966305655,0.4086132644272179,0.40591140854047164,0.41879114302812687,0.40612594380010897,0.3980325669784253,0.4058825811959179,0.0015133847641613518,-0.001188471122584911,-0.008093376821683651,-0.00024336260419105527,0.00042336130308179287,0.008273375520574389,0.7992067697670688,0.9627286043443131,0.1370421799039878,0.9999070691267371,0.9999711000370242,0.003573594994912766
4511,pBVTBsWiHdk_000063,0.423599501504605,0.3953311650810055,0.373233228973525,0.5816308559351885,0.375664913827168,0.39931304902884585,0.3958175020517341,0.42423781877868627,0.3994650293321986,0.20839762696166347,0.002431684853642979,0.028420316726952166,0.0036475272804644687,0.000638317274081257,-0.02413447217240644,0.7344408914294172,0.9304110213067031,0.17051314251503,0.9999860311015647,0.9999928924342844,0.0019474266146436415
4512,pCF6jJMaCnU_000030,0.27030537030537033,0.3384825619392787,0.3326842105263158,0.03619996785082784,0.3336291964705268,0.34074399102920383,0.3348968976407208,0.2691246814007891,0.32352032484441895,-0.29648424267548795,0.0009449859442109965,-0.06577221623993168,-0.011376572796301831,-0.0011806889045812285,0.05321495453904862,-0.6782884558270249,0.7320895666581806,0.3821385018734801,0.9999507771342937,0.9999844334911808,0.0045279786104094446
4513,pFIDYtC0abw_000002,0.7690529304400731,0.520994599921976,0.7208581450362999,0.29752183917408215,0.7039356905310836,0.6658782750535223,0.7625388190878275,0.7688906915432975,0.7534051925380103,-0.4233363058622177,-0.016922454505216233,0.006351872455469976,-0.009133626549817198,-0.00016223889677557946,-0.015647737902062753,0.3297812378927997,0.941655297059494,0.21922380081191675,0.9945098380228433,0.9996968192084367,0.017308558302562227
4514,pGC5c8KiuOk_000020,0.13210779468933254,0.15364583333333334,0.1560914696011863,0.0,0.15273533007334963,0.14174674957603164,0.1401006711409396,0.13153578691858558,0.13810212941906141,-0.1560914696011863,-0.0033561395278366712,-0.008564884222354019,-0.0019985417218781887,-0.0005720077707469517,0.0059943347297288785,0.3641368766959891,0.8926567397045486,0.19496974795916489,0.9996867830624461,0.9999334086168468,0.0061769559883936035
4515,pGnTEZvUcuo_000163,0.24,0.23524011981833995,0.2676087194654398,0.0,0.2650282118055556,0.23682943272657228,0.25257970121669493,0.24124742571344512,0.25007624275693807,-0.2676087194654398,-0.0025805076598842125,-0.011332275503249806,-0.0025034584597568577,0.0012474257134451328,0.01007624275693808,-0.7065973841423104,0.6605150064161733,0.35875741555126267,0.9999156963005327,0.9999851506078131,0.0029948958834092898
