scale,dataset,sample_id,sample_index,positive_excess_total_mass,positive_excess_mean,positive_excess_max,positive_excess_area_gt0,positive_excess_area_ge_0p1,positive_excess_aud_mass_ratio,query_excess_total_mass,query_excess_mean,query_excess_max,query_excess_area_gt0,excess_gt_mass,excess_nearfp_mass,excess_bg_mass,excess_gt_ratio,excess_nearfp_ratio,excess_bg_ratio,excess_fp_ratio,removefp_count,removetp_count,addfp_count,addtp_count,overlap_removefp_excess,excess_precision_removefp,overlap_removetp_excess,excess_precision_removetp,excess_mean_removefp,excess_mean_removetp,excess_mean_retainedfp,excess_mean_retaintp,aud_iou,ogl_iou,ogl_minus_aud_iou,group,groupA,aud_better,ogl_help
144k,flickr,3102685146,167,6403.3369140625,0.12761752307415009,0.32620835304260254,0.9848931760204082,0.6335698341836735,0.22102206945419312,11.892298698425293,0.000237011699937284,0.05544118583202362,0.015106823979591837,2202.006591796875,45.55043411254883,4155.77978515625,0.3438842296600342,0.007113546598702669,0.649002194404602,0.656115710735321,3956,2061,0,0,1.0,0.08005180298676595,1.0,0.04170545145493545,0.16606315970420837,0.14327681064605713,0.19316287338733673,0.08388393372297287,0.700202308699274,0.7936545171979005,0.09345220849862645,other,False,False,False
144k,flickr,3109408703,168,4073.82958984375,0.0811908021569252,0.2786020040512085,0.8664700255102041,0.3729671556122449,0.13116371631622314,269.37896728515625,0.005368681624531746,0.20158250629901886,0.13352997448979592,2803.71533203125,23.47234535217285,1246.64208984375,0.6882259845733643,0.005761739797890186,0.3060123324394226,0.31177404522895813,1460,5211,0,0,1.0,0.03358174625080504,0.9355210132412205,0.11213083080320177,0.0877319872379303,0.10610563308000565,0.10900681465864182,0.06730546802282333,0.8080773606370876,0.712932946596144,-0.09514441404094354,other,False,False,False
144k,flickr,3202731977,169,3943.871826171875,0.07860076427459717,0.21488666534423828,0.8196548150510204,0.38877152423469385,0.15631239116191864,338.18548583984375,0.0067399851977825165,0.10688483715057373,0.18034518494897958,1274.303466796875,34.204612731933594,2635.363525390625,0.3231097459793091,0.008672851137816906,0.6682173609733582,0.6768901944160461,611,2203,0,0,1.0,0.014856420356456828,0.8551974580118021,0.04580932234298636,0.061036285012960434,0.05891045182943344,,0.050372567027807236,0.76410998552822,0.7076384599547045,-0.056471525573515424,other,False,False,False
144k,flickr,3207674548,170,4730.43359375,0.09427681565284729,0.30423200130462646,0.7391183035714286,0.49232700892857145,0.14977465569972992,738.5374145507812,0.014718937687575817,0.15159767866134644,0.26088169642857145,907.714111328125,24.133251190185547,3798.586181640625,0.19188813865184784,0.005101699382066727,0.8030101656913757,0.808111846446991,5653,2562,0,0,0.8342473023173537,0.12716388933829478,0.9699453551912568,0.06700641751604379,0.08140052855014801,0.15459579229354858,0.00457771448418498,0.02809465304017067,0.6414244341950016,0.7007080121885643,0.05928357799356265,other,False,False,False
144k,flickr,3230152596,171,5306.72412109375,0.10576219856739044,0.2506726384162903,0.9691485969387755,0.5249521683673469,0.1368480771780014,22.663923263549805,0.00045168850920163095,0.033539414405822754,0.03085140306122449,3530.194091796875,37.001590728759766,1739.5279541015625,0.665230393409729,0.006972586270421743,0.32779693603515625,0.33476951718330383,843,5778,186,0,1.0,0.017335691371226453,1.0,0.11882043267253434,0.136219784617424,0.0914616584777832,0.13594119250774384,0.09985198825597763,0.8503312391522233,0.7224844720496895,-0.12784676710253384,C_aud_better,False,True,False
144k,flickr,3403348616,172,1301.706298828125,0.025942808017134666,0.18141457438468933,0.476383131377551,0.06313775510204081,0.046236179769039154,1748.8587646484375,0.03485448658466339,0.2366810441017151,0.5236168686224489,593.8812866210938,10.620649337768555,697.204345703125,0.4562329351902008,0.00815902091562748,0.5356080532073975,0.5437670350074768,267,315,837,328,0.4419475655430712,0.004936618834455926,0.9587301587301588,0.01263439735598042,0.013964347541332245,0.0447038970887661,0.008068963885307312,0.02316669188439846,0.6920821114369502,0.677957247633575,-0.014124863803375187,other,False,False,False
144k,flickr,3413119417,173,6875.4716796875,0.1370270997285843,0.3256814479827881,0.8301379145408163,0.6164700255102041,0.22780761122703552,358.8684997558594,0.007152194157242775,0.17762035131454468,0.1698620854591837,3712.697265625,56.83556365966797,3105.93896484375,0.5399916172027588,0.00826642382889986,0.45174193382263184,0.4600083529949188,1184,1902,330,0,1.0,0.028425323506110003,1.0,0.04566297745660577,0.22935764491558075,0.20413438975811005,0.2690851390361786,0.1433282196521759,0.822438788059479,0.7789560799106972,-0.04348270814878186,other,False,False,False
144k,flickr,3416359816,174,7588.6669921875,0.1512409746646881,0.2990390956401825,0.9825015943877551,0.7870695153061225,0.22832833230495453,16.396177291870117,0.00032677329727448523,0.10379545390605927,0.0174984056122449,2276.141357421875,39.18267822265625,5273.34326171875,0.2999395430088043,0.0051633152179419994,0.6948971748352051,0.7000604867935181,1893,503,1322,0,1.0,0.03839912369670169,1.0,0.01020325368169094,0.14845676720142365,0.10335057228803635,0.1369733214378357,0.13681066036224365,0.5284571809396867,0.5242705254933931,-0.004186655446293597,other,False,False,False
144k,flickr,3484198977,175,1841.1268310546875,0.036693375557661057,0.1595568209886551,0.6293447066326531,0.09076052295918367,0.061711255460977554,722.7450561523438,0.01440419815480709,0.13873636722564697,0.3706552933673469,994.1446533203125,3.012143611907959,843.969970703125,0.5399653315544128,0.0016360325971618295,0.45839861035346985,0.46003463864326477,2072,801,26,761,0.22972972972972974,0.01507378554689974,0.978776529338327,0.024827411489011336,0.01651076041162014,0.0891382172703743,0.0034848686773329973,0.045418981462717056,0.6820730892074575,0.7370980707395498,0.05502498153209234,other,False,False,False
144k,flickr,3535748358,176,2882.6640625,0.05745105445384979,0.22706793248653412,0.8084741709183674,0.2110969387755102,0.09243571758270264,310.6807556152344,0.006191819906234741,0.12091422080993652,0.19152582908163265,1283.3248291015625,12.6664457321167,1586.672607421875,0.4451870918273926,0.0043940069153904915,0.5504188537597656,0.5548128485679626,2139,7105,0,0,0.48293595137914913,0.025464674850860326,0.8387051372273047,0.146896415717596,0.027300558984279633,0.06903993338346481,9.081487951334566e-05,0.027032632380723953,0.8103083853083853,0.6494704539500767,-0.1608379313583086,C_aud_better,False,True,False
