scale,dataset,sample_id,sample_index,positive_excess_total_mass,positive_excess_mean,positive_excess_max,positive_excess_area_gt0,positive_excess_area_ge_0p1,positive_excess_aud_mass_ratio,query_excess_total_mass,query_excess_mean,query_excess_max,query_excess_area_gt0,excess_gt_mass,excess_nearfp_mass,excess_bg_mass,excess_gt_ratio,excess_nearfp_ratio,excess_bg_ratio,excess_fp_ratio,removefp_count,removetp_count,addfp_count,addtp_count,overlap_removefp_excess,excess_precision_removefp,overlap_removetp_excess,excess_precision_removetp,excess_mean_removefp,excess_mean_removetp,excess_mean_retainedfp,excess_mean_retaintp,aud_iou,ogl_iou,ogl_minus_aud_iou,group,auto_taxonomy,delta_iou,aud_precision,aud_coverage,aud_area,groupA,aud_better,ogl_help
144k,vggss,wTN2MR0oMZ0_000032,4967,3949.536376953125,0.07871365547180176,0.35055649280548096,0.8541932397959183,0.3256935586734694,0.13493755459785461,141.4528045654297,0.0028191327583044767,0.0697563886642456,0.14580676020408162,237.26075744628906,8.719134330749512,3703.556396484375,0.060073066502809525,0.0022076349705457687,0.9377192854881287,0.9399269223213196,616,311,4096,34,1.0,0.014372375174988334,1.0,0.007256182921138591,0.1053706556558609,0.10141531378030777,0.043372973799705505,0.033606186509132385,0.2020670139031292,0.1668879876538779,-0.03517902624925129,B_close,OVER,-0.0351790262492513,0.2062714560830612,0.9083701968193054,0.4760443239795918,False,False,False
144k,vggss,wTduj6YOVuU_000010,4968,3895.349609375,0.07763372361660004,0.20847535133361816,0.8745814732142857,0.35843829719387754,0.1347135603427887,173.45372009277344,0.003456906182691455,0.07113862037658691,0.12541852678571427,137.65020751953125,12.897323608398438,3744.80224609375,0.03533706068992615,0.00331095396541059,0.9613520503044128,0.9646629691123962,1488,31,1592,223,0.9690860215053764,0.032860105279948953,1.0,0.0007064238999156849,0.08464226871728897,0.060505736619234085,0.07047175616025925,0.05118701606988907,0.0742850218128938,0.0816975060337892,0.007412484220895396,B_close,OVER,0.0074124842208953,0.076961707470182,0.6811110973358154,0.4762236926020408,False,False,False
144k,vggss,wVVBhbrnj9s_000040,4969,1425.8826904296875,0.028417624533176422,0.2246769219636917,0.43492904974489793,0.09255420918367346,0.06263706088066101,1425.2850341796875,0.02840571291744709,0.14851808547973633,0.565070950255102,38.8364372253418,3.368152618408203,1383.67822265625,0.02723676897585392,0.0023621527943760157,0.9704011678695679,0.9727632999420166,1067,0,900,0,0.21930646672914714,0.010722632085414472,0.0,0.0,0.008267823606729507,,0.0027376909274607897,0.026152482256293297,0.1162972824810086,0.1178384383431201,0.0015411558621115096,B_close,OVER,0.0015411558621114,0.1162972824810086,1.0,0.2544842155612244,False,False,False
144k,vggss,w_z9oSn-eIM_000280,4970,3385.18505859375,0.06746622174978256,0.18633881211280823,0.8569036989795918,0.29478236607142855,0.13623209297657013,161.4267578125,0.003217210527509451,0.08542141318321228,0.14309630102040816,69.86927795410156,2.8195979595184326,3312.49609375,0.020639721304178238,0.0008329228148795664,0.978527307510376,0.9793602228164673,1682,0,284,0,0.4577883472057075,0.0179086426644339,0.0,0.0,0.02156134694814682,,0.022258637472987175,0.012768507935106754,0.4048235555226751,0.451522402838518,0.046698847315842895,B_close,OVER,0.0466988473158428,0.4048235555226751,1.0,0.2693917410714285,False,False,False
144k,vggss,waqwL6fKEE4_000120,4971,2066.254638671875,0.04118013754487038,0.20035000145435333,0.6299027423469388,0.16822783801020408,0.06608312577009201,869.2520141601562,0.017324060201644897,0.19244900345802307,0.37009725765306123,1171.8861083984375,14.427391052246094,879.9413452148438,0.5671547651290894,0.006982387509196997,0.42586296796798706,0.4328453540802002,843,530,731,1311,0.4543297746144721,0.01211795228754034,0.3849056603773585,0.006454470670125926,0.03258004039525986,0.014449828304350376,0.04921865090727806,0.02271425537765026,0.3318119806523626,0.3521627739223441,0.02035079326998146,B_close,MIXED,0.0203507932699814,0.4578028747433265,0.5466247200965881,0.5823501275510204,False,False,False
144k,vggss,wauLTa8cx-Y_000159,4972,6761.70751953125,0.1347597986459732,0.29425594210624695,0.9396524234693877,0.6804049744897959,0.24254904687404633,100.34203338623047,0.001999801257625222,0.08676028251647949,0.06034757653061224,3742.875244140625,62.001495361328125,2956.830810546875,0.5535399317741394,0.00916950311511755,0.4372905492782593,0.4464600384235382,1231,1980,0,609,1.0,0.026109272927801814,1.0,0.04199541868159837,0.17652122676372528,0.1079680472612381,0.12278496474027634,0.09500351548194885,0.557704000972881,0.5360854047566407,-0.021618596216240293,B_close,GOOD,-0.0216185962162402,0.885712906185119,0.6009500622749329,0.4127670599489796,False,False,False
144k,vggss,weFQftCey64_000087,4973,2709.22314453125,0.053994402289390564,0.262006551027298,0.6655771683673469,0.22638313137755103,0.0970078632235527,551.82275390625,0.010997743345797062,0.1065901517868042,0.3344228316326531,1553.302978515625,3.334240436553955,1152.586181640625,0.5733388662338257,0.0012306998251006007,0.4254305064678192,0.4266611933708191,1954,1841,0,20,0.4539406345957011,0.026560067073901066,0.8533405757740359,0.04704156186369625,0.009110401384532452,0.04964312165975571,0.004048002418130636,0.020039290189743042,0.5639070680628272,0.5387680906103615,-0.02513897745246574,B_close,GOOD,-0.0251389774524657,0.7955038544984536,0.6595101356506348,0.4317402742346938,False,False,False
144k,vggss,wfRWvI16wxw_000047,4974,1552.2862548828125,0.03093682788312435,0.17344258725643158,0.7264628507653061,0.06138392857142857,0.06383685767650604,301.2029724121094,0.00600292906165123,0.1061089038848877,0.27353714923469385,101.11666870117188,2.1136040687561035,1449.055908203125,0.06514047831296921,0.0013616071082651615,0.9334978461265564,0.9348595142364502,1675,541,0,0,0.5498507462686567,0.025266796521357437,0.9390018484288355,0.013936517516666209,0.018524985760450363,0.015138939954340458,0.0026514388155192137,0.008235383778810501,0.5679903067687393,0.5928892124742143,0.02489890570547504,B_close,OVER,0.024898905705475,0.5879033177516817,0.9437225461006165,0.349609375,False,False,False
144k,vggss,wfRWvI16wxw_000086,4975,6321.0390625,0.12597733736038208,0.25829458236694336,0.9822823660714286,0.6569076849489796,0.19720500707626343,5.1178789138793945,0.00010199854295933619,0.01791834831237793,0.017717633928571428,3749.93408203125,41.25925064086914,2529.845947265625,0.5932464599609375,0.006527289282530546,0.40022626519203186,0.4067535698413849,3310,4298,0,0,1.0,0.06715766835068071,1.0,0.0872035222269564,0.11727793514728546,0.14924368262290955,0.10296075791120529,0.08745074272155762,0.6903778365278695,0.6293860978122539,-0.060991738715615695,transition,GOOD,-0.0609917387156156,0.864269461490726,0.7743320465087891,0.5780851403061225,False,False,False
144k,vggss,wgT4rbZ5kvc_000022,4976,2756.78076171875,0.05494222044944763,0.20139214396476746,0.7764668367346939,0.17117745535714285,0.11672629415988922,496.63580322265625,0.009897875599563122,0.14731138944625854,0.22353316326530612,1112.6424560546875,13.132366180419922,1631.0059814453125,0.40360209345817566,0.00476366002112627,0.5916342735290527,0.5963979363441467,2093,2049,748,0,0.484472049689441,0.026026694045174537,1.0,0.052592402464065706,0.036523498594760895,0.0959542840719223,0.028058890253305435,0.045304007828235626,0.3020203006051142,0.2162218624327571,-0.0857984381723571,transition,OVER,-0.0857984381723571,0.3949585194639438,0.5620743036270142,0.3123007015306122,False,False,False
