sample_id,IoU_STAGE1_AUD,IoU_SLOT_L3_POOLED,IoU_SLOT_L3_NATIVE_READOUT,IoU_SLOT_L4,IoU_STAGE1_AUD_L3_POOLED,IoU_STAGE1_AUD_L3_NATIVE_READOUT,IoU_STAGE1_AUD_L4,IoU_NATIVE_UPDATE_AUD,IoU_SLOT_L3_NATIVE_UPDATE,IoU_NATIVE_UPDATE_AUD_L3_NATIVE_UPDATE
R9qOM83klNc_000081,0.03799299527942744,0.05663049685893775,0.06390725056806446,0.0009276437847866419,0.0594918731260849,0.05916543766808363,0.021714285714285714,0.06925691477751099,0.14245663220606272,0.09997833622183709
RCfTxRhPoNE_000071,0.3394187634094012,0.2021989878490508,0.20488797280295526,0.41839348079161814,0.27711618925008047,0.2711685823754789,0.4141007507344141,0.3261659375695114,0.22367409684857803,0.3763871913957468
RCk6hxXs03M_000240,0.166848526931852,0.10391921246013773,0.11348808981945077,0.1527964029344482,0.15637298955654033,0.17051521850025506,0.202341807683054,0.2594077729796422,0.14965570631137187,0.2486816815336849
RDCeLCJp7NM_000000,0.6189313474138282,0.20137217140105923,0.2205527424163551,0.6878644650420478,0.523178567539115,0.532141290039491,0.7032261352632384,0.4994169851655114,0.12922906267332224,0.4433113377324535
RDG7jY7P_8M_000088,0.12816777211210367,0.08182158219562372,0.0814839588160818,0.1852515300791163,0.11998852176764778,0.11880726162198846,0.1679949332348129,0.10675341888065547,0.12327018332226931,0.11206264578473842
RDnrb0xSkrs_000070,0.2670837988826816,0.15334224598930482,0.12826410499255853,0.48080614203454897,0.279448211363105,0.21741186742823881,0.41969317470256734,0.2152195051680052,0.1848601488324352,0.235008038585209
REDLY6m3Muw_000042,0.13830215616648972,0.12593626083125276,0.12665238904069123,0.16749612466345762,0.13921685441941076,0.13951091800356505,0.15005252391220214,0.15356711003627568,0.18414657853810265,0.16991932385708797
RF3rog2YjYw_000030,0.3936908517350158,0.1731553680939035,0.1952379462469885,0.4229336277080171,0.2813979706877114,0.2990940900158175,0.5608917480035492,0.2623391911208274,0.3005493068270991,0.2813234496474417
RFbWkL818XQ_000030,0.8201897510273145,0.5768286593991845,0.5173541087311865,0.5538412698412698,0.820039158934196,0.7965799994163821,0.6955037701306358,0.7519078595364816,0.2774628951045264,0.7098583154986048
RFeU64gTvGQ_000000,0.6893574512112455,0.42587047651638293,0.4169264938282151,0.20503187613843352,0.5574392633838305,0.5645812624254473,0.4470597110633322,0.6695974397844029,0.3566471052928563,0.5547554171532373
RGWC7icTM_E_000031,0.02296698945246409,0.02613739915097904,0.028044069251681212,0.0,0.029993918283850278,0.029975852785256323,0.0,0.0334965838321543,0.04470458830923947,0.03599443319838057
RHYNFIUe7H8_000001,0.3508797870767411,0.16937178275028889,0.1650990702843358,0.5672094835719267,0.32402348291095096,0.36702367980439576,0.4118004338394794,0.41464266992835924,0.09364201796821009,0.3877631191279013
RIQzc8Gx0q4_000026,0.40856169808332016,0.2438188494492044,0.2413051928749457,0.3044384407564647,0.4416865011900714,0.42974268415741673,0.4245121098467993,0.3263226165107014,0.2714227421109902,0.36900876813588646
RJFdWGEdzP4_000160,0.5987406793703397,0.23747141239425362,0.2587049278181858,0.29167864033827334,0.3867779024116657,0.4405601958525346,0.444008532033214,0.5652847973706242,0.21134920854933054,0.4675298401780295
RJtn6Td3rco_000068,0.016466145604636866,0.030021615563205508,0.028790786948176585,0.03013500482160077,0.02014396218306833,0.01962118041021348,0.02035499104380394,0.014719736222326895,0.036698283649503165,0.01824373631719776
RMX2aviLZdo_000070,0.6735467565290648,0.48572854291417167,0.42308945208156884,0.15615233244588494,0.7364839844473245,0.7040272364825516,0.49624315010451386,0.5210415570752236,0.2976585587633553,0.5759868421052632
RObYRwt7b8U_000189,0.6204073007739243,0.6160804947844549,0.514584755403868,0.2507475324812786,0.5768314082920825,0.5750930147251481,0.41459606784684183,0.6039663304927945,0.2750842357056509,0.4680155804773482
RQIVLqDLQzA_000050,0.14864864864864866,0.09112831917687093,0.09115403083817959,0.032876115828434575,0.1598213969311457,0.12611430786201963,0.1985444513152262,0.14848714318638265,0.15530839231547017,0.16944058308599766
RSXUYIi95wo_000030,0.7211370007007708,0.47061779148110083,0.48388101168806286,0.29187524066230264,0.6561089140097295,0.6444136362020547,0.5405756642279553,0.6496042758762463,0.7133281439197371,0.7448962724192082
RSgmATBcCwE_000110,0.7843189368770764,0.6673928507913925,0.6386543593333042,0.29985674207604607,0.7936669034811732,0.7859201099743569,0.677996893954933,0.7219138602764583,0.32784278975214365,0.6628487908583577
RSryuuvUfDM_000050,0.43007389162561577,0.5681827709075665,0.6509978594131764,0.21354679802955664,0.6338369304556355,0.5257881773399015,0.301551724137931,0.5406157635467981,0.4532503457814661,0.5296126451361108
RTLGAJZ8WzM_000219,0.5076986527357712,0.3714342808612679,0.35126132872008053,0.1974199288256228,0.46752466752466754,0.44924580921822055,0.30771695166393015,0.4896930829134219,0.46271248400658016,0.49895020401695517
RWVuRwtjGek_000210,0.5939607215104518,0.4730669970062971,0.6756456196713209,0.0923436338536689,0.533601870017114,0.6017354939884998,0.32890302066772653,0.3618488844026665,0.5281518131145487,0.3801425640374812
RXIRbazT2Rs_000270,0.8066974132745137,0.40666361346462104,0.47162464503915325,0.27322884012539184,0.8232529774716603,0.7965228122391201,0.5742528735632184,0.7356068040562643,0.437928680557813,0.6455874652595964
RXSyVeHp2yA_000000,0.4404091071952054,0.31896572062188877,0.2617953658416086,0.599056303003252,0.3720229947987955,0.38756568425862464,0.6315815916398714,0.7037056615742454,0.2985186223655311,0.5567851205320034
RYO6ukdw9PM_000085,0.686779059449867,0.18176924018108406,0.20778775789911647,0.3394643216755051,0.5881198298826938,0.6179993671744338,0.8004078353828091,0.541897396000183,0.05817225916189887,0.46012721055921174
RZMgq7-EbUA_000024,0.3891165038344364,0.15065832912572338,0.16453934415099464,0.36278267535454195,0.34772487702037946,0.36866653574234093,0.4670996009701901,0.30802976889933414,0.09707878430215403,0.2892344677334535
RZajsvjHx74_000054,0.48352990012941666,0.5807985455562548,0.7836890243902439,0.22921397699802212,0.5169118541033435,0.5768699571127426,0.34361341049495764,0.6595693317883352,0.46160134429356464,0.6268108055817553
RZlDaLFuxxQ_000046,0.6863541468969444,0.3231712984478111,0.3402925687536571,0.36289243842945945,0.5899051557218339,0.6391166763074619,0.5026359272956172,0.6139703583265587,0.19074198544668167,0.5695320278791902
RasfE1VmcKM_000172,0.7347114556416882,0.3803970701619121,0.36281544394005955,0.23841059602649006,0.6086391437308869,0.6670786616050146,0.41638857990359657,0.640737312132433,0.17709923664122137,0.6343689499400756
RcVJVUfXWgU_000120,0.29381949628698284,0.14816571790006325,0.15460980662983426,0.29854904236796287,0.26356432304838984,0.25249824537949933,0.3937174622783023,0.29154738586710865,0.186113901553203,0.24506477483035163
RczMLTHyBKE_000250,0.4949715215622457,0.30475696327916796,0.3413430315625406,0.13545381067845766,0.41542846163699243,0.407091676343142,0.2122909498279587,0.5761120935927084,0.5789138007162832,0.6397562833206397
RdhHK4SbzTo_000030,0.47668101319410144,0.37367469384400426,0.34232347409813646,0.3492279532547989,0.43095498891917366,0.4203258768296051,0.42003829503829504,0.7674784327821711,0.3511258344126731,0.5447594967190416
Rdu3_LWIlgE_000400,0.5994025318935331,0.38331349421058325,0.6833598578012938,0.24220892545499875,0.5832705705140275,0.6738794802973801,0.387683869359262,0.7681736848383633,0.62508562968201,0.6558266230197606
RfbXTxSx8jo_000350,0.3266409899205113,0.2127431632365379,0.19876400154499807,0.2930488414735789,0.24614961496149615,0.2792882039992662,0.31418693516103596,0.5779716466739367,0.31386755542674977,0.49983240597975465
Rg-vGSWc0sk_000458,0.7903673392596774,0.6898723511816994,0.7886142715680132,0.3137376090522262,0.8545381828447749,0.8602567720090294,0.5444549763033175,0.7879472693032015,0.5333105957253297,0.6035618962137138
Rg971GlT_Ro_000021,0.025728287503403214,0.016576766214971714,0.018030050083472453,0.0,0.02521597011440579,0.02243057203892713,0.0003160306549735324,0.01881878518020667,0.001964370385423017,0.00671462829736211
