dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
flickr,C2,12345,35,10308472565,FarFP,0.1627197265625,0.02125297383029342,6305
flickr,C2,12345,35,10308472565,HighAUDFP,0.19956140350877194,0.25279789335088876,1519
flickr,C2,12345,36,10369815925,FP,0.6644287109375,0.6085944494180842,5585
flickr,C2,12345,36,10369815925,NearFP,0.6839752197265625,0.623162741278555,5647
flickr,C2,12345,36,10369815925,FarFP,,,0
flickr,C2,12345,36,10369815925,HighAUDFP,0.3713107638888889,0.3358395989974937,399
flickr,C2,12345,37,10389014583,FP,0.3170013427734375,0.3784851301115242,4304
flickr,C2,12345,37,10389014583,NearFP,0.2919158935546875,0.3320574162679426,4180
flickr,C2,12345,37,10389014583,FarFP,0.2913970947265625,0.3525283797729618,4845
flickr,C2,12345,37,10389014583,HighAUDFP,0.5950520833333334,0.5526315789473685,114
flickr,C2,12345,38,10409146004,FP,0.618743896484375,0.5334848484848485,6600
flickr,C2,12345,38,10409146004,NearFP,0.7754058837890625,0.7026271660145332,7156
flickr,C2,12345,38,10409146004,FarFP,0.4919586181640625,0.4322865554465162,6114
flickr,C2,12345,38,10409146004,HighAUDFP,0.7381914511494253,0.49286786786786785,2664
flickr,C2,12345,39,10409351364,FP,0.7290191650390625,0.3258513931888545,2584
flickr,C2,12345,39,10409351364,NearFP,0.6540374755859375,0.31295060080106807,3745
flickr,C2,12345,39,10409351364,FarFP,0.901580810546875,0.9583333333333334,24
flickr,C2,12345,39,10409351364,HighAUDFP,0.1875,0.21808510638297873,188
flickr,C2,12345,40,10413912845,FP,0.615325927734375,0.801475015051174,6644
flickr,C2,12345,40,10413912845,NearFP,0.632904052734375,0.6679715950473416,10984
flickr,C2,12345,40,10413912845,FarFP,0.61102294921875,1.0,2885
flickr,C2,12345,40,10413912845,HighAUDFP,0.7866551598837209,0.7401705845641773,4807
flickr,C2,12345,41,10437048305,FP,0.32708740234375,0.30153886972671795,7538
flickr,C2,12345,41,10437048305,NearFP,0.33172607421875,0.3064165307232191,7356
flickr,C2,12345,41,10437048305,FarFP,,,0
flickr,C2,12345,41,10437048305,HighAUDFP,0.354248046875,0.6305147058823529,544
flickr,C2,12345,42,10440265465,FP,0.4362335205078125,0.41580820378348005,5339
flickr,C2,12345,42,10440265465,NearFP,0.4858245849609375,0.47427035330261136,5208
flickr,C2,12345,42,10440265465,FarFP,,,0
flickr,C2,12345,42,10440265465,HighAUDFP,0.07218424479166667,0.017868145409735057,1623
flickr,C2,12345,43,10441843213,FP,0.8593902587890625,0.8897001303780965,3835
flickr,C2,12345,43,10441843213,NearFP,0.8308868408203125,0.8901993821960124,3561
flickr,C2,12345,43,10441843213,FarFP,,,0
flickr,C2,12345,43,10441843213,HighAUDFP,0.8994140625,0.8333333333333334,492
flickr,C2,12345,44,10446128125,FP,0.566009521484375,0.3340033500837521,2985
flickr,C2,12345,44,10446128125,NearFP,0.5029144287109375,0.26352097130242824,3624
flickr,C2,12345,44,10446128125,FarFP,0.6275787353515625,0.45162959130884633,1933
flickr,C2,12345,44,10446128125,HighAUDFP,,,0
flickr,C2,12345,45,10451898725,FP,0.5870819091796875,0.6443606660383286,3183
flickr,C2,12345,45,10451898725,NearFP,0.461181640625,0.40821540880503143,5088
flickr,C2,12345,45,10451898725,FarFP,0.6727447509765625,0.7048489107519326,2846
flickr,C2,12345,45,10451898725,HighAUDFP,0.585859375,0.6522765598650927,2965
flickr,C2,12345,46,10468313544,FP,0.336029052734375,0.06405410781778396,5027
