dataset,group,seed,sample_index,sample_id,mean_spearman,mean_top10_jaccard,mean_map_mae,matched_minus_wrong_abs_mean
flickr,C2,12345,147,2499673064,0.9826658163265306,0.803030303030303,0.00026140826230403036,0.00012694955512415618
flickr,C2,12345,148,2509250774,0.9909821428571428,0.9772727272727273,0.0004823980834771646,0.0004688258050009608
flickr,C2,12345,149,2542659118,0.976938775510204,0.7453379953379954,0.00033131143027276266,0.00023991991474758834
flickr,C2,12345,150,2630218696,0.988813775510204,0.8636363636363638,0.00022163258654472884,0.0001424907532054931
flickr,C2,12345,151,2695985181,0.9853826530612244,0.7803030303030303,0.0003345016739331186,0.00023114906798582524
flickr,C2,12345,152,2698329253,0.9687755102040816,0.7368881118881119,0.0004134259252168704,0.00037591528962366283
flickr,C2,12345,153,2766580444,0.9923852040816326,0.8674242424242424,0.0002784765838441672,0.0001448943658033386
flickr,C2,12345,154,2778088729,0.9932015306122448,0.840909090909091,0.0003246459709771443,0.0002575264370534569
flickr,C2,12345,155,2808068937,0.9868112244897957,0.9090909090909092,0.00036437174094317015,0.00030939269345253706
flickr,C2,12345,156,2811549163,0.9875765306122448,0.7803030303030303,0.0002834887745848391,0.00027334876358509064
flickr,C2,12345,157,2819123278,0.9864668367346938,0.7878787878787878,0.00028365700563881546,0.00015008366608526558
flickr,C2,12345,158,2858344348,0.9900892857142857,0.9090909090909092,0.0004133810543862637,0.0003492012619972229
flickr,C2,12345,159,2895192729,0.9798086734693876,0.7263986013986014,0.00039171313619590364,0.0002793051826301962
flickr,C2,12345,160,2897081671,0.9933928571428571,0.7613636363636365,0.0002531733662181068,0.00016643133130855858
flickr,C2,12345,161,2897653916,0.9973086734693877,0.840909090909091,0.0002822151163854869,0.00015371403424069285
flickr,C2,12345,162,2907554899,0.9793112244897959,0.6535547785547785,0.00022389173409465002,0.00015986648213583976
flickr,C2,12345,163,2935372113,0.9865561224489796,0.7462121212121212,0.00029534649729612283,0.00024051641230471432
flickr,C2,12345,164,2961466546,0.9833035714285714,1.0,0.00027623244022834115,0.00022288229956757277
flickr,C2,12345,165,3012435981,0.9810459183673469,0.6158841158841158,0.00032575301156612113,0.00023272089310921729
flickr,C2,12345,166,3052033339,0.9859311224489795,0.7613636363636364,0.00022520059974340256,0.000150563326315023
flickr,C2,12345,167,3102685146,0.9814795918367346,0.6762820512820513,0.00039646378172619734,0.00039223540807142854
flickr,C2,12345,168,3109408703,0.9876785714285714,0.7234848484848485,0.00038529814992216416,0.0003092589322477579
flickr,C2,12345,169,3202731977,0.9895790816326528,1.0,0.00048362229426857084,0.0004571086319629103
flickr,C2,12345,170,3207674548,0.9940178571428571,0.8446969696969697,0.00024984490300994366,0.00019729427003767341
flickr,C2,12345,171,3230152596,0.9540306122448978,0.8324592074592074,0.00025310977434855886,0.00018386487499810755
flickr,C2,12345,172,3403348616,0.98734693877551,0.9772727272727273,0.0002525955333112506,0.0001731297088554129
flickr,C2,12345,173,3413119417,0.9910204081632652,0.8446969696969697,0.0002991990750160767,0.00021275252220220864
