sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IMG_VALUE,IoU_IMG_VALUE_RES,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_VALUE,IoU_IQR_VALUE_RES,delta_IMG_VALUE_vs_IMG_FINE,delta_IMG_VALUE_RES_vs_IMG_FINE,delta_IQR_VALUE_vs_IQR_FINE,delta_IQR_VALUE_RES_vs_IQR_FINE,delta_IQR_VALUE_vs_AUD_FINE,delta_IQR_VALUE_RES_vs_AUD_FINE,IMG_FINE_vs_IMG_VALUE_pixel_pearson,IMG_FINE_vs_IMG_VALUE_pixel_cosine,IMG_FINE_vs_IMG_VALUE_mean_absolute_difference,IMG_FINE_vs_IMG_VALUE_RES_pixel_pearson,IMG_FINE_vs_IMG_VALUE_RES_pixel_cosine,IMG_FINE_vs_IMG_VALUE_RES_mean_absolute_difference
163,2935372113,0.5157406640722033,0.5121902972157658,0.5249734504323786,0.0,0.5253631134128444,0.5172230438178163,0.5205335205335205,0.5143777355685853,0.5180570573068286,-0.5249734504323786,0.00038966298046572145,-0.006155784964935185,-0.0024764632266919273,-0.0013629285036179661,0.0023163932346252913,-0.8430069809985288,0.6726065324350631,0.4391871885228289,0.9998743504016868,0.9999797894682607,0.0036418152973120986
164,2961466546,0.46666526545882553,0.39819402100271,0.4420740678464837,0.2938132474701012,0.4410862163184665,0.44892597418975155,0.46466854428517385,0.46769515322207744,0.46523603346084325,-0.1482608203763825,-0.0009878515280171696,0.0030266089369035964,0.0005674891756694,0.0010298877632519132,-0.0014292319979822832,-0.7083798436158294,0.7262981626196572,0.45842345487242675,0.9999726516337724,0.9999976487333043,0.001250626584129693
165,3012435981,0.4311650259457535,0.4710807815066572,0.5130697774897386,0.16515073775207176,0.5004275085820753,0.4559867584093676,0.47220997206965215,0.4319868771785934,0.4628072488530722,-0.3479190397376668,-0.01264226890766329,-0.04022309489105874,-0.009402723216579978,0.0008218512328398986,0.03164222290731866,-0.21977969487381127,0.8380221519135352,0.35829440468454526,0.9986542685769935,0.9998569694865997,0.013418105088512837
166,3052033339,0.3944070429829104,0.4113310469606546,0.38552265249303974,0.0003854016555514595,0.3859329076720381,0.40035746201966044,0.3900240692374661,0.3942539148440533,0.39061418130529557,-0.3851372508374883,0.0004102551789983422,0.004229845606587235,0.0005901120678294958,-0.00015312813885709486,-0.003792861677614834,-0.12969687336139002,0.902270561690575,0.3479106497418267,0.9999417884460486,0.9999968353441244,0.0029147371258860097
167,3102685146,0.5048729407496578,0.6425317458570832,0.608307955653749,0.027176588747316804,0.6096084053495879,0.5741601380958704,0.5496712471110952,0.5021877714229528,0.5452248340658754,-0.5811313669064322,0.0013004496958389788,-0.047483475688142374,-0.004446413045219755,-0.002685169326705039,0.04035189331621758,-0.39315722741115233,0.7888784613466963,0.3343015961587778,0.9997576219840298,0.9999683885719127,0.00480298568216635
168,3109408703,0.7721466642161368,0.5360426564582835,0.7984150239744273,0.7273317711782386,0.8000971459198714,0.7506483446162137,0.7926926639200281,0.7725437415881561,0.7924525291207914,-0.07108325279618877,0.0016821219454440373,-0.020148922331872043,-0.0002401347992366798,0.0003970773720193277,0.02030586490465469,0.6828348513439216,0.9703858661815928,0.1690097366508937,0.9998146514539098,0.9999789661319625,0.0038353404500143444
169,3202731977,0.7466113181972213,0.829671407552722,0.7879675529517801,0.12270752431850514,0.7894405185218526,0.7874528858816584,0.7596681501966037,0.7468879668049793,0.7592377010304834,-0.6652600286332749,0.001472965570072482,-0.012780183391624456,-0.0004304491661203391,0.00027664860775800104,0.012626382833262118,-0.3352258735058455,0.7611057950707146,0.33261085125921114,0.999861080900514,0.9999796484859799,0.0033678165263762248
170,3207674548,0.6159336279979711,0.6385886722376973,0.6557624655858061,0.041857516767544574,0.6488730050676953,0.6239161194354751,0.6274305555555556,0.6145629661814759,0.6238143692989788,-0.6139049488182615,-0.00688946051811079,-0.012867589374079724,-0.003616186256576781,-0.0013706618164952555,0.007880741301007688,0.2139102603282586,0.840161679862542,0.3142296822974969,0.9997260476955572,0.9999451795100642,0.006409659751764939
171,3230152596,0.7048133132189327,0.5610606690976726,0.6797074170260418,0.008192743240120176,0.6797187321530554,0.6712212499402286,0.6940838476271547,0.7044480045233944,0.6953870876264298,-0.6715146737859216,1.1315127013689086e-05,0.010364156896239707,0.0013032399992750632,-0.00036530869553830225,-0.009426225592502946,-0.43727523907250615,0.7948737135693656,0.4013776785532526,0.9999876993794877,0.9999986330190355,0.0010946967450376158
172,3403348616,0.7301414995524577,0.6959936283316972,0.7093593385319606,0.14177991919279218,0.7139113820398508,0.7170280245562624,0.7218310516780905,0.7298792660899325,0.7244416896752502,-0.5675794193391684,0.00455204350789018,0.008048214411842003,0.0026106379971597704,-0.0002622334625251854,-0.005699809877207418,0.302202023380031,0.8998049705305388,0.2713900420865111,0.9995229337262013,0.999913381312001,0.0078115768128117
