sample_index,sample_id,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_OLD,IoU_IQR_FINE,IoU_IQR_FINE_EVALSPACE,delta_IQR_FINE_vs_IQR_OLD,delta_IQR_FINE_vs_AUD_FINE,delta_IQR_FINE_EVALSPACE_vs_IQR_FINE,AUD_FINE_raw_reconstruction_max_abs_error,IMG_L4_raw_reconstruction_max_abs_error,AUD_FINE_final_map_max_abs_error,IMG_L4_final_map_max_abs_error,IQR_OLD_final_map_max_abs_error
72,-gSfPQqi6nI_000030,0.677500672223716,0.6438065038456349,0.6379722943139303,0.6643290627107216,0.6680012111832587,0.6666890982503365,0.0036721484725371623,-0.009499461040457291,-0.0013121129329222159,0.0,0.0,0.0,0.0,0.0
73,-hYRFCQdbLg_000030,0.4701148679343241,0.5203440538519073,0.5342294696635816,0.5034453057708872,0.5038355971567317,0.5053611738148984,0.00039029138584445455,0.03372072922240754,0.0015255766581667718,0.0,0.0,0.0,0.0,0.0
74,-hedbpc8T0E_000030,0.5034455530830522,0.5071262470932413,0.5008257638315442,0.5069441886166881,0.5025597893659036,0.5029145433882025,-0.0043843992507844876,-0.0008857637171485466,0.00035475402229889763,0.0,0.0,0.0,0.0,0.0
75,-hss7xpzIVc_000030,0.08763400648217402,0.07129579428394392,0.08492786247825643,0.08548397581746084,0.08867984693877551,0.08887461871889549,0.0031958711213146695,0.001045840456601485,0.00019477178011997887,0.0,0.0,0.0,0.0,0.0
76,-iF4a6f5PJ8_000000,0.5815184815184815,0.5771630615640599,0.6086225026288118,0.5819132323986693,0.5928060480726853,0.5926051445419731,0.01089281567401601,0.01128756655420382,-0.00020090353071222644,0.0,0.0,0.0,0.0,0.0
77,-iF4a6f5PJ8_000060,0.6281567276325917,0.5887519374123552,0.6014782876501386,0.6116940977208292,0.6160797990025124,0.6168570893425736,0.004385701281683252,-0.012076928630079253,0.000777290340061132,0.0,0.0,0.0,0.0,0.0
78,-jZENGDFArw_000080,0.32309163346613545,0.3036000770069948,0.3038487717344224,0.31613175950313793,0.3174941877129845,0.316729263479534,0.0013624282098465557,-0.005597445753150965,-0.0007649242334504813,0.0,0.0,0.0,0.0,0.0
79,-kPDH9n0PG4_000310,0.010494700866503262,0.012031027386417602,0.011258008369440433,0.011100562331118089,0.010800824273431393,0.010767160161507403,-0.0002997380576866965,0.00030612340692813024,-3.366411192399013e-05,0.0,0.0,0.0,0.0,0.0
80,-kZVoaYYU6o_000000,0.5427925503283454,0.46423982869379016,0.4979225975225052,0.5185390558574544,0.5347721822541966,0.5347662586639139,0.016233126396742237,-0.008020368074148743,-5.923590282730373e-06,0.0,0.0,0.0,0.0,0.0
81,-lPXTBXa0tE_000030,0.45957419017763845,0.4969631661442006,0.44696969696969696,0.4730603448275862,0.44834117032392895,0.4489942528735632,-0.024719174503657237,-0.011233019853709503,0.000653082549634254,0.0,0.0,0.0,0.0,0.0
82,-mKtgDnG0oM_000030,0.053362058250818245,0.043755362176737346,0.06448849730788057,0.05455660956156496,0.06006862623506552,0.06069997107557539,0.005512016673500562,0.0067065679842472775,0.000631344840509869,0.0,0.0,0.0,0.0,0.0
83,-nQ9a0P1TlY_000023,0.14211867491809246,0.11861214073038828,0.13218663235592876,0.1320614302144645,0.13988820409918304,0.13953820859246552,0.00782677388471853,-0.0022304708189094247,-0.0003499955067175209,0.0,0.0,0.0,0.0,0.0
84,-oGJwGEsIiA_000090,0.37362451900357796,0.39374978746556943,0.4089745413170246,0.37903332451732347,0.38411449501458317,0.38759293363344927,0.005081170497259702,0.010489976011005209,0.0034784386188660976,0.0,0.0,0.0,0.0,0.0
85,-oOARU0JwWE_000153,0.12266258216861319,0.0916847119965353,0.10590121230337642,0.10979291351093692,0.1191509323325906,0.11864799166570204,0.009358018821653671,-0.00351164983602259,-0.0005029406668885517,0.0,0.0,0.0,0.0,0.0
86,-oSzD8P2BtU_000030,0.4993425378040763,0.5590411738662956,0.5548032936870997,0.5427831637261396,0.5207499714187721,0.5224522566955325,-0.022033192307367444,0.021407433614695826,0.001702285276760418,0.0,0.0,0.0,0.0,0.0
87,-ocADGlyaHc_000030,0.7087735226147244,0.6326303631774821,0.6794921621971758,0.6753092696153195,0.7018623072385607,0.7018201735906294,0.026553037623241238,-0.006911215376163682,-4.213364793126395e-05,0.0,0.0,0.0,0.0,0.0
