scale,dataset,sample_id,sample_index,signal,auroc_removefp_vs_removetp,ap_removefp_vs_removetp,auroc_removefp_vs_retainedfp,ap_removefp_vs_retainedfp,ogl_minus_aud_iou,groupA,ogl_help,aud_better
144k,flickr,14680986811,121,aud_minus_iqr,0.49943035162305327,0.4798411773639868,0.29303579028920157,0.1582131203990554,-0.01895322912624786,False,False,False
144k,flickr,14680986811,121,aud_times_one_minus_query,0.554402517030558,0.499638459231283,0.4590763364493891,0.2086484630532707,-0.01895322912624786,False,False,False
144k,flickr,14680986811,121,aud_query_ratio,0.490933664429183,0.4775740007355679,0.31233337361663477,0.17972368286211757,-0.01895322912624786,False,False,False
144k,flickr,14742398172,122,positive_excess,0.8218372936560812,0.12024635576521198,0.7996781815219162,0.4850500087622458,-0.10966576534667538,False,False,True
144k,flickr,14742398172,122,aud_minus_iqr,0.829235536097628,0.1250359450916836,0.9110081705812518,0.6753772224362802,-0.10966576534667538,False,False,True
144k,flickr,14742398172,122,aud_times_one_minus_query,0.8413914533168365,0.13310436288150898,0.9953851346632836,0.9549765530755792,-0.10966576534667538,False,False,True
144k,flickr,14742398172,122,aud_query_ratio,0.8260228630648351,0.12497105310746585,0.8580041434856491,0.6446436556078164,-0.10966576534667538,False,False,True
144k,flickr,14778198185,123,positive_excess,0.8261420804933463,0.37198551684221015,0.4473286290322581,0.8285998729604342,-0.06933167223129877,False,False,False
144k,flickr,14778198185,123,aud_minus_iqr,0.8296825553797468,0.3771849989195419,0.4816168234767025,0.8459899752178243,-0.06933167223129877,False,False,False
144k,flickr,14778198185,123,aud_times_one_minus_query,0.8427154333008764,0.39830397578077825,0.650453629032258,0.9068336917775184,-0.06933167223129877,False,False,False
144k,flickr,14778198185,123,aud_query_ratio,0.8310442277263875,0.38814172926382107,0.5216453853046595,0.8664126521266773,-0.06933167223129877,False,False,False
144k,flickr,14899015793,124,positive_excess,0.20902808364269385,0.037311475156925906,0.5146502835538752,0.8282608695652175,-0.07154488433482076,False,False,False
144k,flickr,14899015793,124,aud_minus_iqr,0.19080727364248412,0.03731914865261918,0.45864839319470696,0.8282608695652177,-0.07154488433482076,False,False,False
144k,flickr,14899015793,124,aud_times_one_minus_query,0.08555653432328698,0.022492568150417707,0.14130434782608695,0.7120174696481207,-0.07154488433482076,False,False,False
144k,flickr,14899015793,124,aud_query_ratio,0.06920237421086851,0.022222682978085124,0.14130434782608695,0.7120174696481207,-0.07154488433482076,False,False,False
144k,flickr,15135657108,125,positive_excess,0.6909547738693468,0.08850250528975903,0.7902276295133438,0.9678922338104947,-0.060554379705713535,False,False,False
144k,flickr,15135657108,125,aud_minus_iqr,0.6943508752553978,0.08949833065592167,0.7941522762951334,0.9685557247357319,-0.060554379705713535,False,False,False
144k,flickr,15135657108,125,aud_times_one_minus_query,0.7271305507127473,0.10071436855335889,0.8702904238618524,0.9804707991543311,-0.060554379705713535,False,False,False
144k,flickr,15135657108,125,aud_query_ratio,0.7162145105432973,0.09659611885564189,0.8359497645211931,0.9752687135284765,-0.060554379705713535,False,False,False
144k,flickr,15210828119,126,positive_excess,0.6402624155244142,0.3184555114639533,0.5868679348918068,0.49504968358791335,-0.18117240347443042,False,False,True
144k,flickr,15210828119,126,aud_minus_iqr,0.6492634522244005,0.326047305606433,0.6308531473036839,0.5602773318432487,-0.18117240347443042,False,False,True
144k,flickr,15210828119,126,aud_times_one_minus_query,0.7505205770156488,0.3791093114864511,0.8166034546959492,0.7103534139320804,-0.18117240347443042,False,False,True
144k,flickr,15210828119,126,aud_query_ratio,0.6774777684326871,0.34732590031196675,0.5959510214377439,0.533899454004608,-0.18117240347443042,False,False,True
144k,flickr,15679023977,127,positive_excess,0.3681010669988626,0.9316563519374352,0.4435777334558269,0.4489406111497122,0.13479256877541962,False,True,False
144k,flickr,15679023977,127,aud_minus_iqr,0.3639170232356605,0.9316143658888332,0.45427482042469736,0.45342219533150385,0.13479256877541962,False,True,False
144k,flickr,15679023977,127,aud_times_one_minus_query,0.4211124952607919,0.9342217204814586,0.7198753802141099,0.614388408221809,0.13479256877541962,False,True,False
144k,flickr,15679023977,127,aud_query_ratio,0.39342333315279204,0.9333384712507126,0.4607175554592955,0.46293529155091945,0.13479256877541962,False,True,False
144k,flickr,15799251138,128,positive_excess,0.0007042697782882596,0.12259275348293333,0.031660336842779996,0.06594617735108103,-0.01867534026226314,False,False,False
144k,flickr,15799251138,128,aud_minus_iqr,0.0008595354321116556,0.12301608193523231,0.036495841546079516,0.06628369503530729,-0.01867534026226314,False,False,False
144k,flickr,15799251138,128,aud_times_one_minus_query,0.0029013739514809813,0.12261306948146082,0.15022114321426855,0.07074902234356988,-0.01867534026226314,False,False,False
144k,flickr,15799251138,128,aud_query_ratio,0.0013829791862448228,0.12258282047894438,0.04709335555448723,0.06615264805620016,-0.01867534026226314,False,False,False
144k,flickr,15994498891,129,positive_excess,0.12209632814589857,0.18842213064467858,0.5051529396131453,0.6638106896263394,-0.08774916238144603,False,False,False
144k,flickr,15994498891,129,aud_minus_iqr,0.10202337492722381,0.16014257882125646,0.5061404237295175,0.6667323428624917,-0.08774916238144603,False,False,False
144k,flickr,15994498891,129,aud_times_one_minus_query,0.1391029870272919,0.1319522723856534,0.6564269519213999,0.734102761178631,-0.08774916238144603,False,False,False
144k,flickr,15994498891,129,aud_query_ratio,0.0990482615761919,0.12793566124570815,0.40185786540649626,0.6270250697938902,-0.08774916238144603,False,False,False
144k,flickr,16012165838,130,positive_excess,0.2103407625444665,0.36917058967298155,0.5027052427335121,0.5401826936512422,0.0060987135403782755,False,False,False
144k,flickr,16012165838,130,aud_minus_iqr,0.20769179836674698,0.3691207512194202,0.5023421764455233,0.5399198553255993,0.0060987135403782755,False,False,False
144k,flickr,16012165838,130,aud_times_one_minus_query,0.23839640822889574,0.3758460755935772,0.681056355521517,0.728235916344516,0.0060987135403782755,False,False,False
144k,flickr,16012165838,130,aud_query_ratio,0.22065539360634018,0.37215876109009083,0.5282533148374445,0.5611673013790275,0.0060987135403782755,False,False,False
144k,flickr,16101081359,131,positive_excess,0.9284354129486874,0.10601232501637606,0.2963063063063063,0.1407374831283184,-0.17060877300031618,False,False,True
144k,flickr,16101081359,131,aud_minus_iqr,0.9303089679195874,0.10851002540493745,0.3199099099099099,0.14648051174954946,-0.17060877300031618,False,False,True
144k,flickr,16101081359,131,aud_times_one_minus_query,0.9400477741185705,0.12357042820099765,0.44913513513513514,0.17741385756756067,-0.17060877300031618,False,False,True
144k,flickr,16101081359,131,aud_query_ratio,0.9331269663128069,0.11254954744005373,0.36102702702702705,0.15829862966829195,-0.17060877300031618,False,False,True
144k,flickr,16369370669,132,positive_excess,0.40126277884231454,0.6869811892798516,0.6112607240025154,0.7271101379075544,0.08703431719583576,False,False,False
144k,flickr,16369370669,132,aud_minus_iqr,0.41844912019030683,0.68410390330483,0.648988639134508,0.7518542574817042,0.08703431719583576,False,False,False
144k,flickr,16369370669,132,aud_times_one_minus_query,0.46638529358327296,0.6950175985595972,0.8368180994212087,0.8727569272177546,0.08703431719583576,False,False,False
144k,flickr,16369370669,132,aud_query_ratio,0.39270492889903896,0.6764499953244294,0.6266649761571701,0.7471473779585507,0.08703431719583576,False,False,False
144k,flickr,16419739420,133,positive_excess,0.04193334061012882,0.6197098427514306,0.5519742918397204,0.5936760367309919,0.10126413029162828,False,True,False
144k,flickr,16419739420,133,aud_minus_iqr,0.07748156201613117,0.6806471284196846,0.5434830138719671,0.577014718956181,0.10126413029162828,False,True,False
144k,flickr,16419739420,133,aud_times_one_minus_query,0.13904674695875652,0.6520492780978925,0.5937079755604171,0.6266793416645855,0.10126413029162828,False,True,False
144k,flickr,16419739420,133,aud_query_ratio,0.0810540026049494,0.6377559155367649,0.5307134411913684,0.5986918574337736,0.10126413029162828,False,True,False
