scale,dataset,sample_id,sample_index,signal,auroc_removefp_vs_removetp,ap_removefp_vs_removetp,auroc_removefp_vs_retainedfp,ap_removefp_vs_retainedfp,ogl_minus_aud_iou,groupA,ogl_help,aud_better
144k,vggss,FJ6cTKn5MUw_000010,1538,aud_minus_iqr,3.933136676499508e-05,0.9943950310227533,0.4732846547167074,0.3176815067165592,0.132986872442663,True,True,False
144k,vggss,FJ6cTKn5MUw_000010,1538,aud_times_one_minus_query,7.866273352999015e-05,0.9933010604459691,0.9278418318975371,0.7106616961066246,0.132986872442663,True,True,False
144k,vggss,FJ6cTKn5MUw_000010,1538,aud_query_ratio,3.933136676499508e-05,0.993291701396247,0.4307705792324789,0.2840490112417303,0.132986872442663,True,True,False
144k,vggss,FKElIiHW0Ws_000001,1540,positive_excess,0.1614341370920929,0.9211405425067393,0.8419673974511735,0.8148237588233785,0.20381705765736724,True,True,False
144k,vggss,FKElIiHW0Ws_000001,1540,aud_minus_iqr,0.18675275031556524,0.9295763953190261,0.8764744931025601,0.8350153817822059,0.20381705765736724,True,True,False
144k,vggss,FKElIiHW0Ws_000001,1540,aud_times_one_minus_query,0.18925816542108626,0.9297698654743096,0.907716568316417,0.8539363045760698,0.20381705765736724,True,True,False
144k,vggss,FKElIiHW0Ws_000001,1540,aud_query_ratio,0.2140648381170051,0.9406258683031173,0.8566435629558173,0.8351287453770494,0.20381705765736724,True,True,False
144k,vggss,FMLhPfYb-oY_000030,1543,positive_excess,0.8980953378676748,0.9988998442890319,0.9055629106339367,0.911532502197577,0.10125606390022382,True,True,False
144k,vggss,FMLhPfYb-oY_000030,1543,aud_minus_iqr,0.8906387374568523,0.9988136779341525,0.9098878218202785,0.9125574461060498,0.10125606390022382,True,True,False
144k,vggss,FMLhPfYb-oY_000030,1543,aud_times_one_minus_query,0.8420786715767334,0.9982062997459634,0.9171679111313569,0.9206584969437348,0.10125606390022382,True,True,False
144k,vggss,FMLhPfYb-oY_000030,1543,aud_query_ratio,0.8621211860012705,0.9984479640060526,0.9005164488855606,0.9149416126838095,0.10125606390022382,True,True,False
144k,vggss,FayXchyGICg_000027,1554,positive_excess,0.6523442066059982,0.5926564388550616,0.8464089161676436,0.719687539605807,-0.20794609867655983,False,False,True
144k,vggss,FayXchyGICg_000027,1554,aud_minus_iqr,0.660531288016197,0.5969177443883504,0.8577554608173192,0.7396511378024788,-0.20794609867655983,False,False,True
144k,vggss,FayXchyGICg_000027,1554,aud_times_one_minus_query,0.709002733302658,0.6220047879815931,0.9469105378702567,0.8885713775112727,-0.20794609867655983,False,False,True
144k,vggss,FayXchyGICg_000027,1554,aud_query_ratio,0.655821363516254,0.5995569961216631,0.85609106323993,0.7507102445284832,-0.20794609867655983,False,False,True
144k,vggss,Fl0yc47JSWM_000025,1561,positive_excess,0.4762888372931743,0.900971689254808,0.6611791599585148,0.7533345260711314,0.17960619041941012,True,True,False
144k,vggss,Fl0yc47JSWM_000025,1561,aud_minus_iqr,0.4784851812873957,0.9016159745194587,0.665428990853252,0.7516328623826924,0.17960619041941012,True,True,False
144k,vggss,Fl0yc47JSWM_000025,1561,aud_times_one_minus_query,0.44487791410230415,0.9114577294134851,0.9266970306395211,0.9401323164393388,0.17960619041941012,True,True,False
