flickr C3 seed12345 epoch 7/50 batch 401/562 total=8.7763 d_pos=0.000015 d_neg=0.000020 gap=0.000005 ETA=0:02:42
flickr C3 seed12345 epoch 7/50 batch 451/562 total=9.0093 d_pos=0.000014 d_neg=0.000018 gap=0.000005 ETA=0:01:52
flickr C3 seed12345 epoch 7/50 batch 501/562 total=8.8124 d_pos=0.000013 d_neg=0.000017 gap=0.000004 ETA=0:01:01
flickr C3 seed12345 epoch 7/50 batch 551/562 total=8.9848 d_pos=0.000014 d_neg=0.000018 gap=0.000003 ETA=0:00:11
flickr C3 seed12345 epoch 7/50 batch 562/562 total=9.3443 d_pos=0.000015 d_neg=0.000020 gap=0.000005 ETA=0:00:00
{"epoch": 7, "learning_rate": 5e-05, "epoch_seconds": 568.4241499900818, "gradient_l2_mean": 32.32044402584871, "parameter_l2": 201.01085564055572, "info_loss": 8.013695844976079, "recon_loss": 3.763808941925972, "div_loss": 0.0008273890570926338, "a2v_loss": 1.605922756218426e-05, "v2a_loss": 0.00013261585772334552, "original_match_loss": 0.00014867508535673575, "d_pos": 1.6059227581604075e-05, "d_neg": 2.0623788398574936e-05, "g_match": 4.564560779951836e-06, "cram_loss": 0.6931448933068544, "weighted_cram_loss": 0.6931448933068544, "total_loss": 9.098171853510086, "AUD_cIoU": 0.84, "AUD_AUC": 0.6316, "IQR_cIoU": 0.844, "IQR_AUC": 0.6328}
flickr C3 seed12345 epoch 8/50 batch 1/562 total=8.8905 d_pos=0.000015 d_neg=0.000021 gap=0.000006 ETA=0:51:04
flickr C3 seed12345 epoch 8/50 batch 51/562 total=8.9923 d_pos=0.000020 d_neg=0.000026 gap=0.000006 ETA=0:09:17
flickr C3 seed12345 epoch 8/50 batch 101/562 total=8.4458 d_pos=0.000015 d_neg=0.000022 gap=0.000007 ETA=0:08:03
flickr C3 seed12345 epoch 8/50 batch 151/562 total=8.7287 d_pos=0.000018 d_neg=0.000024 gap=0.000006 ETA=0:07:04
flickr C3 seed12345 epoch 8/50 batch 201/562 total=8.9794 d_pos=0.000019 d_neg=0.000025 gap=0.000005 ETA=0:06:09
flickr C3 seed12345 epoch 8/50 batch 251/562 total=8.5283 d_pos=0.000020 d_neg=0.000025 gap=0.000005 ETA=0:05:17
flickr C3 seed12345 epoch 8/50 batch 301/562 total=8.3979 d_pos=0.000016 d_neg=0.000020 gap=0.000004 ETA=0:04:25
flickr C3 seed12345 epoch 8/50 batch 351/562 total=8.9897 d_pos=0.000016 d_neg=0.000021 gap=0.000005 ETA=0:03:34
flickr C3 seed12345 epoch 8/50 batch 401/562 total=8.9709 d_pos=0.000018 d_neg=0.000024 gap=0.000005 ETA=0:02:43
flickr C3 seed12345 epoch 8/50 batch 451/562 total=8.4039 d_pos=0.000018 d_neg=0.000025 gap=0.000008 ETA=0:01:52
flickr C3 seed12345 epoch 8/50 batch 501/562 total=8.9830 d_pos=0.000017 d_neg=0.000024 gap=0.000007 ETA=0:01:01
flickr C3 seed12345 epoch 8/50 batch 551/562 total=8.9826 d_pos=0.000016 d_neg=0.000018 gap=0.000001 ETA=0:00:11
flickr C3 seed12345 epoch 8/50 batch 562/562 total=9.4180 d_pos=0.000015 d_neg=0.000020 gap=0.000005 ETA=0:00:00
{"epoch": 8, "learning_rate": 5e-05, "epoch_seconds": 569.2990641593933, "gradient_l2_mean": 38.01708734497522, "parameter_l2": 201.26371176082645, "info_loss": 7.735612387334749, "recon_loss": 3.6713865774806282, "div_loss": 0.0009708421481309254, "a2v_loss": 1.7692117689163827e-05, "v2a_loss": 0.00017553334998744093, "original_match_loss": 0.00019322546801806985, "d_pos": 1.769211774095e-05, "d_neg": 2.3292915655966614e-05, "g_match": 5.600797918657827e-06, "cram_loss": 0.6931443760615651, "weighted_cram_loss": 0.6931443760615651, "total_loss": 8.815315070101375, "AUD_cIoU": 0.808, "AUD_AUC": 0.622, "IQR_cIoU": 0.824, "IQR_AUC": 0.6218}
flickr C3 seed12345 epoch 9/50 batch 1/562 total=8.4770 d_pos=0.000014 d_neg=0.000019 gap=0.000004 ETA=0:41:12
flickr C3 seed12345 epoch 9/50 batch 51/562 total=8.7048 d_pos=0.000018 d_neg=0.000025 gap=0.000007 ETA=0:09:05
flickr C3 seed12345 epoch 9/50 batch 101/562 total=8.6509 d_pos=0.000020 d_neg=0.000028 gap=0.000008 ETA=0:07:58
flickr C3 seed12345 epoch 9/50 batch 151/562 total=8.6061 d_pos=0.000024 d_neg=0.000030 gap=0.000006 ETA=0:07:01
flickr C3 seed12345 epoch 9/50 batch 201/562 total=8.2636 d_pos=0.000020 d_neg=0.000026 gap=0.000006 ETA=0:06:07
flickr C3 seed12345 epoch 9/50 batch 251/562 total=8.4949 d_pos=0.000020 d_neg=0.000027 gap=0.000008 ETA=0:05:16
flickr C3 seed12345 epoch 9/50 batch 301/562 total=8.1418 d_pos=0.000020 d_neg=0.000029 gap=0.000008 ETA=0:04:24
flickr C3 seed12345 epoch 9/50 batch 351/562 total=8.3110 d_pos=0.000019 d_neg=0.000025 gap=0.000006 ETA=0:03:33
flickr C3 seed12345 epoch 9/50 batch 401/562 total=8.4482 d_pos=0.000021 d_neg=0.000031 gap=0.000010 ETA=0:02:42
flickr C3 seed12345 epoch 9/50 batch 451/562 total=8.5590 d_pos=0.000016 d_neg=0.000023 gap=0.000006 ETA=0:01:51
flickr C3 seed12345 epoch 9/50 batch 501/562 total=8.1455 d_pos=0.000022 d_neg=0.000030 gap=0.000008 ETA=0:01:01
flickr C3 seed12345 epoch 9/50 batch 551/562 total=8.4364 d_pos=0.000020 d_neg=0.000026 gap=0.000007 ETA=0:00:11
flickr C3 seed12345 epoch 9/50 batch 562/562 total=8.5606 d_pos=0.000019 d_neg=0.000028 gap=0.000009 ETA=0:00:00
{"epoch": 9, "learning_rate": 5e-05, "epoch_seconds": 567.6680183410645, "gradient_l2_mean": 42.448189961666166, "parameter_l2": 201.5142838124324, "info_loss": 7.427633042861558, "recon_loss": 3.59703798735269, "div_loss": 0.001204426754995173, "a2v_loss": 1.9385120059298086e-05, "v2a_loss": 0.00019352390267016214, "original_match_loss": 0.00021290902271651368, "d_pos": 1.938512020818334e-05, "d_neg": 2.6212627472948602e-05, "g_match": 6.8275073375895715e-06, "cram_loss": 0.6931437627276492, "weighted_cram_loss": 0.6931437627276492, "total_loss": 8.5018919396655, "AUD_cIoU": 0.844, "AUD_AUC": 0.6332, "IQR_cIoU": 0.84, "IQR_AUC": 0.6314000000000001}
flickr C3 seed12345 epoch 10/50 batch 1/562 total=8.0787 d_pos=0.000020 d_neg=0.000026 gap=0.000006 ETA=0:49:30
flickr C3 seed12345 epoch 10/50 batch 51/562 total=8.2743 d_pos=0.000022 d_neg=0.000033 gap=0.000010 ETA=0:09:17
flickr C3 seed12345 epoch 10/50 batch 101/562 total=7.9683 d_pos=0.000023 d_neg=0.000036 gap=0.000012 ETA=0:08:03
flickr C3 seed12345 epoch 10/50 batch 151/562 total=8.0057 d_pos=0.000021 d_neg=0.000031 gap=0.000011 ETA=0:07:04
flickr C3 seed12345 epoch 10/50 batch 201/562 total=8.0630 d_pos=0.000028 d_neg=0.000035 gap=0.000007 ETA=0:06:10
flickr C3 seed12345 epoch 10/50 batch 251/562 total=8.4311 d_pos=0.000025 d_neg=0.000033 gap=0.000008 ETA=0:05:17
flickr C3 seed12345 epoch 10/50 batch 301/562 total=8.4712 d_pos=0.000023 d_neg=0.000035 gap=0.000012 ETA=0:04:25
flickr C3 seed12345 epoch 10/50 batch 351/562 total=8.7202 d_pos=0.000022 d_neg=0.000031 gap=0.000010 ETA=0:03:34
flickr C3 seed12345 epoch 10/50 batch 401/562 total=8.1853 d_pos=0.000023 d_neg=0.000032 gap=0.000009 ETA=0:02:43
flickr C3 seed12345 epoch 10/50 batch 451/562 total=8.3040 d_pos=0.000023 d_neg=0.000031 gap=0.000009 ETA=0:01:52
flickr C3 seed12345 epoch 10/50 batch 501/562 total=8.5453 d_pos=0.000021 d_neg=0.000027 gap=0.000006 ETA=0:01:01
flickr C3 seed12345 epoch 10/50 batch 551/562 total=8.5030 d_pos=0.000021 d_neg=0.000030 gap=0.000009 ETA=0:00:11
flickr C3 seed12345 epoch 10/50 batch 562/562 total=8.6108 d_pos=0.000022 d_neg=0.000027 gap=0.000005 ETA=0:00:00
{"epoch": 10, "learning_rate": 5e-05, "epoch_seconds": 570.6123952865601, "gradient_l2_mean": 51.90364728027591, "parameter_l2": 201.756086826534, "info_loss": 7.103802924478606, "recon_loss": 3.5205501016772938, "div_loss": 0.0012857254041073797, "a2v_loss": 2.3160155989342366e-05, "v2a_loss": 0.00024032736684629044, "original_match_loss": 0.00026348752293920514, "d_pos": 2.3160155973159185e-05, "d_neg": 3.216015204503052e-05, "g_match": 8.99999619405434e-06, "cram_loss": 0.6931426755262016, "weighted_cram_loss": 0.6931426755262016, "total_loss": 8.175477942538008, "AUD_cIoU": 0.832, "AUD_AUC": 0.6115999999999999, "IQR_cIoU": 0.828, "IQR_AUC": 0.6072}
flickr C3 seed12345 epoch 11/50 batch 1/562 total=7.7420 d_pos=0.000021 d_neg=0.000027 gap=0.000006 ETA=0:41:59
flickr C3 seed12345 epoch 11/50 batch 51/562 total=8.1389 d_pos=0.000027 d_neg=0.000035 gap=0.000008 ETA=0:09:05
flickr C3 seed12345 epoch 11/50 batch 101/562 total=7.6815 d_pos=0.000024 d_neg=0.000034 gap=0.000011 ETA=0:07:56
flickr C3 seed12345 epoch 11/50 batch 151/562 total=7.8325 d_pos=0.000023 d_neg=0.000035 gap=0.000012 ETA=0:06:59
flickr C3 seed12345 epoch 11/50 batch 201/562 total=7.9354 d_pos=0.000022 d_neg=0.000030 gap=0.000008 ETA=0:06:06
flickr C3 seed12345 epoch 11/50 batch 251/562 total=7.5419 d_pos=0.000021 d_neg=0.000031 gap=0.000009 ETA=0:05:15
flickr C3 seed12345 epoch 11/50 batch 301/562 total=7.9393 d_pos=0.000022 d_neg=0.000031 gap=0.000009 ETA=0:04:23
flickr C3 seed12345 epoch 11/50 batch 351/562 total=7.9953 d_pos=0.000023 d_neg=0.000037 gap=0.000014 ETA=0:03:33
flickr C3 seed12345 epoch 11/50 batch 401/562 total=7.6352 d_pos=0.000022 d_neg=0.000036 gap=0.000014 ETA=0:02:42
flickr C3 seed12345 epoch 11/50 batch 451/562 total=7.3235 d_pos=0.000025 d_neg=0.000036 gap=0.000011 ETA=0:01:51
flickr C3 seed12345 epoch 11/50 batch 501/562 total=7.9790 d_pos=0.000023 d_neg=0.000033 gap=0.000010 ETA=0:01:01
flickr C3 seed12345 epoch 11/50 batch 551/562 total=7.4067 d_pos=0.000025 d_neg=0.000037 gap=0.000012 ETA=0:00:11
flickr C3 seed12345 epoch 11/50 batch 562/562 total=7.5984 d_pos=0.000021 d_neg=0.000032 gap=0.000011 ETA=0:00:00
