dataset,group,seed,sample_index,sample_id,region,raw_auc,conditional_auc,conditional_pairs
vggss,C1,12345,56,-ZJqu_4zLMc_000030,NearFP,0.099853515625,0.23698193411264612,1882
vggss,C1,12345,56,-ZJqu_4zLMc_000030,FarFP,,,0
vggss,C1,12345,56,-ZJqu_4zLMc_000030,HighAUDFP,0.0614121835443038,0.1853486319505737,1133
vggss,C1,12345,57,-ZSgg6jFUd8_000688,FP,0.4892120361328125,0.4832062307317865,6163
vggss,C1,12345,57,-ZSgg6jFUd8_000688,NearFP,0.4201812744140625,0.47062228654124455,6910
vggss,C1,12345,57,-ZSgg6jFUd8_000688,FarFP,0.51324462890625,0.5080357142857143,5600
vggss,C1,12345,57,-ZSgg6jFUd8_000688,HighAUDFP,0.3275622351694915,0.42684183410613086,3882
vggss,C1,12345,58,-_QPd-VskKY_000030,FP,0.4609527587890625,0.25646551724137934,4176
vggss,C1,12345,58,-_QPd-VskKY_000030,NearFP,0.4244384765625,0.36670592854338435,5094
vggss,C1,12345,58,-_QPd-VskKY_000030,FarFP,0.3995819091796875,0.10583941605839416,2466
vggss,C1,12345,58,-_QPd-VskKY_000030,HighAUDFP,0.1630859375,0.16489361702127658,2820
vggss,C1,12345,59,-_umX4zgLVY_000028,FP,0.867889404296875,0.8528893241919686,5105
vggss,C1,12345,59,-_umX4zgLVY_000028,NearFP,0.8515625,0.839362115908207,5142
vggss,C1,12345,59,-_umX4zgLVY_000028,FarFP,,,0
vggss,C1,12345,59,-_umX4zgLVY_000028,HighAUDFP,,,0
vggss,C1,12345,60,-aK9JKAGme0_000041,FP,0.3914794921875,0.47385358004827033,4972
vggss,C1,12345,60,-aK9JKAGme0_000041,NearFP,0.40496826171875,0.3916195190947666,5656
vggss,C1,12345,60,-aK9JKAGme0_000041,FarFP,0.0355072021484375,0.0,2927
vggss,C1,12345,60,-aK9JKAGme0_000041,HighAUDFP,0.35564236111111114,0.3135011441647597,1311
vggss,C1,12345,61,-aK9JKAGme0_000051,FP,0.831817626953125,0.682421667551779,11298
vggss,C1,12345,61,-aK9JKAGme0_000051,NearFP,0.4182891845703125,0.30684775921631724,21131
