dataset,state,precision,group,n,valid_cosines,base_norm_mean,base_norm_median,base_norm_p25,base_norm_p75,weighted_cram_norm_mean,weighted_cram_norm_median,weighted_cram_norm_p25,weighted_cram_norm_p75,raw_cram_norm_mean,raw_cram_norm_median,raw_cram_norm_p25,raw_cram_norm_p75,total_norm_mean,total_norm_median,total_norm_p25,total_norm_p75,ratio_mean,ratio_median,ratio_p25,ratio_p75,cosine_mean,cosine_median,cosine_p25,cosine_p75,sum_relative_error_mean,sum_relative_error_median,sum_relative_error_p25,sum_relative_error_p75,negative_fraction,below_minus025,below_minus05
vggss,old25_latest,fp32,all_student,4,4,0.015378320539558423,0.015129782447605749,0.014930518368644575,0.015577584618519599,0.014631411418906573,0.01569062626995035,0.01419880648724155,0.016123231201615375,5.852564567562659e-07,6.276250507980162e-07,5.679522594896633e-07,6.449292480646186e-07,0.002996595938307475,0.0024488819083817,0.0021562607217693753,0.0032892171249198,0.9529864614622784,0.9911303707814387,0.90206589142096,1.0420509408227572,-0.9884938938902342,-0.9901266113135758,-0.9909919644689601,-0.9876285407348501,0.00011630797611785562,0.00012821973661575,0.00010060864678490562,0.0001439190659487,1.0,1.0,1.0
vggss,old25_latest,fp32,proj3_spatial,4,4,0.0106306576339777,0.01049577967912395,0.01033521403345835,0.0107912232796433,0.009918998765238225,0.01069424476585715,0.009597103553246025,0.01101613997784935,3.9675995060953215e-07,4.277697906342898e-07,3.838841421298443e-07,4.4064559911397764e-07,0.002081012408824725,0.0016169413287573501,0.00150687982192835,0.002191073915653725,0.9342603096669266,0.9845314387698223,0.8986608047492998,1.0201309436874493,-0.9883631175714549,-0.9897523802303926,-0.9916143798495244,-0.9865011179523231,0.0001302057849676836,0.00013915642565814998,0.00011531210476298359,0.00015405010586284998,1.0,1.0,1.0
vggss,short,amp,F34_activation,64,64,4.975221509972275e-06,4.9319791427960605e-06,4.77506037407298e-06,5.209984321227828e-06,1.4320227897119418e-06,1.430329510597087e-06,1.383068756749748e-06,1.4728079392862885e-06,5.728091158847767e-11,5.7213180423883486e-11,5.532275026998991e-11,5.891231757145153e-11,5.233354123256205e-06,5.172981992189094e-06,5.005844063408149e-06,5.504748914105459e-06,0.2882595002106582,0.2898154116868118,0.27781813226033714,0.29802058930417386,0.0401567038119598,0.037977326504027895,0.020352780796721575,0.06065388973935675,0.0003986168068780922,0.0003994307239049,0.00039257282139589997,0.00040386202356145,0.046875,0.0,0.0
vggss,short,amp,K34_activation,64,64,9.296373833320488e-06,9.163445956652496e-06,8.920812750424093e-06,9.728893120769509e-06,2.961533699486673e-06,2.9621566529685242e-06,2.8545326988074424e-06,3.0278889844797774e-06,1.184613479794669e-10,1.1848626611874097e-10,1.141813079522977e-10,1.2111555937919106e-10,9.833777650624397e-06,9.691813014699952e-06,9.42657095384024e-06,1.0288859403038063e-05,0.3190391523910218,0.32052029192874404,0.30881615746202734,0.32954401186446763,0.026733946988281354,0.025353952246723502,0.01214472176838045,0.03967737162562807,0.00021203133794784376,0.00021203527185365,0.00021174595084942502,0.000212317328248325,0.03125,0.0,0.0
vggss,short,amp,adapter,64,64,9.900476892491716e-05,9.664447277878873e-05,8.552887528998457e-05,0.0001069727383441,6.802398586750881e-05,7.090195285372637e-05,5.1517737494435436e-05,8.09539320042337e-05,2.7209594347004367e-09,2.8360781141490553e-09,2.0607094997774175e-09,3.238157280169348e-09,9.215186444960358e-05,8.292177046360097e-05,7.209126940673275e-05,0.00012353932098665,0.7078926521989962,0.7305679860128024,0.5303284388030218,0.8679964771141035,-0.2738557642323626,-0.6221464316382588,-0.7303993793480875,0.42998525440220503,0.0005498558484087969,0.00059322144571525,0.000363113935411,0.0006688574865786,0.671875,0.65625,0.59375
vggss,short,amp,adapter_output_conv,64,64,7.343602438639001e-05,7.213808477973322e-05,6.039633648838989e-05,8.496510129002296e-05,4.7433777293730294e-05,4.671890967760587e-05,4.124818361135248e-05,5.3346084015242124e-05,1.897351091749212e-09,1.8687563871042346e-09,1.6499273444540988e-09,2.1338433606096845e-09,7.119263261952058e-05,5.582146776082965e-05,4.833153098331347e-05,9.932895507264928e-05,0.6834072283985355,0.6920345239356183,0.5461890644209583,0.8275122571848776,-0.260337603737952,-0.6345587279644689,-0.728744847205941,0.4778662154703067,0.0005340762629627172,0.0005805971128362,0.0003562764368339,0.000655663443213325,0.671875,0.625,0.59375
vggss,short,amp,all_student,64,64,0.00010740572919297277,0.00010395251289805,9.393004561149206e-05,0.00011390221939444999,7.589667739315576e-05,8.050478436083755e-05,5.637774167905726e-05,9.260030970305088e-05,3.0358670957265646e-09,3.2201913744335015e-09,2.255109667162291e-09,3.704012388122035e-09,9.996877872810234e-05,9.225163333198464e-05,7.938234915839726e-05,0.00012396251633655,0.7242754226784949,0.7529540865025119,0.5290042449261876,0.878343473451884,-0.266392813063613,-0.6092895265254492,-0.7334513179747366,0.4509378085052768,0.0005574513308623124,0.0006000554274104,0.00036689148511765,0.0006842291106191501,0.671875,0.65625,0.59375
vggss,short,amp,proj3_spatial,64,63,4.016719249307681e-05,3.9648191136937485e-05,3.381735905926259e-05,4.679882709838893e-05,3.268317800481512e-05,3.758267805495264e-05,2.0777904456103397e-05,4.47136640978392e-05,1.3073271201926047e-09,1.5033071221981053e-09,8.311161782441357e-10,1.788546563913568e-09,3.6699414076961354e-05,3.753154977733964e-05,3.024379157166645e-05,4.42327772760066e-05,0.7942542685470505,0.8006930980343546,0.5161431400583081,1.050076951725964,-0.22938302808116423,-0.5657930406901056,-0.7598855527960733,0.536624479384977,0.0006411184846637937,0.0006283485893965499,0.0004530157761907,0.00075429692395465,0.6825396825396826,0.6190476190476191,0.5396825396825397
vggss,short,fp32,F34_activation,3,3,4.978261584872193e-06,4.935700739655176e-06,4.853312855967138e-06,5.08192989116874e-06,1.4785917126612644e-06,1.524501959413604e-06,1.4393920485063594e-06,1.5407465001923392e-06,5.914366850645058e-11,6.098007837654417e-11,5.7575681940254384e-11,6.162986000769358e-11,5.273152047605842e-06,5.223312366099268e-06,5.1189989930623294e-06,5.402385261396068e-06,0.2968475506936498,0.2978086604213672,0.2908351031182448,0.3033405531329135,0.056017961965183466,0.0426599165774958,0.041189922970600146,0.06416697826592295,5.311121534860236e-07,5.31433468526804e-07,5.298736485088723e-07,5.325113159835651e-07,0.0,0.0,0.0
vggss,short,fp32,K34_activation,3,3,9.360270379538817e-06,9.26410504599645e-06,9.141797130985906e-06,9.530660961320544e-06,3.0889930063819033e-06,3.148194699518048e-06,3.029094718371998e-06,3.178492140959881e-06,1.235597202552761e-10,1.259277879807219e-10,1.2116378873487988e-10,1.2713968563839523e-10,9.97059416401015e-06,9.835055140990867e-06,9.70638398524294e-06,1.0167034831267718e-05,0.32999393233619445,0.3275205216749948,0.32507730815275726,0.3336738511890318,0.03875534886382647,0.0364489713767249,0.02674094740502835,0.0496165615790738,2.604786866621496e-08,2.605114683096009e-08,2.6030018358861447e-08,2.6067358055941036e-08,0.0,0.0,0.0
