dataset,model,source,metric,mean,median,q1,q3,iqr,ci_low,ci_high,valid
flickr,cram_c3_stage1,matched_audio,addtp_rate_vs_baseline_fn,0.060583022815707065,0.0,0.0,0.02325139545673488,0.02325139545673488,0.041269042387559726,0.08289889358343197,250
flickr,cram_c3_stage1,matched_audio,removefp_rate_vs_baseline_fp,0.5888616413679755,0.6000009303446748,0.4024673905903119,0.767620443060007,0.3651530524696951,0.5574959950746904,0.6198642909239173,250
flickr,cram_c3_stage2,counterfactual,audio_swap_spearman,0.9892659558827741,0.9917920918367347,0.9883482142857143,0.9940114795918368,0.005663265306122489,0.9880829258438312,0.9903665445600759,250
flickr,cram_c3_stage2,counterfactual,audio_swap_spearman_min,0.9788117335263505,0.984030612244898,0.9757908163265306,0.9890561224489796,0.013265306122448917,0.9765183993718652,0.9810530116167632,250
flickr,cram_c3_stage2,counterfactual,audio_swap_pearson,0.9930059628486634,0.9946696162223816,0.9921799898147583,0.9964891374111176,0.004309147596359253,0.9922329249024392,0.9937410756886006,250
flickr,cram_c3_stage2,counterfactual,audio_swap_cosine,0.9998573336601257,0.9998811185359955,0.9998274147510529,0.9999180883169174,9.067356586456299e-05,0.9998460990726948,0.9998678860545158,250
flickr,cram_c3_stage2,counterfactual,audio_map_mae,0.00026029609388206155,0.0002478329261066392,0.0002062685089185834,0.00029641596483998,9.014745592139661e-05,0.0002512319228946581,0.0002695203216848313,250
flickr,cram_c3_stage2,counterfactual,audio_top10_jaccard,0.8805698051948053,0.8863636363636365,0.821969696969697,0.9545454545454546,0.13257575757575757,0.869439752955378,0.8915978219696971,250
flickr,cram_c3_stage2,matched_audio,gt_response,0.7562584300041199,0.7511473000049591,0.7118150591850281,0.7958684116601944,0.08405335247516632,0.7486746905565261,0.7637323744654656,250
flickr,cram_c3_stage2,matched_audio,nearfp_response,0.658956853363678,0.6522915959358215,0.6017619073390961,0.7197964191436768,0.11803451180458069,0.6473701885053021,0.6709286765078543,247
flickr,cram_c3_stage2,matched_audio,farfp_response,0.557772725631919,0.5508760511875153,0.49377959966659546,0.6401596516370773,0.14638005197048187,0.5400583518268187,0.5760796990339891,158
flickr,cram_c3_stage2,matched_audio,background_response,0.4412958762645721,0.4392090290784836,0.37058060616254807,0.5050450563430786,0.13446445018053055,0.4296566349446773,0.45355129193365573,250
flickr,cram_c3_stage2,matched_audio,gt_nearfp_gap,0.09807458737118524,0.106151282787323,0.04335463047027588,0.1678786277770996,0.12452399730682373,0.08642831388333067,0.10848405305371593,247
