sample_index,sample_id,IoU_AUD_L4,IoU_AUD_FINE,IoU_IMG_L4,IoU_IMG_FINE,IoU_IQR_FINE
171,3230152596,0.6512286391418236,0.6781215772179627,0.6838056479229738,0.7083591638356436,0.6903873887314138
172,3403348616,0.6470213964987548,0.6528928577819932,0.5654604860832038,0.5902150256812049,0.6379350661030668
173,3413119417,0.6987621435286744,0.6920907363277126,0.7118285090815737,0.7054089954281478,0.6978827113480579
174,3416359816,0.6671878393051032,0.6095668152318399,0.6598550067965564,0.6344934689188614,0.6247321392471596
175,3484198977,0.5035990226507298,0.5030215969883098,0.5025798237678829,0.5106393724117033,0.5055948961186452
176,3535748358,0.7872575173731186,0.7897533810660302,0.8158799266727773,0.819088503001743,0.8013847580670952
177,3568893693,0.774367460232732,0.7753413541262393,0.7882974026929586,0.7887403262725721,0.7817986769175755
178,3668283413,0.667918566872336,0.689210716871832,0.6647246870425144,0.6812151764393738,0.6828964709327866
179,3709678770,0.6310641912389273,0.6598380295188806,0.6210055648708416,0.6383081105791208,0.6515845788450927
180,3719297546,0.683489801431852,0.7125335749652115,0.6897420745272526,0.7110787951726674,0.7110729473339875
181,3727937033,0.6368292792996074,0.6354226187859874,0.6657344920033281,0.6732980264349085,0.6510562597287081
182,3749326537,0.3374722838137472,0.36105600290452666,0.37435377041536966,0.41365036962587776,0.3803307791716162
183,3790233127,0.8039367116180518,0.8243635742354348,0.797067030813988,0.8125506149123303,0.82159428798697
184,3801318146,0.6232720056506676,0.7361469712015889,0.6205058145346706,0.6905700026267402,0.7063742243753526
185,3828103578,0.25663800793334474,0.26873510064347295,0.2562121124087309,0.26708109214762976,0.2668147150372245
186,3896768873,0.7255703570253088,0.7437568594343605,0.7301845534855244,0.7462043883275291,0.7441118035626347
187,3908875350,0.5768752971489042,0.5817345500408042,0.5850947608416853,0.5833725109570967,0.5822574612910465
188,3956341886,0.6335888292276373,0.6475333540179956,0.5995085639950857,0.6231985688729875,0.6382533232316275
189,4007045926,0.5546596903546769,0.49006597549481623,0.5532829826246398,0.5076151052446597,0.4961639757242643
190,4041216001,0.6126718163534581,0.6444243527868685,0.5780179808324841,0.6087151553989106,0.633318445734703
191,4180455681,0.45520332072144876,0.44199387158839876,0.4796725890294049,0.4592831461507098,0.44849537037037035
192,4303617148,0.7730798136179168,0.7867401170428759,0.7587822713027906,0.774604451595602,0.7816934932016304
193,4351373013,0.4745293717396235,0.5160901813909085,0.5102194608061763,0.5253759256745547,0.5208664281366451
194,4407899725,0.7413349852872851,0.7781617869000905,0.7674623669458965,0.7927851047323506,0.7875378359372611
195,4479260803,0.6152897967397867,0.6021609152111482,0.6247470817120623,0.6135277479762021,0.6064027440331571
196,4543136011,0.6445851076073196,0.657741175434347,0.4415707144811121,0.5888546783557007,0.6617406319377481
197,4576746825,0.41684025168037453,0.3737082154610011,0.4323698907505062,0.37587280710237714,0.3741167863537475
198,4646464908,0.5381557888812677,0.5738514045681281,0.4743847972677117,0.5013654786132999,0.5486957890869649
199,4657718822,0.7407142143309238,0.698164378524148,0.7817700453857791,0.7991390657796436,0.7355177993527509
200,4717096777,0.36346838215165617,0.3706182783602574,0.3670902769452104,0.36947039021383526,0.3708708025042686
201,4755507106,0.4776305379746835,0.5256425256425257,0.5838569837734648,0.613197633688799,0.5733975488468617
202,4758950312,0.44310473238189174,0.4302717565302548,0.47157766531572204,0.47249324449761754,0.4490456480373502
203,4767923306,0.6720966610928313,0.680106053910738,0.6921927458324438,0.7215067927570139,0.6931653554858704
204,4876943924,0.05273481705016975,0.060171374166931135,0.05792864813268107,0.07404478189040037,0.06645241203843193
