sample_id,sample_index,gt_nearfp_visual_cosine,group
1Tg9VvRZN5k_000030,252,0.9027112384441793,B_close
1Thl21awe2g_000020,253,0.9302236651722572,B_close
1U8Y6VifI-M_000050,254,0.9608708901265317,B_close
1UXkMZNI5o4_000373,255,0.9268232850802063,B_close
1V-_jMSJR6A_000024,256,0.9870460070281388,B_close
1VHm2PacRWc_000020,257,0.8712703731926952,B_close
1WLMVX_Y2Pk_000018,258,0.869357049664077,C_aud_better
1_0T2ZIjWnw_000031,259,0.8536101052724817,A_ogl_help
1_JeO9Pg1aQ_000020,260,0.9903232996306748,B_close
1_Q80fDGLRM_000010,261,0.8586163182238706,C_aud_better
1_v-Kro86Io_000010,262,0.8790660069142998,B_close
1_xoCNmTn3Y_000012,263,0.9603041386744429,transition
1_yyvTRVoZQ_000002,264,0.7642841613543878,C_aud_better
1_yyvTRVoZQ_000209,265,0.8577677875956824,B_close
1aDnyPubxdY_000118,266,0.9087271585059276,B_close
1cqcTbDxsHM_000130,267,0.768335367360197,transition
1cwGW0cBdRs_000030,268,0.976606835352945,B_close
1cxvg7qu0G0_000070,269,0.958296368407103,B_close
1dyFP4MGkIM_000030,270,0.91462916689939,A_ogl_help
1eBzpkIY-TY_000198,271,0.86398587913459,B_close
1f-L1M-S6RQ_000030,272,0.9828491900636348,B_close
1g3n6Zaqid8_000064,273,0.9872447007041468,C_aud_better
1gSwLBNvEWE_000034,274,0.9410479334143126,transition
1gWu-9hPzFs_000022,275,0.9125664652029732,B_close
1hba9jmspEQ_000030,276,0.9472177936785346,B_close
1hknEtsmdOc_000030,277,0.8162638852388641,transition
1hoUEfsTmdE_000030,278,0.9517694814658454,B_close
1hwkxJOl1PY_000020,279,0.9521356385985708,B_close
1kTMiyc5eXg_000163,280,0.0,B_close
1kiR-BU9Fik_000071,281,0.9793557579142325,B_close
1mkIuq3rjUg_000019,282,0.9449824772334211,transition
1n6JyJt4kJ4_000018,283,0.9553821717489409,B_close
1nUqhH8bAPk_000030,284,0.9575673466199162,transition
1oJAVJPX0YY_000020,285,0.9629386517137355,B_close
1obzCbmFpa8_000410,286,0.9376129635477966,B_close
1p3NSKpuJDs_000144,287,0.8643477671483599,B_close
1p5jl5JeZx8_000117,288,0.9003876342320383,transition
1q8kkQhS97g_000140,289,0.7200383333173643,A_ogl_help
1rtXsGC-q3Q_000030,290,0.8428536167198919,B_close
1sukRxLM77w_000021,291,0.9397764883958377,transition
1tC7bTilFWk_000030,292,0.899395248708054,transition
1uCzQCdCC1U_000170,293,0.9995957295955461,B_close
1uhuVsFGe6E_000050,294,0.9701271125123945,B_close
1veIcvGPRYw_000003,295,0.9853705986183273,transition
